tick,sex,event_age_months,count
0,male,0,159
0,male,1,152
0,male,2,183
0,male,3,181
0,male,4,485
0,male,5,501
0,male,6,531
0,male,7,476
0,male,8,500
0,male,9,481
0,male,10,513
0,male,11,506
0,male,12,514
0,male,13,1835
0,male,14,1781
0,male,15,1749
0,male,16,1752
0,male,17,1822
0,female,0,180
0,female,1,177
0,female,2,178
0,female,3,152
0,female,4,492
0,female,5,516
0,female,6,501
0,female,7,530
0,female,8,540
0,female,9,479
0,female,10,556
0,female,11,503
0,female,12,534
0,female,13,1786
0,female,14,1790
0,female,15,1759
0,female,16,1792
0,female,17,1768
1,male,0,178
1,male,1,193
1,male,2,174
1,male,3,177
1,male,4,522
1,male,5,491
1,male,6,484
1,male,7,489
1,male,8,498
1,male,9,532
1,male,10,467
1,male,11,513
1,male,12,522
1,male,13,1742
1,male,14,1811
1,male,15,1758
1,male,16,1791
1,male,17,1723
1,male,18,37
1,female,0,177
1,female,1,180
1,female,2,151
1,female,3,197
1,female,4,508
1,female,5,510
1,female,6,492
1,female,7,520
1,female,8,518
1,female,9,528
1,female,10,538
1,female,11,450
1,female,12,503
1,female,13,1794
1,female,14,1775
1,female,15,1717
1,female,16,1734
1,female,17,1691
1,female,18,34
2,male,0,187
2,male,1,178
2,male,2,190
2,male,3,169
2,male,4,470
2,male,5,519
2,male,6,583
2,male,7,514
2,male,8,490
2,male,9,523
2,male,10,520
2,male,11,497
2,male,12,500
2,male,13,1700
2,male,14,1804
2,male,15,1792
2,male,16,1706
2,male,17,1748
2,male,18,57
2,female,0,184
2,female,1,169
2,female,2,187
2,female,3,167
2,female,4,520
2,female,5,516
2,female,6,490
2,female,7,446
2,female,8,464
2,female,9,534
2,female,10,514
2,female,11,532
2,female,12,495
2,female,13,1711
2,female,14,1748
2,female,15,1760
2,female,16,1780
2,female,17,1779
2,female,18,66
3,male,0,202
3,male,1,175
3,male,2,214
3,male,3,180
3,male,4,513
3,male,5,513
3,male,6,500
3,male,7,480
3,male,8,534
3,male,9,498
3,male,10,546
3,male,11,524
3,male,12,496
3,male,13,1691
3,male,14,1738
3,male,15,1685
3,male,16,1657
3,male,17,1769
3,male,18,88
3,female,0,181
3,female,1,184
3,female,2,146
3,female,3,184
3,female,4,522
3,female,5,501
3,female,6,514
3,female,7,518
3,female,8,503
3,female,9,448
3,female,10,526
3,female,11,517
3,female,12,495
3,female,13,1733
3,female,14,1756
3,female,15,1786
3,female,16,1795
3,female,17,1728
3,female,18,72
4,male,0,203
4,male,1,156
4,male,2,154
4,male,3,170
4,male,4,478
4,male,5,489
4,male,6,489
4,male,7,504
4,male,8,443
4,male,9,491
4,male,10,474
4,male,11,496
4,male,12,494
4,male,13,1788
4,male,14,1720
4,male,15,1732
4,male,16,1666
4,male,17,1676
4,male,18,110
4,female,0,205
4,female,1,182
4,female,2,172
4,female,3,148
4,female,4,514
4,female,5,517
4,female,6,521
4,female,7,529
4,female,8,496
4,female,9,465
4,female,10,495
4,female,11,490
4,female,12,504
4,female,13,1811
4,female,14,1660
4,female,15,1802
4,female,16,1716
4,female,17,1760
4,female,18,114
5,male,0,182
5,male,1,170
5,male,2,166
5,male,3,175
5,male,4,545
5,male,5,528
5,male,6,498
5,male,7,504
5,male,8,481
5,male,9,505
5,male,10,486
5,male,11,505
5,male,12,477
5,male,13,1794
5,male,14,1766
5,male,15,1684
5,male,16,1611
5,male,17,1754
5,male,18,147
5,female,0,223
5,female,1,184
5,female,2,181
5,female,3,156
5,female,4,482
5,female,5,511
5,female,6,509
5,female,7,489
5,female,8,495
5,female,9,491
5,female,10,491
5,female,11,525
5,female,12,484
5,female,13,1726
5,female,14,1679
5,female,15,1677
5,female,16,1686
5,female,17,1688
5,female,18,135
6,male,0,193
6,male,1,180
6,male,2,186
6,male,3,199
6,male,4,503
6,male,5,476
6,male,6,495
6,male,7,504
6,male,8,545
6,male,9,487
6,male,10,489
6,male,11,480
6,male,12,534
6,male,13,1695
6,male,14,1671
6,male,15,1666
6,male,16,1731
6,male,17,1657
6,male,18,184
6,female,0,229
6,female,1,181
6,female,2,220
6,female,3,172
6,female,4,445
6,female,5,467
6,female,6,510
6,female,7,514
6,female,8,489
6,female,9,546
6,female,10,492
6,female,11,547
6,female,12,468
6,female,13,1690
6,female,14,1655
6,female,15,1662
6,female,16,1664
6,female,17,1636
6,female,18,175
7,male,0,184
7,male,1,168
7,male,2,167
7,male,3,165
7,male,4,517
7,male,5,492
7,male,6,453
7,male,7,527
7,male,8,524
7,male,9,487
7,male,10,510
7,male,11,495
7,male,12,532
7,male,13,1656
7,male,14,1649
7,male,15,1700
7,male,16,1611
7,male,17,1532
7,male,18,188
7,female,0,223
7,female,1,142
7,female,2,174
7,female,3,159
7,female,4,464
7,female,5,496
7,female,6,514
7,female,7,511
7,female,8,495
7,female,9,521
7,female,10,528
7,female,11,498
7,female,12,485
7,female,13,1705
7,female,14,1683
7,female,15,1634
7,female,16,1647
7,female,17,1682
7,female,18,192
8,male,0,217
8,male,1,183
