# params={"birth_rate":0.032867883584077905,"mortality_young":0.0008342086965791935,"mortality_adult":0.004345626301207654,"mortality_old":0.013697168847177664,"overseas_arrival_rate":0.022657905637119273,"emigration_rate":0.0013184583748960818,"internal_departure_rate":0.0029880102580608758,"internal_arrival_rate":0.020501937891141707}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7972733,0,3986577,3986156,473280,442300,437973,444060,39145,49032,11121,10733,6098,23866,56364,1160855,488879,293902,1,8000000,0,39145,11121,6098,1445,17602,29985,10733,23866,222
1,7944993,0,3972658,3972335,501299,440065,431678,443318,37254,48129,10984,10480,5945,23314,54183,1207232,477895,287957,1,7972733,139995,37254,10984,5945,1524,17140,29465,10480,23314,264
2,7918984,0,3959521,3959463,531053,437804,425548,442393,39172,47946,10655,10359,5963,23494,55790,1249983,467240,281994,2,7944993,136106,39172,10655,5963,1393,17185,29368,10359,23494,243
3,7894142,0,3947010,3947132,561677,435579,419577,441408,39972,47510,10455,10277,5685,23167,56112,1291645,456892,276367,2,7918984,137589,39972,10455,5685,1529,16927,29054,10277,23167,206
4,7870347,0,3934904,3935443,593875,433371,413738,440088,41665,47643,10231,10225,5527,23350,57423,1330625,446852,270958,2,7894142,137066,41665,10231,5527,1593,17156,28894,10225,23350,269
5,7848265,0,3923989,3924276,626809,431043,408057,438628,42768,46604,10115,10254,5462,23569,58345,1368567,437067,265674,2,7870347,138641,42768,10115,5462,1512,16761,28331,10254,23569,214
6,7828708,0,3913890,3914818,661270,428782,402585,437213,44324,46010,9844,10325,5481,22871,59649,1404017,427632,260437,3,7848265,138772,44324,9844,5481,1548,16689,27773,10325,22871,252
7,7810252,0,3904755,3905497,696776,426396,396931,435790,45493,45595,9595,10135,5267,23081,60355,1436984,418522,255431,3,7828708,138855,45493,9595,5267,1522,16720,27353,10135,23081,227
8,7792617,0,3896062,3896555,733006,424149,391858,434166,46337,45050,9370,10237,5153,23208,60860,1468559,409742,250587,3,7810252,139166,46337,9370,5153,1640,16367,27043,10237,23208,223
9,7777288,0,3888536,3888752,770637,422277,386659,432662,47972,44747,8988,10149,5125,22518,62085,1498028,401419,245851,3,7792617,139355,47972,8988,5125,1659,16652,26436,10149,22518,256
10,7763095,0,3881402,3881693,808999,420016,381687,431068,48710,44343,9077,9960,5077,22754,62864,1525555,393098,241195,3,7777288,139499,48710,9077,5077,1602,16294,26447,9960,22754,213
11,7749215,0,3874509,3874706,847768,417867,376738,429368,49338,43964,8776,9977,4908,22961,63022,1551968,385186,236729,3,7763095,139921,49338,8776,4908,1681,16405,25878,9977,22961,212
12,7736826,0,3868220,3868606,887355,415539,371777,427496,50504,43509,8678,9949,4759,22872,63941,1576930,377444,232470,3,7749215,139924,50504,8678,4759,1704,16057,25748,9949,22872,218
13,7724731,0,3862175,3862556,927459,413377,367022,425737,50973,43191,8553,10162,4629,22897,64155,1600764,369910,228345,3,7736826,140271,50973,8553,4629,1674,16043,25474,10162,22897,208
14,7714118,0,3856726,3857392,967976,411176,362507,423757,51766,42662,8274,9979,4669,22681,64709,1623627,362706,224227,3,7724731,140405,51766,8274,4669,1777,15880,25005,9979,22681,194
15,7704021,0,3851480,3852541,1008928,409195,358178,421708,52180,42265,8298,10156,4589,22743,65067,1644934,355598,220283,3,7714118,140031,52180,8298,4589,1777,16101,24387,10156,22743,205
16,7694695,0,3846505,3848190,1050520,407202,353744,419453,52992,42151,8058,10074,4539,22690,65589,1665199,348742,216449,3,7704021,140231,52992,8058,4539,1833,15674,24644,10074,22690,209
17,7686183,0,3841907,3844276,1092514,404968,349451,417322,53712,41673,7877,10037,4389,22780,65978,1684364,342210,212753,4,7694695,140504,53712,7877,4389,1847,15666,24160,10037,22780,217
18,7678741,0,3838165,3840576,1135015,403000,345356,415336,54430,41160,7722,9952,4270,22752,66422,1702313,335797,209285,4,7686183,140468,54430,7722,4270,1902,15643,23615,9952,22752,222
19,7672652,0,3835145,3837507,1178230,401078,341312,413131,55335,40744,7594,10142,4194,22326,67123,1718583,329649,205904,4,7678741,140286,55335,7594,4194,1950,15675,23119,10142,22326,228
20,7666840,0,3832382,3834458,1221545,398800,337390,410789,55676,40307,7448,10092,4248,22785,67372,1733789,323696,202491,4,7672652,140335,55676,7448,4248,2008,15340,22959,10092,22785,214
21,7661720,0,3829787,3831933,1265113,396806,333517,408406,55903,39758,7272,10098,4210,22649,67385,1748703,317928,199144,4,7666840,140556,55903,7272,4210,1961,15328,22469,10098,22649,201
22,7657195,0,3827597,3829598,1309097,395045,329868,406070,56455,39794,7143,9886,4004,22447,67602,1762241,312386,196051,4,7661720,139890,56455,7143,4004,2047,15398,22349,9886,22447,178
23,7653323,0,3825976,3827347,1353402,393370,326144,403675,57177,39240,7029,9984,4032,22886,68238,1774585,307043,192939,4,7657195,139729,57177,7029,4032,2042,14896,22302,9984,22886,218
