tick,sex,event_age_months,count
0,male,0,16
0,male,1,13
0,male,2,17
0,male,3,20
0,male,4,50
0,male,5,37
0,male,6,62
0,male,7,47
0,male,8,41
0,male,9,56
0,male,10,55
0,male,11,54
0,male,12,49
0,male,13,180
0,male,14,184
0,male,15,167
0,male,16,182
0,male,17,172
0,female,0,19
0,female,1,23
0,female,2,20
0,female,3,15
0,female,4,56
0,female,5,54
0,female,6,44
0,female,7,45
0,female,8,50
0,female,9,55
0,female,10,50
0,female,11,53
0,female,12,54
0,female,13,193
0,female,14,172
0,female,15,164
0,female,16,165
0,female,17,178
1,male,0,15
1,male,1,17
1,male,2,15
1,male,3,30
1,male,4,56
1,male,5,55
1,male,6,45
1,male,7,53
1,male,8,51
1,male,9,53
1,male,10,49
1,male,11,53
1,male,12,56
1,male,13,180
1,male,14,174
1,male,15,190
1,male,16,197
1,male,17,177
1,male,18,6
1,female,0,11
1,female,1,20
1,female,2,13
1,female,3,21
1,female,4,50
1,female,5,51
1,female,6,53
1,female,7,52
1,female,8,48
1,female,9,52
1,female,10,47
1,female,11,40
1,female,12,43
1,female,13,170
1,female,14,167
1,female,15,162
1,female,16,165
1,female,17,173
1,female,18,4
2,male,0,25
2,male,1,16
2,male,2,19
2,male,3,21
2,male,4,46
2,male,5,51
2,male,6,66
2,male,7,53
2,male,8,54
2,male,9,45
2,male,10,49
2,male,11,48
2,male,12,58
2,male,13,154
2,male,14,170
2,male,15,185
2,male,16,177
2,male,17,159
2,male,18,3
2,female,0,18
2,female,1,10
2,female,2,18
2,female,3,17
2,female,4,50
2,female,5,49
2,female,6,39
2,female,7,49
2,female,8,48
2,female,9,39
2,female,10,60
2,female,11,40
2,female,12,41
2,female,13,206
2,female,14,153
2,female,15,174
2,female,16,174
2,female,17,179
2,female,18,10
3,male,0,20
3,male,1,12
3,male,2,14
3,male,3,20
3,male,4,56
3,male,5,44
3,male,6,52
3,male,7,43
3,male,8,54
3,male,9,46
3,male,10,50
3,male,11,43
3,male,12,52
3,male,13,175
3,male,14,175
3,male,15,161
3,male,16,175
3,male,17,181
3,male,18,10
3,female,0,19
3,female,1,24
3,female,2,16
3,female,3,27
3,female,4,52
3,female,5,53
3,female,6,60
3,female,7,42
3,female,8,44
3,female,9,32
3,female,10,55
3,female,11,50
3,female,12,39
3,female,13,195
3,female,14,178
3,female,15,171
3,female,16,164
3,female,17,200
3,female,18,11
4,male,0,21
4,male,1,16
4,male,2,11
4,male,3,15
4,male,4,56
4,male,5,54
4,male,6,47
4,male,7,50
4,male,8,53
4,male,9,60
4,male,10,46
4,male,11,50
4,male,12,61
4,male,13,168
4,male,14,168
4,male,15,188
4,male,16,172
4,male,17,158
4,male,18,15
4,female,0,26
4,female,1,23
4,female,2,18
4,female,3,13
4,female,4,61
4,female,5,53
4,female,6,47
4,female,7,65
4,female,8,37
4,female,9,46
4,female,10,45
4,female,11,47
4,female,12,42
4,female,13,171
4,female,14,149
4,female,15,159
4,female,16,182
4,female,17,163
4,female,18,18
5,male,0,21
5,male,1,15
5,male,2,12
5,male,3,18
5,male,4,56
5,male,5,55
5,male,6,51
5,male,7,50
5,male,8,48
5,male,9,57
5,male,10,48
5,male,11,53
5,male,12,48
5,male,13,167
5,male,14,155
5,male,15,176
5,male,16,175
5,male,17,166
5,male,18,16
5,female,0,26
5,female,1,18
5,female,2,25
5,female,3,11
5,female,4,39
5,female,5,50
5,female,6,46
5,female,7,49
5,female,8,43
5,female,9,48
5,female,10,58
5,female,11,52
5,female,12,51
5,female,13,178
5,female,14,162
5,female,15,159
5,female,16,167
5,female,17,163
5,female,18,17
6,male,0,20
6,male,1,10
6,male,2,19
6,male,3,15
6,male,4,50
6,male,5,57
6,male,6,44
6,male,7,57
6,male,8,52
6,male,9,46
6,male,10,61
6,male,11,48
6,male,12,56
6,male,13,163
6,male,14,179
6,male,15,181
6,male,16,176
6,male,17,154
6,male,18,16
6,female,0,19
6,female,1,27
6,female,2,17
6,female,3,19
6,female,4,40
6,female,5,46
6,female,6,55
6,female,7,38
6,female,8,51
6,female,9,63
6,female,10,54
6,female,11,52
6,female,12,40
6,female,13,161
6,female,14,169
6,female,15,169
6,female,16,161
6,female,17,171
6,female,18,20
7,male,0,17
7,male,1,18
7,male,2,18
7,male,3,15
7,male,4,42
7,male,5,53
7,male,6,43
7,male,7,49
7,male,8,56
7,male,9,52
7,male,10,59
7,male,11,45
7,male,12,56
7,male,13,160
7,male,14,161
7,male,15,164
7,male,16,152
7,male,17,134
7,male,18,22
7,female,0,25
7,female,1,20
7,female,2,17
7,female,3,15
7,female,4,34
7,female,5,53
7,female,6,44
7,female,7,43
7,female,8,54
7,female,9,55
7,female,10,51
7,female,11,47
7,female,12,43
7,female,13,195
7,female,14,160
7,female,15,156
7,female,16,154
7,female,17,170
7,female,18,22
8,male,0,23
8,male,1,17
8,male,2,7
