tick,sex,area,age_months,count
0,male,0,0,5999
0,male,0,1,5522
0,male,0,2,5458
0,male,0,3,5546
0,male,0,4,5525
0,male,0,5,5452
0,male,0,6,5629
0,male,0,7,5593
0,male,0,8,5629
0,male,0,9,5545
0,male,0,10,5639
0,male,0,11,5555
0,male,0,12,5492
0,male,0,13,5462
0,male,0,14,5395
0,male,0,15,5392
0,male,0,16,5507
0,male,0,17,5484
0,male,0,18,81
0,male,1,0,5843
0,male,1,1,5616
0,male,1,2,5542
0,male,1,3,5465
0,male,1,4,5465
0,male,1,5,5650
0,male,1,6,5692
0,male,1,7,5601
0,male,1,8,5662
0,male,1,9,5496
0,male,1,10,5469
0,male,1,11,5674
0,male,1,12,5508
0,male,1,13,5405
0,male,1,14,5413
0,male,1,15,5554
0,male,1,16,5507
0,male,1,17,5520
0,male,1,18,109
0,male,2,0,5943
0,male,2,1,5510
0,male,2,2,5559
0,male,2,3,5547
0,male,2,4,5582
0,male,2,5,5572
0,male,2,6,5511
0,male,2,7,5381
0,male,2,8,5559
0,male,2,9,5606
0,male,2,10,5508
0,male,2,11,5606
0,male,2,12,5354
0,male,2,13,5534
0,male,2,14,5441
0,male,2,15,5407
0,male,2,16,5400
0,male,2,17,5477
0,male,2,18,93
0,male,3,0,5834
0,male,3,1,5531
0,male,3,2,5431
0,male,3,3,5623
0,male,3,4,5534
0,male,3,5,5621
0,male,3,6,5623
0,male,3,7,5522
0,male,3,8,5540
0,male,3,9,5623
0,male,3,10,5671
0,male,3,11,5651
0,male,3,12,5589
0,male,3,13,5477
0,male,3,14,5569
0,male,3,15,5469
0,male,3,16,5519
0,male,3,17,5344
0,male,3,18,90
0,female,0,0,5886
0,female,0,1,5686
0,female,0,2,5440
0,female,0,3,5481
0,female,0,4,5493
0,female,0,5,5517
0,female,0,6,5454
0,female,0,7,5613
0,female,0,8,5484
0,female,0,9,5521
0,female,0,10,5395
0,female,0,11,5497
0,female,0,12,5415
0,female,0,13,5482
0,female,0,14,5637
0,female,0,15,5458
0,female,0,16,5483
0,female,0,17,5491
0,female,0,18,97
0,female,1,0,5981
0,female,1,1,5478
0,female,1,2,5511
0,female,1,3,5535
0,female,1,4,5483
0,female,1,5,5483
0,female,1,6,5591
0,female,1,7,5429
0,female,1,8,5361
0,female,1,9,5427
0,female,1,10,5552
0,female,1,11,5591
0,female,1,12,5464
0,female,1,13,5658
0,female,1,14,5545
0,female,1,15,5444
0,female,1,16,5572
0,female,1,17,5493
0,female,1,18,83
0,female,2,0,5944
0,female,2,1,5540
0,female,2,2,5544
0,female,2,3,5554
0,female,2,4,5676
0,female,2,5,5603
0,female,2,6,5530
0,female,2,7,5545
0,female,2,8,5518
0,female,2,9,5592
0,female,2,10,5599
0,female,2,11,5574
0,female,2,12,5402
0,female,2,13,5509
0,female,2,14,5444
0,female,2,15,5545
0,female,2,16,5459
0,female,2,17,5493
0,female,2,18,96
0,female,3,0,5841
0,female,3,1,5531
0,female,3,2,5546
0,female,3,3,5359
0,female,3,4,5551
0,female,3,5,5590
0,female,3,6,5400
0,female,3,7,5579
0,female,3,8,5516
0,female,3,9,5715
0,female,3,10,5397
0,female,3,11,5610
0,female,3,12,5398
0,female,3,13,5486
0,female,3,14,5318
0,female,3,15,5397
0,female,3,16,5523
0,female,3,17,5645
0,female,3,18,96
1,male,0,0,6330
1,male,0,1,5502
1,male,0,2,5431
1,male,0,3,5519
1,male,0,4,5525
1,male,0,5,5415
1,male,0,6,5615
1,male,0,7,5573
1,male,0,8,5591
1,male,0,9,5519
1,male,0,10,5625
1,male,0,11,5523
1,male,0,12,5461
1,male,0,13,5390
1,male,0,14,5350
1,male,0,15,5339
1,male,0,16,5420
1,male,0,17,5422
1,male,0,18,173
1,male,1,0,6178
1,male,1,1,5584
1,male,1,2,5499
1,male,1,3,5467
1,male,1,4,5449
1,male,1,5,5588
1,male,1,6,5673
1,male,1,7,5568
1,male,1,8,5640
1,male,1,9,5466
1,male,1,10,5453
1,male,1,11,5626
1,male,1,12,5480
1,male,1,13,5350
1,male,1,14,5337
1,male,1,15,5471
1,male,1,16,5427
1,male,1,17,5456
1,male,1,18,194
1,male,2,0,6325
1,male,2,1,5497
1,male,2,2,5536
1,male,2,3,5542
1,male,2,4,5547
1,male,2,5,5563
1,male,2,6,5483
1,male,2,7,5378
1,male,2,8,5513
1,male,2,9,5593
1,male,2,10,5484
1,male,2,11,5578
1,male,2,12,5325
1,male,2,13,5483
1,male,2,14,5349
1,male,2,15,5356
1,male,2,16,5323
1,male,2,17,5410
1,male,2,18,192
1,male,3,0,6188
1,male,3,1,5486
1,male,3,2,5406
1,male,3,3,5594
1,male,3,4,5518
1,male,3,5,5591
1,male,3,6,5598
1,male,3,7,5497
1,male,3,8,5531
1,male,3,9,5585
1,male,3,10,5637
1,male,3,11,5650
1,male,3,12,5566
1,male,3,13,5387
1,male,3,14,5517
1,male,3,15,5400
1,male,3,16,5442
1,male,3,17,5278
1,male,3,18,184
1,female,0,0,6239
1,female,0,1,5650
1,female,0,2,5385
1,female,0,3,5487
1,female,0,4,5474
1,female,0,5,5487
1,female,0,6,5426
1,female,0,7,5596
1,female,0,8,5454
1,female,0,9,5480
1,female,0,10,5393
1,female,0,11,5493
1,female,0,12,5371
1,female,0,13,5406
1,female,0,14,5543
1,female,0,15,5402
1,female,0,16,5430
1,female,0,17,5417
1,female,0,18,191
1,female,1,0,6376
1,female,1,1,5453
1,female,1,2,5473
1,female,1,3,5532
1,female,1,4,5438
1,female,1,5,5490
1,female,1,6,5547
1,female,1,7,5434
1,female,1,8,5307
1,female,1,9,5431
1,female,1,10,5528
1,female,1,11,5544
1,female,1,12,5452
1,female,1,13,5594
1,female,1,14,5495
1,female,1,15,5367
1,female,1,16,5476
1,female,1,17,5463
1,female,1,18,147
1,female,2,0,6321
1,female,2,1,5532
1,female,2,2,5512
1,female,2,3,5516
1,female,2,4,5662
1,female,2,5,5569
1,female,2,6,5526
1,female,2,7,5520
1,female,2,8,5493
1,female,2,9,5568
1,female,2,10,5574
1,female,2,11,5567
1,female,2,12,5358
1,female,2,13,5465
1,female,2,14,5383
1,female,2,15,5459
1,female,2,16,5409
1,female,2,17,5416
1,female,2,18,185
1,female,3,0,6225
1,female,3,1,5493
1,female,3,2,5511
1,female,3,3,5364
1,female,3,4,5525
1,female,3,5,5579
1,female,3,6,5358
1,female,3,7,5571
1,female,3,8,5473
1,female,3,9,5683
1,female,3,10,5368
1,female,3,11,5588
1,female,3,12,5384
1,female,3,13,5425
1,female,3,14,5285
1,female,3,15,5319
1,female,3,16,5440
1,female,3,17,5580
1,female,3,18,185
2,male,0,0,6712
2,male,0,1,5477
2,male,0,2,5380
2,male,0,3,5498
2,male,0,4,5510
2,male,0,5,5372
2,male,0,6,5582
2,male,0,7,5576
2,male,0,8,5552
2,male,0,9,5498
2,male,0,10,5585
2,male,0,11,5489
2,male,0,12,5415
2,male,0,13,5343
2,male,0,14,5283
2,male,0,15,5288
2,male,0,16,5330
2,male,0,17,5367
2,male,0,18,262
2,male,1,0,6573
2,male,1,1,5552
2,male,1,2,5482
2,male,1,3,5459
2,male,1,4,5436
2,male,1,5,5560
2,male,1,6,5643
2,male,1,7,5525
2,male,1,8,5618
2,male,1,9,5431
2,male,1,10,5423
2,male,1,11,5610
2,male,1,12,5442
2,male,1,13,5314
2,male,1,14,5266
2,male,1,15,5400
2,male,1,16,5357
2,male,1,17,5369
2,male,1,18,301
2,male,2,0,6705
2,male,2,1,5474
2,male,2,2,5506
2,male,2,3,5508
2,male,2,4,5515
2,male,2,5,5566
2,male,2,6,5454
2,male,2,7,5350
2,male,2,8,5516
2,male,2,9,5541
2,male,2,10,5464
2,male,2,11,5547
2,male,2,12,5314
2,male,2,13,5410
2,male,2,14,5284
2,male,2,15,5297
2,male,2,16,5261
2,male,2,17,5353
2,male,2,18,269
2,male,3,0,6566
2,male,3,1,5456
2,male,3,2,5370
2,male,3,3,5575
2,male,3,4,5496
2,male,3,5,5569
2,male,3,6,5557
2,male,3,7,5480
2,male,3,8,5511
2,male,3,9,5551
2,male,3,10,5611
2,male,3,11,5642
2,male,3,12,5536
2,male,3,13,5342
2,male,3,14,5476
2,male,3,15,5301
2,male,3,16,5412
2,male,3,17,5189
2,male,3,18,276
2,female,0,0,6576
2,female,0,1,5606
2,female,0,2,5369
2,female,0,3,5459
2,female,0,4,5445
2,female,0,5,5466
2,female,0,6,5392
2,female,0,7,5577
2,female,0,8,5432
2,female,0,9,5425
2,female,0,10,5390
2,female,0,11,5477
2,female,0,12,5334
2,female,0,13,5350
2,female,0,14,5453
2,female,0,15,5345
2,female,0,16,5363
2,female,0,17,5335
2,female,0,18,282
2,female,1,0,6745
2,female,1,1,5454
2,female,1,2,5448
2,female,1,3,5507
2,female,1,4,5413
2,female,1,5,5495
2,female,1,6,5525
2,female,1,7,5393
2,female,1,8,5285
2,female,1,9,5412
2,female,1,10,5510
2,female,1,11,5513
2,female,1,12,5418
