tick,sex,area,age_months,count
0,male,0,0,58854
0,male,0,1,55545
0,male,0,2,55445
0,male,0,3,55098
0,male,0,4,55324
0,male,0,5,55404
0,male,0,6,55499
0,male,0,7,55409
0,male,0,8,55412
0,male,0,9,55301
0,male,0,10,55768
0,male,0,11,55269
0,male,0,12,55155
0,male,0,13,54979
0,male,0,14,54748
0,male,0,15,54682
0,male,0,16,54812
0,male,0,17,54671
0,male,1,0,59247
0,male,1,1,55326
0,male,1,2,55418
0,male,1,3,55303
0,male,1,4,55543
0,male,1,5,55585
0,male,1,6,55865
0,male,1,7,55389
0,male,1,8,55481
0,male,1,9,55222
0,male,1,10,55140
0,male,1,11,55488
0,male,1,12,55269
0,male,1,13,54527
0,male,1,14,54345
0,male,1,15,54570
0,male,1,16,54340
0,male,1,17,54595
0,male,2,0,58592
0,male,2,1,55436
0,male,2,2,54981
0,male,2,3,55249
0,male,2,4,55231
0,male,2,5,55062
0,male,2,6,55610
0,male,2,7,55357
0,male,2,8,55657
0,male,2,9,55337
0,male,2,10,55208
0,male,2,11,55269
0,male,2,12,54626
0,male,2,13,55022
0,male,2,14,54304
0,male,2,15,54652
0,male,2,16,54076
0,male,2,17,54655
0,male,3,0,58862
0,male,3,1,55336
0,male,3,2,55206
0,male,3,3,55600
0,male,3,4,55432
0,male,3,5,55332
0,male,3,6,55422
0,male,3,7,55537
0,male,3,8,55202
0,male,3,9,55695
0,male,3,10,55484
0,male,3,11,55206
0,male,3,12,55492
0,male,3,13,54894
0,male,3,14,54622
0,male,3,15,54278
0,male,3,16,54695
0,male,3,17,54712
0,female,0,0,58638
0,female,0,1,55407
0,female,0,2,54912
0,female,0,3,55384
0,female,0,4,55140
0,female,0,5,55382
0,female,0,6,55161
0,female,0,7,55491
0,female,0,8,55138
0,female,0,9,55496
0,female,0,10,55388
0,female,0,11,55115
0,female,0,12,54509
0,female,0,13,54616
0,female,0,14,54826
0,female,0,15,54243
0,female,0,16,54466
0,female,0,17,54436
0,female,1,0,58817
0,female,1,1,55210
0,female,1,2,55479
0,female,1,3,55349
0,female,1,4,54820
0,female,1,5,55388
0,female,1,6,55305
0,female,1,7,55143
0,female,1,8,55181
0,female,1,9,55272
0,female,1,10,55322
0,female,1,11,55653
0,female,1,12,55044
0,female,1,13,55114
0,female,1,14,54814
0,female,1,15,54717
0,female,1,16,54718
0,female,1,17,54577
0,female,2,0,59456
0,female,2,1,55299
0,female,2,2,54994
0,female,2,3,55260
0,female,2,4,55566
0,female,2,5,55515
0,female,2,6,55414
0,female,2,7,55449
0,female,2,8,55249
0,female,2,9,55018
0,female,2,10,55298
0,female,2,11,55314
0,female,2,12,55140
0,female,2,13,54423
0,female,2,14,55163
0,female,2,15,55124
0,female,2,16,54663
0,female,2,17,54471
0,female,3,0,58912
0,female,3,1,55544
0,female,3,2,55602
0,female,3,3,55113
0,female,3,4,55513
0,female,3,5,55176
0,female,3,6,55446
0,female,3,7,55418
0,female,3,8,55294
0,female,3,9,55563
0,female,3,10,55421
0,female,3,11,55460
0,female,3,12,55104
0,female,3,13,54746
0,female,3,14,54510
0,female,3,15,54262
0,female,3,16,54831
0,female,3,17,55085
1,male,0,0,62200
1,male,0,1,55296
1,male,0,2,55173
1,male,0,3,54862
1,male,0,4,55087
1,male,0,5,55145
1,male,0,6,55269
1,male,0,7,55214
1,male,0,8,55146
1,male,0,9,55050
1,male,0,10,55465
1,male,0,11,54985
1,male,0,12,54907
1,male,0,13,54192
1,male,0,14,53906
1,male,0,15,53846
1,male,0,16,53879
1,male,0,17,53795
1,male,1,0,62606
1,male,1,1,55075
1,male,1,2,55154
1,male,1,3,55081
1,male,1,4,55274
1,male,1,5,55358
1,male,1,6,55624
1,male,1,7,55156
1,male,1,8,55239
1,male,1,9,54938
1,male,1,10,54904
1,male,1,11,55243
1,male,1,12,55041
1,male,1,13,53861
1,male,1,14,53517
1,male,1,15,53784
1,male,1,16,53461
1,male,1,17,53742
1,male,2,0,62015
1,male,2,1,55191
1,male,2,2,54710
1,male,2,3,55060
1,male,2,4,54948
1,male,2,5,54816
1,male,2,6,55350
1,male,2,7,55099
1,male,2,8,55414
1,male,2,9,55091
1,male,2,10,54982
1,male,2,11,54975
1,male,2,12,54339
1,male,2,13,54357
1,male,2,14,53384
1,male,2,15,53776
1,male,2,16,53166
1,male,2,17,53753
1,male,3,0,62308
1,male,3,1,55068
1,male,3,2,54944
1,male,3,3,55392
