tick,sex,event_age_months,count
0,male,0,95
0,male,1,110
0,male,2,113
0,male,3,108
0,male,4,342
0,male,5,322
0,male,6,340
0,male,7,325
0,male,8,334
0,male,9,336
0,male,10,339
0,male,11,308
0,male,12,314
0,male,13,1335
0,male,14,1346
0,male,15,1305
0,male,16,1297
0,male,17,1297
0,female,0,112
0,female,1,102
0,female,2,91
0,female,3,103
0,female,4,344
0,female,5,347
0,female,6,324
0,female,7,330
0,female,8,361
0,female,9,318
0,female,10,339
0,female,11,318
0,female,12,331
0,female,13,1373
0,female,14,1277
0,female,15,1310
0,female,16,1316
0,female,17,1368
1,male,0,101
1,male,1,100
1,male,2,103
1,male,3,101
1,male,4,337
1,male,5,350
1,male,6,330
1,male,7,352
1,male,8,329
1,male,9,327
1,male,10,331
1,male,11,332
1,male,12,321
1,male,13,1320
1,male,14,1328
1,male,15,1246
1,male,16,1327
1,male,17,1358
1,male,18,14
1,female,0,107
1,female,1,101
1,female,2,121
1,female,3,112
1,female,4,346
1,female,5,331
1,female,6,318
1,female,7,316
1,female,8,332
1,female,9,338
1,female,10,329
1,female,11,343
1,female,12,321
1,female,13,1314
1,female,14,1233
1,female,15,1321
1,female,16,1245
1,female,17,1288
1,female,18,25
