tick,entry_stream,area,count
0,birth_slot,0,146059
0,birth_slot,1,146502
0,birth_slot,2,146153
0,birth_slot,3,146710
0,overseas_slot,0,61278
0,overseas_slot,1,61322
0,overseas_slot,2,61067
0,overseas_slot,3,61367
0,internal_slot,0,37058
0,internal_slot,1,36864
0,internal_slot,2,36785
0,internal_slot,3,36556
1,birth_slot,0,152022
1,birth_slot,1,152560
1,birth_slot,2,151848
1,birth_slot,3,152778
1,overseas_slot,0,60058
1,overseas_slot,1,60108
1,overseas_slot,2,59850
1,overseas_slot,3,60173
1,internal_slot,0,36412
1,internal_slot,1,36258
1,internal_slot,2,36165
1,internal_slot,3,35916
