tick,sex,area,age_months,count
0,male,0,0,59051
0,male,0,1,55610
0,male,0,2,55349
0,male,0,3,55209
0,male,0,4,55281
0,male,0,5,55303
0,male,0,6,55517
0,male,0,7,55438
0,male,0,8,55410
0,male,0,9,55282
0,male,0,10,55685
0,male,0,11,55272
0,male,0,12,55097
0,male,0,13,55139
0,male,0,14,55044
0,male,0,15,54903
0,male,0,16,55071
0,male,0,17,54955
0,male,0,18,883
0,male,1,0,59253
0,male,1,1,55372
0,male,1,2,55349
0,male,1,3,55298
0,male,1,4,55505
0,male,1,5,55594
0,male,1,6,55848
0,male,1,7,55434
0,male,1,8,55440
0,male,1,9,55182
0,male,1,10,55126
0,male,1,11,55477
0,male,1,12,55248
0,male,1,13,54746
0,male,1,14,54611
0,male,1,15,54921
0,male,1,16,54659
0,male,1,17,54868
0,male,1,18,948
0,male,2,0,58782
0,male,2,1,55442
0,male,2,2,54950
0,male,2,3,55295
0,male,2,4,55337
0,male,2,5,54930
0,male,2,6,55599
0,male,2,7,55317
0,male,2,8,55725
0,male,2,9,55250
0,male,2,10,55185
0,male,2,11,55297
0,male,2,12,54613
0,male,2,13,55286
0,male,2,14,54621
0,male,2,15,54850
0,male,2,16,54397
0,male,2,17,54896
0,male,2,18,950
0,male,3,0,59001
0,male,3,1,55419
0,male,3,2,55163
0,male,3,3,55537
0,male,3,4,55494
0,male,3,5,55356
0,male,3,6,55375
0,male,3,7,55475
0,male,3,8,55099
0,male,3,9,55667
0,male,3,10,55450
0,male,3,11,55198
0,male,3,12,55399
0,male,3,13,55161
0,male,3,14,54899
0,male,3,15,54702
0,male,3,16,54875
0,male,3,17,55000
0,male,3,18,952
0,female,0,0,58914
0,female,0,1,55407
0,female,0,2,54937
0,female,0,3,55389
0,female,0,4,55226
0,female,0,5,55334
0,female,0,6,55134
0,female,0,7,55426
0,female,0,8,55134
0,female,0,9,55517
0,female,0,10,55267
0,female,0,11,54984
0,female,0,12,54599
0,female,0,13,54912
0,female,0,14,55059
0,female,0,15,54568
0,female,0,16,54773
0,female,0,17,54795
0,female,0,18,923
0,female,1,0,58909
0,female,1,1,55201
0,female,1,2,55501
0,female,1,3,55370
0,female,1,4,54821
0,female,1,5,55321
0,female,1,6,55395
0,female,1,7,55167
0,female,1,8,55107
0,female,1,9,55340
0,female,1,10,55159
0,female,1,11,55720
0,female,1,12,55060
0,female,1,13,55461
0,female,1,14,55057
0,female,1,15,54979
0,female,1,16,55018
0,female,1,17,54833
0,female,1,18,888
0,female,2,0,59624
0,female,2,1,55324
0,female,2,2,55016
0,female,2,3,55321
0,female,2,4,55542
0,female,2,5,55435
0,female,2,6,55444
0,female,2,7,55430
0,female,2,8,55297
0,female,2,9,55036
0,female,2,10,55252
0,female,2,11,55257
0,female,2,12,55171
0,female,2,13,54638
0,female,2,14,55421
0,female,2,15,55304
0,female,2,16,54987
0,female,2,17,54793
