# params={"birth_rate":0.032867883584077905,"mortality_young":0.0008342086965791935,"mortality_adult":0.004345626301207654,"mortality_old":0.013697168847177664,"overseas_arrival_rate":0.022657905637119273,"emigration_rate":0.0013184583748960818,"internal_departure_rate":0.0029880102580608758,"internal_arrival_rate":0.020501937891141707}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,797250,0,399068,398182,47134,44306,43833,44471,3869,4904,1171,1111,611,2386,5651,116131,48829,29389,1,800000,0,3869,1171,611,147,1773,2984,1111,2386,21
1,794713,0,397775,396938,50045,44077,43177,44438,3819,4674,1072,1054,593,2293,5484,120713,47757,28796,1,797250,14052,3819,1072,593,145,1740,2789,1054,2293,26
2,792115,0,396470,395645,53042,43813,42638,44299,3915,4854,1109,1086,593,2275,5617,124819,46648,28203,2,794713,13505,3915,1109,593,151,1754,2949,1086,2275,30
3,789665,0,395228,394437,56108,43585,42024,44180,3971,4680,1045,1011,569,2344,5585,129041,45619,27640,2,792115,13832,3971,1045,569,145,1654,2881,1011,2344,17
4,787105,0,393880,393225,59243,43343,41493,44124,4084,4819,1000,991,537,2371,5621,132960,44641,27113,2,789665,13620,4084,1000,537,175,1759,2885,991,2371,31
5,784768,0,392572,392196,62472,43077,40944,43998,4230,4691,995,1031,549,2389,5774,136866,43677,26578,2,787105,13802,4230,995,549,161,1711,2819,1031,2389,21
6,782591,0,391390,391201,65836,42872,40360,43828,4366,4734,990,1026,527,2300,5883,140549,42723,26077,2,784768,13885,4366,990,527,149,1604,2981,1026,2300,24
7,780744,0,390497,390247,69266,42594,39820,43689,4445,4531,992,1003,542,2292,5979,144069,41799,25562,3,782591,13943,4445,992,542,164,1697,2670,1003,2292,24
8,778902,0,389615,389287,72973,42424,39233,43457,4733,4620,883,1067,562,2333,6178,147073,40981,25024,3,780744,13805,4733,883,562,165,1687,2768,1067,2333,23
9,777216,0,388731,388485,76601,42271,38685,43309,4718,4518,876,1031,442,2173,6036,150246,40189,24627,3,778902,14198,4718,876,442,169,1680,2669,1031,2173,23
10,775785,0,388011,387774,80548,42030,38126,43164,4980,4502,912,993,492,2320,6384,152874,39354,24172,3,777216,13758,4980,912,492,176,1619,2707,993,2320,21
11,774474,0,387328,387146,84562,41829,37595,43024,5141,4489,910,968,456,2361,6507,155413,38529,23766,3,775785,14199,5141,910,456,193,1645,2651,968,2361,21
12,773222,0,386715,386507,88419,41674,37122,42840,4951,4372,908,973,505,2271,6364,158144,37712,23306,3,774474,14325,4951,908,505,165,1589,2618,973,2271,23
13,771962,0,386065,385897,92419,41440,36659,42658,5067,4312,784,996,461,2264,6312,160558,37016,22892,3,773222,13980,5067,784,461,156,1599,2557,996,2264,16
14,770686,0,385448,385238,96401,41198,36154,42506,5079,4301,827,1030,483,2334,6389,162886,36291,22472,3,771962,13884,5079,827,483,172,1606,2523,1030,2334,25
15,769726,0,384938,384788,100508,41045,35705,42344,5217,4204,778,1003,437,2185,6432,165136,35646,22100,3,770686,14054,5217,778,437,186,1613,2405,1003,2185,17
16,768845,0,384447,384398,104663,40826,35321,42158,5313,4181,806,1013,455,2261,6574,167036,34962,21702,3,769726,13824,5313,806,455,181,1581,2419,1013,2261,16
17,768248,0,384254,383994,108880,40557,34855,42015,5381,4052,830,935,453,2274,6664,168921,34260,21310,3,768845,14029,5381,830,453,194,1478,2380,935,2274,21
18,767514,0,383842,383672,113241,40373,34463,41827,5559,4184,745,985,439,2308,6743,170410,33648,20951,3,768248,13925,5559,745,439,228,1603,2353,985,2308,24
19,766867,0,383559,383308,117425,40174,34055,41605,5436,4033,773,1010,414,2227,6623,172219,33045,20599,3,767514,14220,5436,773,414,193,1584,2256,1010,2227,25
20,766423,0,383476,382947,121830,39980,33692,41338,5624,3954,708,962,422,2282,6754,173635,32490,20254,3,766867,13893,5624,708,422,169,1510,2275,962,2282,20
21,765888,0,383210,382678,126275,39784,33313,41059,5666,4015,755,1038,385,2288,6806,174942,31880,19949,3,766423,13952,5666,755,385,196,1514,2305,1038,2288,11
22,765340,0,382886,382454,130566,39537,32951,40787,5515,4022,722,969,406,2200,6643,176532,31318,19619,3,765888,14147,5515,722,406,205,1560,2257,969,2200,13
23,764930,0,382698,382232,134927,39295,32526,40524,5682,3941,726,983,391,2285,6799,177764,30770,19327,3,765340,13834,5682,726,391,198,1482,2261,983,2285,21
