tick,entry_stream,area,count
0,birth_slot,0,289471
0,birth_slot,1,290832
0,birth_slot,2,289885
0,birth_slot,3,291319
0,overseas_slot,0,123368
0,overseas_slot,1,123172
0,overseas_slot,2,122270
0,overseas_slot,3,123574
0,internal_slot,0,74018
0,internal_slot,1,74143
0,internal_slot,2,73664
0,internal_slot,3,73718
1,birth_slot,0,295796
1,birth_slot,1,297340
1,birth_slot,2,296523
1,birth_slot,3,297899
1,overseas_slot,0,121465
1,overseas_slot,1,121147
1,overseas_slot,2,120351
1,overseas_slot,3,121693
1,internal_slot,0,72927
1,internal_slot,1,73015
1,internal_slot,2,72537
1,internal_slot,3,72570
2,birth_slot,0,301862
2,birth_slot,1,303786
2,birth_slot,2,302947
2,birth_slot,3,304244
2,overseas_slot,0,119508
2,overseas_slot,1,119301
2,overseas_slot,2,118546
2,overseas_slot,3,119749
2,internal_slot,0,71814
2,internal_slot,1,71863
2,internal_slot,2,71481
2,internal_slot,3,71417
3,birth_slot,0,307793
3,birth_slot,1,309884
3,birth_slot,2,308682
3,birth_slot,3,310197
3,overseas_slot,0,117657
3,overseas_slot,1,117498
3,overseas_slot,2,116667
3,overseas_slot,3,117891
3,internal_slot,0,70651
3,internal_slot,1,70763
3,internal_slot,2,70399
3,internal_slot,3,70330
4,birth_slot,0,313578
4,birth_slot,1,315578
4,birth_slot,2,314367
4,birth_slot,3,316063
4,overseas_slot,0,115876
4,overseas_slot,1,115712
4,overseas_slot,2,114893
4,overseas_slot,3,116079
4,internal_slot,0,69616
4,internal_slot,1,69680
4,internal_slot,2,69347
4,internal_slot,3,69319
5,birth_slot,0,319071
5,birth_slot,1,321192
5,birth_slot,2,319715
5,birth_slot,3,321513
5,overseas_slot,0,114208
5,overseas_slot,1,113955
5,overseas_slot,2,113049
5,overseas_slot,3,114370
5,internal_slot,0,68574
5,internal_slot,1,68678
5,internal_slot,2,68331
5,internal_slot,3,68285
6,birth_slot,0,324359
6,birth_slot,1,326238
6,birth_slot,2,324845
6,birth_slot,3,326615
6,overseas_slot,0,112566
6,overseas_slot,1,112204
6,overseas_slot,2,111295
6,overseas_slot,3,112634
6,internal_slot,0,67567
6,internal_slot,1,67672
6,internal_slot,2,67332
6,internal_slot,3,67242
7,birth_slot,0,329263
7,birth_slot,1,331346
7,birth_slot,2,329943
7,birth_slot,3,331643
7,overseas_slot,0,110917
7,overseas_slot,1,110584
7,overseas_slot,2,109643
7,overseas_slot,3,111026
7,internal_slot,0,66574
7,internal_slot,1,66723
7,internal_slot,2,66319
7,internal_slot,3,66303
8,birth_slot,0,333934
8,birth_slot,1,336087
8,birth_slot,2,334587
8,birth_slot,3,336287
8,overseas_slot,0,109197
8,overseas_slot,1,108898
8,overseas_slot,2,108017
8,overseas_slot,3,109356
8,internal_slot,0,65562
8,internal_slot,1,65799
8,internal_slot,2,65330
8,internal_slot,3,65339
9,birth_slot,0,338367
9,birth_slot,1,340729
9,birth_slot,2,338995
9,birth_slot,3,340802
9,overseas_slot,0,107582
9,overseas_slot,1,107339
9,overseas_slot,2,106393
9,overseas_slot,3,107756
9,internal_slot,0,64637
9,internal_slot,1,64869
9,internal_slot,2,64410
9,internal_slot,3,64425
10,birth_slot,0,342692
10,birth_slot,1,344813
10,birth_slot,2,343017
10,birth_slot,3,345203
10,overseas_slot,0,105954
10,overseas_slot,1,105774
10,overseas_slot,2,104951
10,overseas_slot,3,106144
10,internal_slot,0,63746
10,internal_slot,1,63915
10,internal_slot,2,63520
10,internal_slot,3,63510
11,birth_slot,0,347042
11,birth_slot,1,348780
11,birth_slot,2,347083
11,birth_slot,3,349296
