tick,sex,event_age_months,count
0,male,0,283
0,male,1,259
0,male,2,307
0,male,3,305
0,male,4,771
0,male,5,854
0,male,6,823
0,male,7,757
0,male,8,852
0,male,9,795
0,male,10,813
0,male,11,793
0,male,12,793
0,male,13,2199
0,male,14,2094
0,male,15,2155
0,male,16,2131
0,male,17,2088
0,female,0,311
0,female,1,290
0,female,2,284
0,female,3,266
0,female,4,782
0,female,5,806
0,female,6,780
0,female,7,765
0,female,8,795
0,female,9,766
0,female,10,883
0,female,11,854
0,female,12,753
0,female,13,2082
0,female,14,2124
0,female,15,2061
0,female,16,2125
0,female,17,2100
1,male,0,259
1,male,1,293
1,male,2,284
1,male,3,282
1,male,4,739
1,male,5,806
1,male,6,818
1,male,7,786
1,male,8,833
1,male,9,866
1,male,10,774
1,male,11,797
1,male,12,780
1,male,13,2152
1,male,14,2102
1,male,15,2070
1,male,16,2176
1,male,17,2120
1,male,18,29
1,female,0,277
1,female,1,279
1,female,2,277
1,female,3,258
1,female,4,803
1,female,5,769
1,female,6,808
1,female,7,786
1,female,8,849
1,female,9,780
1,female,10,805
1,female,11,840
1,female,12,816
1,female,13,2081
1,female,14,2047
1,female,15,2133
1,female,16,2072
1,female,17,2013
1,female,18,29
2,male,0,298
2,male,1,291
2,male,2,284
2,male,3,262
2,male,4,794
2,male,5,777
2,male,6,791
2,male,7,823
2,male,8,793
2,male,9,792
2,male,10,766
2,male,11,768
2,male,12,802
2,male,13,2089
2,male,14,2009
2,male,15,2101
2,male,16,2085
2,male,17,1977
2,male,18,81
2,female,0,279
2,female,1,262
2,female,2,260
2,female,3,273
2,female,4,804
2,female,5,736
2,female,6,762
2,female,7,769
2,female,8,780
2,female,9,767
2,female,10,793
2,female,11,810
2,female,12,773
2,female,13,2004
2,female,14,2116
2,female,15,2001
2,female,16,2095
2,female,17,2041
2,female,18,70
3,male,0,296
3,male,1,289
3,male,2,253
3,male,3,283
3,male,4,784
3,male,5,849
3,male,6,802
3,male,7,787
3,male,8,811
3,male,9,751
3,male,10,795
3,male,11,773
3,male,12,817
3,male,13,1950
3,male,14,1992
3,male,15,1999
3,male,16,2015
3,male,17,1956
3,male,18,93
3,female,0,268
3,female,1,271
3,female,2,260
3,female,3,265
3,female,4,774
3,female,5,799
3,female,6,785
3,female,7,806
3,female,8,733
3,female,9,768
3,female,10,773
3,female,11,794
3,female,12,776
3,female,13,1975
3,female,14,2032
3,female,15,2058
3,female,16,2025
3,female,17,2071
3,female,18,100
4,male,0,301
4,male,1,300
4,male,2,259
4,male,3,272
4,male,4,798
4,male,5,759
4,male,6,795
4,male,7,810
4,male,8,820
4,male,9,758
4,male,10,813
4,male,11,837
4,male,12,835
4,male,13,2098
4,male,14,1919
4,male,15,1900
4,male,16,2005
4,male,17,1993
4,male,18,123
4,female,0,285
4,female,1,236
4,female,2,245
4,female,3,272
4,female,4,782
4,female,5,771
4,female,6,818
4,female,7,779
4,female,8,782
4,female,9,788
4,female,10,784
4,female,11,756
4,female,12,761
4,female,13,1986
4,female,14,2076
4,female,15,2037
4,female,16,2022
4,female,17,1955
4,female,18,149
5,male,0,326
5,male,1,263
5,male,2,295
5,male,3,255
5,male,4,824
5,male,5,772
5,male,6,765
5,male,7,783
5,male,8,788
5,male,9,769
5,male,10,813
5,male,11,821
5,male,12,717
5,male,13,2004
5,male,14,1899
5,male,15,2028
5,male,16,1897
5,male,17,1957
5,male,18,160
5,female,0,305
5,female,1,255
5,female,2,270
5,female,3,301
5,female,4,759
