tick,sex,area,age_months,count
0,male,0,0,5799
0,male,0,1,5536
0,male,0,2,5466
0,male,0,3,5547
0,male,0,4,5527
0,male,0,5,5452
0,male,0,6,5618
0,male,0,7,5584
0,male,0,8,5610
0,male,0,9,5558
0,male,0,10,5639
0,male,0,11,5573
0,male,0,12,5489
0,male,0,13,5454
0,male,0,14,5369
0,male,0,15,5392
0,male,0,16,5496
0,male,0,17,5472
0,male,0,18,83
0,male,1,0,5640
0,male,1,1,5611
0,male,1,2,5540
0,male,1,3,5474
0,male,1,4,5468
0,male,1,5,5661
0,male,1,6,5692
0,male,1,7,5590
0,male,1,8,5659
0,male,1,9,5502
0,male,1,10,5466
0,male,1,11,5672
0,male,1,12,5502
0,male,1,13,5399
0,male,1,14,5428
0,male,1,15,5545
0,male,1,16,5502
0,male,1,17,5508
0,male,1,18,110
0,male,2,0,5741
0,male,2,1,5495
0,male,2,2,5562
0,male,2,3,5559
0,male,2,4,5582
0,male,2,5,5572
0,male,2,6,5516
0,male,2,7,5384
0,male,2,8,5555
0,male,2,9,5617
0,male,2,10,5515
0,male,2,11,5602
0,male,2,12,5367
0,male,2,13,5545
0,male,2,14,5433
0,male,2,15,5386
0,male,2,16,5411
0,male,2,17,5446
0,male,2,18,92
0,male,3,0,5617
0,male,3,1,5533
0,male,3,2,5417
0,male,3,3,5622
0,male,3,4,5517
0,male,3,5,5606
0,male,3,6,5635
0,male,3,7,5526
0,male,3,8,5533
0,male,3,9,5622
0,male,3,10,5673
0,male,3,11,5660
0,male,3,12,5595
0,male,3,13,5458
0,male,3,14,5541
0,male,3,15,5440
0,male,3,16,5498
0,male,3,17,5340
0,male,3,18,87
0,female,0,0,5657
0,female,0,1,5676
0,female,0,2,5440
0,female,0,3,5460
0,female,0,4,5502
0,female,0,5,5517
0,female,0,6,5468
0,female,0,7,5605
0,female,0,8,5472
0,female,0,9,5511
0,female,0,10,5394
0,female,0,11,5482
0,female,0,12,5430
0,female,0,13,5467
0,female,0,14,5608
0,female,0,15,5435
0,female,0,16,5456
0,female,0,17,5475
0,female,0,18,99
0,female,1,0,5798
0,female,1,1,5478
0,female,1,2,5516
0,female,1,3,5539
0,female,1,4,5488
0,female,1,5,5495
0,female,1,6,5593
0,female,1,7,5433
0,female,1,8,5351
0,female,1,9,5420
0,female,1,10,5573
0,female,1,11,5587
0,female,1,12,5448
0,female,1,13,5644
0,female,1,14,5514
0,female,1,15,5419
0,female,1,16,5542
0,female,1,17,5471
0,female,1,18,83
0,female,2,0,5739
0,female,2,1,5533
0,female,2,2,5551
0,female,2,3,5554
0,female,2,4,5687
0,female,2,5,5606
0,female,2,6,5532
0,female,2,7,5543
0,female,2,8,5522
0,female,2,9,5607
0,female,2,10,5596
0,female,2,11,5571
0,female,2,12,5403
0,female,2,13,5499
0,female,2,14,5442
0,female,2,15,5539
0,female,2,16,5408
0,female,2,17,5467
0,female,2,18,95
0,female,3,0,5628
0,female,3,1,5531
0,female,3,2,5541
0,female,3,3,5360
0,female,3,4,5544
0,female,3,5,5585
0,female,3,6,5387
0,female,3,7,5592
0,female,3,8,5530
0,female,3,9,5717
0,female,3,10,5408
0,female,3,11,5612
0,female,3,12,5405
0,female,3,13,5477
0,female,3,14,5289
0,female,3,15,5371
0,female,3,16,5507
0,female,3,17,5626
0,female,3,18,94
1,male,0,0,5944
1,male,0,1,5533
1,male,0,2,5440
1,male,0,3,5526
1,male,0,4,5536
1,male,0,5,5417
1,male,0,6,5591
1,male,0,7,5560
1,male,0,8,5586
1,male,0,9,5546
1,male,0,10,5632
1,male,0,11,5551
1,male,0,12,5463
1,male,0,13,5340
1,male,0,14,5304
1,male,0,15,5343
1,male,0,16,5414
1,male,0,17,5376
1,male,0,18,172
1,male,1,0,5821
1,male,1,1,5581
1,male,1,2,5501
1,male,1,3,5467
1,male,1,4,5467
1,male,1,5,5605
1,male,1,6,5688
1,male,1,7,5553
1,male,1,8,5633
1,male,1,9,5480
1,male,1,10,5462
1,male,1,11,5626
1,male,1,12,5478
1,male,1,13,5310
