# params={"birth_rate":0.018710017364841295,"mortality_young":0.0012557911061800717,"mortality_adult":0.0029625952996841383,"mortality_old":0.010162173534429985,"overseas_arrival_rate":0.01900783431483249,"emigration_rate":0.0022767501463957234,"internal_departure_rate":0.0017162529650515965,"internal_arrival_rate":0.01636150418353237}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,796829,0,398951,397878,45434,44310,43994,44628,2201,3610,940,1793,496,1405,3637,117799,49060,29504,1,800000,0,2201,940,496,227,1148,2235,1793,1405,16
1,793735,0,397335,396400,46695,44163,43474,44695,2197,3646,948,1826,497,1264,3642,122410,48112,29007,1,796829,10445,2197,948,497,221,1124,2301,1826,1264,12
2,790821,0,395832,394989,48119,43988,43056,44735,2349,3600,910,1735,531,1369,3790,126797,47202,28476,2,793735,10378,2349,910,531,239,1172,2189,1735,1369,14
3,787943,0,394402,393541,49542,43864,42584,44832,2322,3457,935,1726,438,1390,3695,131172,46272,28040,2,790821,10494,2322,935,438,219,1112,2126,1726,1390,17
4,785124,0,392899,392225,51085,43674,42184,44910,2475,3525,860,1722,413,1320,3748,135242,45428,27639,2,787943,10268,2475,860,413,214,1134,2177,1722,1320,15
5,782357,0,391494,390863,52617,43444,41787,44957,2475,3520,862,1752,448,1280,3785,139305,44585,27201,2,785124,10315,2475,862,448,198,1175,2147,1752,1280,19
6,779742,0,390098,389644,54345,43309,41355,44992,2690,3445,838,1762,404,1340,3932,143128,43770,26813,2,782357,10337,2690,838,404,231,1131,2083,1762,1340,19
7,777207,0,388911,388296,56013,43100,40903,45029,2609,3366,857,1679,446,1402,3912,147006,42950,26390,3,779742,10479,2609,857,446,215,1096,2055,1679,1402,14
8,774617,0,387697,386920,57753,43000,40514,44976,2723,3414,819,1807,438,1349,3980,150664,42168,25981,3,777207,10359,2723,819,438,234,1169,2011,1807,1349,13
9,772325,0,386531,385794,59565,42843,40128,45016,2846,3319,801,1712,447,1355,4094,154320,41410,25559,3,774617,10550,2846,801,447,217,1114,1988,1712,1355,18
10,769956,0,385335,384621,61466,42676,39704,45023,2878,3398,782,1719,403,1315,4063,157753,40683,25176,3,772325,10480,2878,782,403,250,1126,2022,1719,1315,21
11,767649,0,384186,383463,63346,42522,39284,45038,2890,3307,799,1824,395,1260,4084,161203,39947,24810,3,769956,10495,2890,799,395,242,1139,1926,1824,1260,20
12,765355,0,383077,382278,65282,42365,38872,45054,2918,3336,748,1743,404,1285,4070,164581,39260,24440,3,767649,10475,2918,748,404,220,1117,1999,1743,1285,14
13,762922,0,381908,381014,67215,42156,38484,45024,2917,3374,748,1776,417,1365,4082,167943,38565,24055,3,765355,10434,2917,748,417,261,1167,1946,1776,1365,19
14,760846,0,380873,379973,69355,41875,38006,45006,3129,3217,721,1759,366,1316,4216,171219,37913,23730,3,762922,10597,3129,721,366,240,1082,1895,1759,1316,24
15,758850,0,379864,378986,71532,41769,37661,44980,3174,3255,695,1702,392,1300,4261,174218,37288,23387,3,760846,10508,3174,695,392,243,1065,1947,1702,1300,18
16,756969,0,378961,378008,73769,41546,37326,44951,3273,3234,703,1751,374,1246,4350,177070,36667,23063,3,758850,10518,3273,703,374,246,1062,1926,1751,1246,24
17,755131,0,378019,377112,76033,41293,36922,44882,3306,3206,681,1771,397,1245,4384,179848,36088,22711,3,756969,10581,3306,681,397,255,1069,1882,1771,1245,16
18,753242,0,376994,376248,78276,41165,36577,44802,3282,3256,686,1655,351,1297,4319,182640,35495,22415,3,755131,10606,3282,686,351,236,1115,1905,1655,1297,17
19,751504,0,376075,375429,80617,40967,36246,44772,3426,3236,680,1649,343,1302,4449,185272,34913,22124,3,753242,10527,3426,680,343,257,1131,1848,1649,1302,22
20,749906,0,375376,374530,83016,40787,35960,44663,3462,3175,677,1663,355,1254,4494,187822,34350,21830,3,751504,10636,3462,677,355,259,1090,1826,1663,1254,15
21,748112,0,374432,373680,85415,40611,35614,44539,3432,3187,626,1697,342,1310,4400,190308,33845,21541,3,749906,10586,3432,626,342,251,1092,1844,1697,1310,22
22,746576,0,373600,372976,87880,40433,35284,44450,3540,3170,666,1690,375,1257,4581,192790,33294,21223,3,748112,10594,3540,666,375,251,1078,1841,1690,1257,19
23,745105,0,372761,372344,90446,40192,34973,44362,3681,3098,607,1708,356,1309,4644,195038,32804,20938,3,746576,10698,3681,607,356,251,1056,1791,1708,1309,19
