tick,sex,event_age_months,count
0,male,0,235
0,male,1,268
0,male,2,249
0,male,3,261
0,male,4,623
0,male,5,604
0,male,6,654
0,male,7,632
0,male,8,645
0,male,9,629
0,male,10,624
0,male,11,637
0,male,12,631
0,male,13,4452
0,male,14,4517
0,male,15,4506
0,male,16,4524
0,male,17,4481
0,female,0,255
0,female,1,251
0,female,2,248
0,female,3,230
0,female,4,654
0,female,5,643
0,female,6,664
0,female,7,627
0,female,8,616
0,female,9,640
0,female,10,682
0,female,11,715
0,female,12,609
0,female,13,4579
0,female,14,4643
0,female,15,4401
0,female,16,4523
0,female,17,4465
1,male,0,269
1,male,1,234
1,male,2,247
1,male,3,265
1,male,4,649
1,male,5,669
1,male,6,634
1,male,7,640
1,male,8,659
1,male,9,659
1,male,10,607
1,male,11,616
1,male,12,623
1,male,13,4463
1,male,14,4357
1,male,15,4456
1,male,16,4401
1,male,17,4405
1,male,18,71
1,female,0,224
1,female,1,271
1,female,2,232
1,female,3,243
1,female,4,625
1,female,5,572
1,female,6,642
1,female,7,627
1,female,8,620
1,female,9,603
1,female,10,639
1,female,11,653
1,female,12,635
1,female,13,4421
1,female,14,4439
1,female,15,4404
1,female,16,4401
1,female,17,4344
1,female,18,52
2,male,0,220
2,male,1,236
2,male,2,262
2,male,3,241
2,male,4,621
2,male,5,629
2,male,6,667
2,male,7,636
2,male,8,626
2,male,9,657
2,male,10,659
2,male,11,609
2,male,12,665
2,male,13,4281
2,male,14,4285
2,male,15,4288
2,male,16,4144
2,male,17,4299
2,male,18,157
2,female,0,243
2,female,1,253
2,female,2,243
2,female,3,277
2,female,4,645
2,female,5,657
2,female,6,657
2,female,7,639
2,female,8,601
2,female,9,607
2,female,10,653
2,female,11,691
2,female,12,618
2,female,13,4282
2,female,14,4394
2,female,15,4297
2,female,16,4283
2,female,17,4329
2,female,18,135
3,male,0,266
3,male,1,226
3,male,2,233
3,male,3,273
3,male,4,632
3,male,5,606
3,male,6,639
3,male,7,644
3,male,8,614
3,male,9,648
3,male,10,623
3,male,11,622
3,male,12,622
3,male,13,4320
3,male,14,4148
3,male,15,4223
3,male,16,4121
3,male,17,4119
3,male,18,211
3,female,0,291
3,female,1,271
3,female,2,247
3,female,3,250
3,female,4,657
3,female,5,638
3,female,6,657
3,female,7,580
3,female,8,654
3,female,9,596
3,female,10,645
3,female,11,647
3,female,12,630
3,female,13,4091
3,female,14,4289
3,female,15,4194
3,female,16,4260
3,female,17,4306
3,female,18,199
4,male,0,266
4,male,1,242
4,male,2,239
4,male,3,255
4,male,4,600
4,male,5,592
4,male,6,612
4,male,7,666
4,male,8,632
4,male,9,659
4,male,10,618
4,male,11,643
4,male,12,657
4,male,13,4152
4,male,14,4025
4,male,15,4209
4,male,16,4067
4,male,17,4116
4,male,18,288
4,female,0,279
4,female,1,236
4,female,2,227
4,female,3,259
4,female,4,619
4,female,5,608
4,female,6,641
4,female,7,647
4,female,8,584
4,female,9,623
4,female,10,665
4,female,11,610
4,female,12,635
4,female,13,4266
4,female,14,4101
4,female,15,4081
4,female,16,4094
4,female,17,4106
4,female,18,306
5,male,0,275
5,male,1,226
5,male,2,233
5,male,3,250
5,male,4,568
5,male,5,669
5,male,6,640
5,male,7,605
5,male,8,660
5,male,9,642
5,male,10,596
5,male,11,604
5,male,12,644
5,male,13,4038
5,male,14,4065
5,male,15,4144
5,male,16,3955
5,male,17,4066
5,male,18,327
5,female,0,278
5,female,1,264
5,female,2,248
5,female,3,261
5,female,4,618
5,female,5,631
5,female,6,611
5,female,7,619
5,female,8,626
5,female,9,655
5,female,10,628
5,female,11,613
5,female,12,600
5,female,13,4048
5,female,14,4080
5,female,15,3978
5,female,16,3997
5,female,17,4046
5,female,18,362
6,male,0,264
6,male,1,229
6,male,2,224
6,male,3,231
6,male,4,601
6,male,5,626
6,male,6,595
6,male,7,639
6,male,8,673
6,male,9,602
6,male,10,630
6,male,11,653
6,male,12,579
6,male,13,4019
6,male,14,3962
6,male,15,3918
6,male,16,3903
6,male,17,3857
6,male,18,445
6,female,0,253
6,female,1,246
6,female,2,244
6,female,3,252
6,female,4,622
6,female,5,651
6,female,6,631
6,female,7,596
6,female,8,643
6,female,9,643
6,female,10,595
6,female,11,560
6,female,12,629
6,female,13,3931
6,female,14,3977
6,female,15,3916
6,female,16,3975
6,female,17,3849
6,female,18,409
7,male,0,323
7,male,1,211
7,male,2,258
7,male,3,233
7,male,4,636
7,male,5,619
7,male,6,629
7,male,7,603
7,male,8,619
7,male,9,667
7,male,10,656
7,male,11,620
7,male,12,607
7,male,13,3846
7,male,14,3749
7,male,15,3795
7,male,16,3795
7,male,17,3845
7,male,18,452
7,female,0,338
7,female,1,261
7,female,2,251
7,female,3,264
7,female,4,625
7,female,5,581
7,female,6,609
7,female,7,642
7,female,8,623
7,female,9,661
7,female,10,655
7,female,11,590
7,female,12,634
7,female,13,3825
7,female,14,3844
7,female,15,3775
7,female,16,3807
7,female,17,3789
7,female,18,426
8,male,0,277
8,male,1,229
8,male,2,259
8,male,3,257
8,male,4,609
8,male,5,614
8,male,6,651
8,male,7,657
8,male,8,585
8,male,9,669
8,male,10,624
8,male,11,636
8,male,12,647
8,male,13,3727
8,male,14,3818
8,male,15,3696
8,male,16,3723
8,male,17,3592
8,male,18,533
8,female,0,323
8,female,1,219
8,female,2,205
8,female,3,261
8,female,4,635
8,female,5,568
8,female,6,571
8,female,7,661
8,female,8,603
8,female,9,656
8,female,10,596
8,female,11,634
8,female,12,553
8,female,13,3847
8,female,14,3750
8,female,15,3652
8,female,16,3733
8,female,17,3745
8,female,18,486
9,male,0,307
9,male,1,235
9,male,2,224
9,male,3,213
9,male,4,642
9,male,5,622
9,male,6,679
9,male,7,610
9,male,8,637
9,male,9,583
9,male,10,599
9,male,11,627
9,male,12,602
9,male,13,3810
9,male,14,3627
9,male,15,3659
9,male,16,3663
9,male,17,3518
9,male,18,554
9,female,0,292
9,female,1,236
9,female,2,246
9,female,3,245
9,female,4,637
9,female,5,616
9,female,6,653
9,female,7,683
9,female,8,628
9,female,9,629
9,female,10,657
9,female,11,659
9,female,12,611
9,female,13,3769
9,female,14,3638
9,female,15,3581
9,female,16,3579
9,female,17,3529
9,female,18,547
10,male,0,321
10,male,1,230
10,male,2,241
10,male,3,246
10,male,4,603
10,male,5,621
10,male,6,644
10,male,7,662
10,male,8,618
10,male,9,641
10,male,10,596
10,male,11,633
10,male,12,597
10,male,13,3787
10,male,14,3525
10,male,15,3496
10,male,16,3552
10,male,17,3460
10,male,18,626
10,female,0,398
10,female,1,234
10,female,2,227
10,female,3,243
10,female,4,580
10,female,5,616
10,female,6,589
10,female,7,598
10,female,8,633
10,female,9,626
10,female,10,607
10,female,11,628
10,female,12,638
10,female,13,3716
10,female,14,3660
10,female,15,3461
10,female,16,3629
10,female,17,3541
10,female,18,572
11,male,0,357
11,male,1,245
11,male,2,246
11,male,3,249
11,male,4,598
11,male,5,604
11,male,6,578
11,male,7,631
11,male,8,655
11,male,9,601
11,male,10,637
11,male,11,642
11,male,12,590
11,male,13,3670
11,male,14,3405
11,male,15,3532
11,male,16,3468
11,male,17,3528
11,male,18,649
11,female,0,359
11,female,1,240
11,female,2,237
11,female,3,243
11,female,4,634
11,female,5,637
11,female,6,587
11,female,7,534
11,female,8,604
11,female,9,619
11,female,10,580
11,female,11,611
11,female,12,569
11,female,13,3633
11,female,14,3521
11,female,15,3424
11,female,16,3485
11,female,17,3406
11,female,18,623
12,male,0,347
12,male,1,234
12,male,2,204
12,male,3,242
12,male,4,592
12,male,5,589
12,male,6,623
12,male,7,615
12,male,8,625
12,male,9,579
12,male,10,590
12,male,11,593
12,male,12,621
12,male,13,3536
12,male,14,3310
12,male,15,3389
12,male,16,3240
12,male,17,3424
12,male,18,684
12,female,0,341
12,female,1,250
12,female,2,249
12,female,3,236
12,female,4,614
12,female,5,593
12,female,6,622
12,female,7,624
12,female,8,599
12,female,9,599
12,female,10,644
12,female,11,578
12,female,12,597
12,female,13,3553
12,female,14,3370
12,female,15,3396
12,female,16,3221
12,female,17,3272
12,female,18,647
13,male,0,362
13,male,1,219
13,male,2,247
13,male,3,244
13,male,4,640
13,male,5,614
13,male,6,652
13,male,7,624
13,male,8,632
13,male,9,652
13,male,10,609
13,male,11,615
13,male,12,649
13,male,13,3460
13,male,14,3326
13,male,15,3350
13,male,16,3314
13,male,17,3270
13,male,18,712
13,female,0,346
13,female,1,222
13,female,2,249
13,female,3,234
13,female,4,585
13,female,5,596
13,female,6,596
13,female,7,565
13,female,8,540
13,female,9,665
13,female,10,626
13,female,11,600
13,female,12,619
13,female,13,3495
13,female,14,3316
13,female,15,3285
13,female,16,3215
13,female,17,3285
13,female,18,686
14,male,0,357
14,male,1,235
14,male,2,266
14,male,3,242
14,male,4,635
14,male,5,645
14,male,6,647
14,male,7,559
14,male,8,623
14,male,9,584
14,male,10,627
14,male,11,633
14,male,12,632
14,male,13,3519
14,male,14,3299
14,male,15,3193
14,male,16,3257
14,male,17,3188
14,male,18,726
14,female,0,376
14,female,1,217
14,female,2,248
14,female,3,244
14,female,4,627
14,female,5,586
14,female,6,614
14,female,7,617
14,female,8,590
14,female,9,561
14,female,10,566
14,female,11,604
14,female,12,617
14,female,13,3457
14,female,14,3156
14,female,15,3257
14,female,16,3204
14,female,17,3250
14,female,18,715
15,male,0,377
15,male,1,229
15,male,2,243
15,male,3,232
15,male,4,623
15,male,5,561
15,male,6,559
15,male,7,613
15,male,8,587
15,male,9,583
15,male,10,603
15,male,11,596
15,male,12,602
15,male,13,3424
15,male,14,3113
15,male,15,3169
15,male,16,3079
15,male,17,3097
15,male,18,769
15,female,0,436
15,female,1,214
15,female,2,229
15,female,3,240
15,female,4,652
15,female,5,597
15,female,6,636
15,female,7,608
15,female,8,645
15,female,9,629
15,female,10,574
15,female,11,614
15,female,12,626
15,female,13,3442
15,female,14,3165
15,female,15,3138
15,female,16,3080
15,female,17,3108
15,female,18,792
16,male,0,415
16,male,1,222
16,male,2,204
16,male,3,236
