tick,sex,area,age_months,count
0,male,0,0,59173
0,male,0,1,55626
0,male,0,2,55351
0,male,0,3,55196
0,male,0,4,55261
0,male,0,5,55270
0,male,0,6,55451
0,male,0,7,55425
0,male,0,8,55376
0,male,0,9,55289
0,male,0,10,55663
0,male,0,11,55203
0,male,0,12,55066
0,male,0,13,54843
0,male,0,14,54693
0,male,0,15,54469
0,male,0,16,54719
0,male,0,17,54589
0,male,0,18,874
0,male,1,0,59331
0,male,1,1,55422
0,male,1,2,55343
0,male,1,3,55323
0,male,1,4,55470
0,male,1,5,55583
0,male,1,6,55787
0,male,1,7,55376
0,male,1,8,55407
0,male,1,9,55176
0,male,1,10,55111
0,male,1,11,55402
0,male,1,12,55211
0,male,1,13,54479
0,male,1,14,54232
0,male,1,15,54612
0,male,1,16,54287
0,male,1,17,54503
0,male,1,18,935
0,male,2,0,58821
0,male,2,1,55412
0,male,2,2,54968
0,male,2,3,55338
0,male,2,4,55284
0,male,2,5,54887
0,male,2,6,55564
0,male,2,7,55244
0,male,2,8,55695
0,male,2,9,55241
0,male,2,10,55139
0,male,2,11,55229
0,male,2,12,54587
0,male,2,13,54917
0,male,2,14,54278
0,male,2,15,54528
0,male,2,16,54020
0,male,2,17,54551
0,male,2,18,944
0,male,3,0,59007
0,male,3,1,55477
0,male,3,2,55182
0,male,3,3,55587
0,male,3,4,55423
0,male,3,5,55333
0,male,3,6,55370
0,male,3,7,55485
0,male,3,8,55073
0,male,3,9,55682
0,male,3,10,55446
0,male,3,11,55215
0,male,3,12,55357
0,male,3,13,54891
0,male,3,14,54513
0,male,3,15,54354
0,male,3,16,54453
0,male,3,17,54609
0,male,3,18,946
0,female,0,0,58797
0,female,0,1,55461
0,female,0,2,54937
0,female,0,3,55442
0,female,0,4,55164
0,female,0,5,55264
0,female,0,6,55127
0,female,0,7,55441
0,female,0,8,55109
0,female,0,9,55517
0,female,0,10,55275
0,female,0,11,55038
0,female,0,12,54563
0,female,0,13,54607
0,female,0,14,54713
0,female,0,15,54239
0,female,0,16,54411
0,female,0,17,54427
0,female,0,18,911
0,female,1,0,59124
0,female,1,1,55226
0,female,1,2,55524
0,female,1,3,55458
0,female,1,4,54791
0,female,1,5,55293
0,female,1,6,55320
0,female,1,7,55142
0,female,1,8,55086
0,female,1,9,55279
0,female,1,10,55172
0,female,1,11,55695
0,female,1,12,55047
0,female,1,13,55131
0,female,1,14,54691
0,female,1,15,54587
0,female,1,16,54608
0,female,1,17,54574
0,female,1,18,876
0,female,2,0,59798
0,female,2,1,55310
0,female,2,2,55059
0,female,2,3,55329
0,female,2,4,55514
0,female,2,5,55405
0,female,2,6,55412
0,female,2,7,55386
0,female,2,8,55209
0,female,2,9,55012
0,female,2,10,55212
0,female,2,11,55269
0,female,2,12,55144
0,female,2,13,54393
0,female,2,14,55092
0,female,2,15,54999
0,female,2,16,54620
0,female,2,17,54433
0,female,2,18,900
0,female,3,0,59229
