tick,sex,event_age_months,count
0,male,0,218
0,male,1,217
0,male,2,241
0,male,3,249
0,male,4,656
0,male,5,655
0,male,6,657
0,male,7,660
0,male,8,680
0,male,9,668
0,male,10,668
0,male,11,670
0,male,12,677
0,male,13,2601
0,male,14,2614
0,male,15,2536
0,male,16,2639
0,male,17,2580
0,female,0,218
0,female,1,206
0,female,2,186
0,female,3,231
0,female,4,692
0,female,5,655
0,female,6,712
0,female,7,665
0,female,8,724
0,female,9,619
0,female,10,671
0,female,11,679
0,female,12,672
0,female,13,2727
0,female,14,2540
0,female,15,2626
0,female,16,2633
0,female,17,2702
1,male,0,222
1,male,1,196
1,male,2,219
1,male,3,214
1,male,4,656
1,male,5,668
1,male,6,652
1,male,7,677
1,male,8,689
1,male,9,648
1,male,10,651
1,male,11,646
1,male,12,645
1,male,13,2618
1,male,14,2606
1,male,15,2520
1,male,16,2689
1,male,17,2744
1,male,18,30
1,female,0,204
1,female,1,194
1,female,2,244
1,female,3,239
1,female,4,652
1,female,5,682
1,female,6,650
1,female,7,654
1,female,8,646
1,female,9,655
1,female,10,710
1,female,11,663
1,female,12,671
1,female,13,2561
1,female,14,2525
1,female,15,2582
1,female,16,2585
1,female,17,2548
1,female,18,43
