tick,sex,area,age_months,count
0,male,0,0,57829
0,male,0,1,55599
0,male,0,2,55317
0,male,0,3,55191
0,male,0,4,55344
0,male,0,5,55324
0,male,0,6,55545
0,male,0,7,55437
0,male,0,8,55410
0,male,0,9,55287
0,male,0,10,55696
0,male,0,11,55253
0,male,0,12,55119
0,male,0,13,54945
0,male,0,14,54767
0,male,0,15,54618
0,male,0,16,54838
0,male,0,17,54660
0,male,0,18,883
0,male,1,0,58162
0,male,1,1,55407
0,male,1,2,55353
0,male,1,3,55262
0,male,1,4,55573
0,male,1,5,55585
0,male,1,6,55827
0,male,1,7,55440
0,male,1,8,55486
0,male,1,9,55240
0,male,1,10,55148
0,male,1,11,55473
0,male,1,12,55242
0,male,1,13,54567
0,male,1,14,54347
0,male,1,15,54661
0,male,1,16,54314
0,male,1,17,54614
0,male,1,18,941
0,male,2,0,57674
0,male,2,1,55398
0,male,2,2,54937
0,male,2,3,55284
0,male,2,4,55299
0,male,2,5,55003
0,male,2,6,55700
0,male,2,7,55338
0,male,2,8,55738
0,male,2,9,55264
0,male,2,10,55217
0,male,2,11,55326
0,male,2,12,54637
0,male,2,13,55029
0,male,2,14,54340
0,male,2,15,54639
0,male,2,16,54131
0,male,2,17,54662
0,male,2,18,939
0,male,3,0,57838
0,male,3,1,55379
0,male,3,2,55162
0,male,3,3,55559
0,male,3,4,55482
0,male,3,5,55365
0,male,3,6,55368
0,male,3,7,55494
0,male,3,8,55110
0,male,3,9,55711
0,male,3,10,55474
0,male,3,11,55231
0,male,3,12,55411
0,male,3,13,54927
0,male,3,14,54576
0,male,3,15,54439
0,male,3,16,54558
0,male,3,17,54769
0,male,3,18,944
0,female,0,0,57799
0,female,0,1,55424
0,female,0,2,54937
0,female,0,3,55383
0,female,0,4,55174
0,female,0,5,55367
0,female,0,6,55123
0,female,0,7,55464
0,female,0,8,55105
0,female,0,9,55631
0,female,0,10,55328
0,female,0,11,55019
0,female,0,12,54579
0,female,0,13,54634
0,female,0,14,54840
0,female,0,15,54310
0,female,0,16,54467
0,female,0,17,54476
0,female,0,18,914
0,female,1,0,57792
0,female,1,1,55209
0,female,1,2,55485
