tick,entry_stream,area,count
0,birth_slot,0,291759
0,birth_slot,1,293010
0,birth_slot,2,292144
0,birth_slot,3,293409
0,overseas_slot,0,122781
0,overseas_slot,1,122529
0,overseas_slot,2,121762
0,overseas_slot,3,123021
0,internal_slot,0,73689
0,internal_slot,1,73951
0,internal_slot,2,73449
0,internal_slot,3,73532
1,birth_slot,0,303730
1,birth_slot,1,305145
1,birth_slot,2,303831
1,birth_slot,3,305299
1,overseas_slot,0,120333
1,overseas_slot,1,120052
1,overseas_slot,2,119332
1,overseas_slot,3,120554
1,internal_slot,0,72365
1,internal_slot,1,72676
1,internal_slot,2,72075
1,internal_slot,3,72169
