Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23889,23907,0,24,24,37388446.0,38095497.5,30733706,42451096,3051344.2,7024.1,6585.5,5048,9946,1386.0,37168585.5,37876642.5,30513915,42231034,3051360.6,212836.4,212725.5,210341,215206,1416.9,cuLaunchKernel,sembla_init_effect_owners
23889,23907,0,96,96,36620211.5,37349697.0,27479033,40801544,3352995.3,6284.9,5674.0,3294,27413,3236.4,36485621.4,37217841.0,27346670,40510836,3351715.7,128305.2,125939.0,123012,285000,16423.2,cuLaunchKernel,sembla_validate_effects
23889,23908,0,72,72,36556182.3,36628644.0,26372646,41820789,3036945.3,6095.0,6094.0,4307,10135,1184.8,36256673.1,36334619.0,26074026,41526725,3034002.8,293414.2,289463.5,286600,446412,19791.6,cuLaunchKernel,sembla_count_deferred
23889,23907,0,240,240,35387483.8,36746271.5,25182172,39896645,3794037.0,5541.6,5028.0,3165,19649,2058.0,35313388.3,36686682.5,24967551,39846673,3798043.2,68553.9,45169.5,40417,261095,61457.2,cuLaunchKernel,sembla_mark_effect_active
23889,23908,0,24,24,35206952.2,35272741.0,28243098,39663789,2732211.8,6890.1,6791.0,5457,9775,1030.7,34501469.8,34555695.0,27523389,38965415,2746319.6,698592.3,705411.5,643154,717076,20675.6,cuLaunchKernel,sembla_apply_effects
23889,23907,0,960,960,35175538.3,36359602.5,20513799,42697354,4381078.9,27686.6,5839.0,3205,2210836,110640.4,35052909.5,36253551.5,20367636,42556566,4374788.6,94942.2,93315.0,52226,288167,31881.2,cuLaunchKernel,sembla_prepare_effects
23889,23909,0,72,72,35055319.0,34237260.0,29401310,41397979,3216042.4,6369.0,5934.5,3416,27091,3171.4,34757766.5,33929415.0,29100854,41102526,3216811.3,291183.5,290408.0,287624,300328,2810.3,cuLaunchKernel,sembla_count_deferred
23889,23908,0,240,240,35053640.9,35012082.5,25090024,40351918,2849207.6,25104.4,5949.5,4086,2176853,157978.4,34944049.1,34897124.0,24999535,40264166,2849419.5,84487.4,82787.0,81730,175333,7639.2,cuLaunchKernel,sembla_count_fired
23889,23908,0,96,96,35047524.8,34902880.5,27473289,39804686,2648469.5,34569.4,6234.5,4256,524719,80549.2,35010294.9,34846100.0,27463770,39795477,2652538.8,2660.4,1872.0,1120,17281,2357.5,cuLaunchKernel,sembla_validate_outputs
23889,23908,0,960,960,34738162.2,34821987.5,27102900,40543929,2491432.7,22406.8,6830.0,3476,967994,68018.4,34616477.4,34685895.5,27007897,40419441,2494067.3,99278.0,94690.5,52001,302760,35486.8,cuLaunchKernel,sembla_prepare_effects
