Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
15.8,309714321,3840,80654.8,68064.0,47296,219265,33427.1,sembla_prepare_effects
14.4,281100657,288,976043.9,739729.0,32448,2260579,892720.4,sembla_observe_grouped_view
9.0,175765747,3840,45772.3,42944.0,42081,55841,5405.2,sembla_check_candidate_errors
5.9,114862629,3840,29912.1,29888.0,29792,30368,77.7,sembla_validate_claims
4.6,89221312,96,929388.7,934513.5,889121,947298,13652.6,sembla_resolve_conflicts
4.2,83001978,288,288201.3,288192.0,287616,288800,254.1,sembla_count_deferred
4.1,80098669,1824,43913.7,41440.0,23809,65664,15030.0,sembla_observe_view
4.0,78898991,960,82186.4,82112.0,81920,83328,223.0,sembla_count_fired
3.5,68775583,96,716412.3,719153.0,702241,725185,7209.8,sembla_build_claim_instances
3.4,67297855,96,701019.3,708497.0,644032,723713,20866.5,sembla_apply_effects
3.3,65051498,3840,16940.5,16928.0,16832,17056,29.9,sembla_validate_transition
3.3,64169564,960,66843.3,41600.0,40064,252001,61416.4,sembla_mark_effect_active
2.8,54983313,192,286371.4,247392.5,230432,599745,73276.0,sembla_bound_grouped_view
2.4,47381218,384,123388.6,123168.0,122176,125377,751.1,sembla_validate_effects
2.0,39819579,96,414787.3,418128.5,396064,426560,10165.6,sembla_reduce_claim_instances
2.0,38876536,96,404963.9,408176.5,386816,416481,9641.3,sembla_reduce_claim_entities
1.8,34240942,96,356676.5,358784.0,344608,364449,6640.4,sembla_reduce_claim_rules
1.6,30444651,96,317131.8,318048.5,310337,323265,3843.1,sembla_reduce_claim_keys
1.1,22215236,96,231408.7,231360.0,230945,232256,242.6,sembla_init_conflict_winners
1.0,20236195,96,210793.7,210784.0,210656,211136,96.6,sembla_init_effect_owners
1.0,19239161,12096,1590.5,1568.0,1344,2400,176.4,sembla_advance_validation_phase
0.9,17161138,96,178761.9,178784.0,177920,179744,416.5,sembla_transition_00000006
0.9,17125045,96,178385.9,178352.5,177312,179296,480.3,sembla_transition_00000007
0.9,17123927,96,178374.2,178336.5,177536,179649,401.7,sembla_transition_00000005
0.9,16796636,96,174965.0,174913.0,174240,175968,362.2,sembla_transition_00000004
0.9,16781693,96,174809.3,174753.0,173857,175809,431.7,sembla_transition_00000003
0.8,16584663,96,172756.9,172736.0,172096,173409,318.8,sembla_transition_00000002
0.8,16347192,96,170283.3,170240.0,169504,171073,378.7,sembla_transition_00000009
0.8,16330198,96,170106.2,170032.0,169408,171008,402.7,sembla_transition_00000008
0.7,13431923,96,139915.9,139808.5,138912,141152,513.9,sembla_transition_00000001
0.7,13377450,96,139348.4,139472.5,138048,140960,736.3,sembla_transition_00000000
0.4,7065420,4032,1752.3,1760.0,1536,2592,168.3,sembla_commit_validation_status
0.0,526113,384,1370.1,1376.0,1152,1856,189.5,sembla_validate_outputs
0.0,491970,288,1708.2,1808.0,1504,2048,141.5,sembla_init_grouped_histogram
0.0,175904,96,1832.3,1904.0,1664,2144,152.9,sembla_init_observations
0.0,165792,96,1727.0,1776.0,1536,1952,153.9,sembla_init_grouped_extrema
0.0,161184,96,1679.0,1760.0,1536,1856,94.9,sembla_prepare_outputs
0.0,160928,96,1676.3,1712.0,1536,1920,109.0,sembla_init_validation_scratch
0.0,153345,96,1597.3,1632.0,1472,1824,96.8,sembla_reset_status
0.0,136608,96,1423.0,1424.0,1312,1536,97.5,sembla_init_control_counts
0.0,124736,96,1299.3,1312.0,1184,1408,98.5,sembla_validate_claim_compatibility

