Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
17.9,366165000,3840,95355.5,91558.0,50147,308499,31249.2,sembla_prepare_effects
11.3,231034054,288,802201.6,630424.0,32642,1861207,707111.9,sembla_observe_grouped_view
10.0,205147424,3840,53423.8,52227.0,42371,207309,9898.8,sembla_check_candidate_errors
6.0,123467411,3840,32153.0,31490.0,29858,179051,6137.8,sembla_validate_claims
4.7,95615053,1824,52420.5,48579.0,23745,210797,18355.2,sembla_observe_view
4.4,89376600,96,931006.3,934091.5,892473,1046595,17491.1,sembla_resolve_conflicts
4.1,84048157,288,291833.9,290290.0,286771,373304,7638.7,sembla_count_deferred
4.0,81552841,960,84950.9,83206.0,81957,237135,12350.2,sembla_count_fired
3.6,73724026,3840,19199.0,18817.0,16866,96934,5426.4,sembla_validate_transition
3.4,69049412,96,719264.7,720622.5,702669,770545,9617.7,sembla_build_claim_instances
3.2,65413720,96,681392.9,682092.0,645481,834901,21088.3,sembla_apply_effects
3.0,60513224,960,63034.6,44515.0,40419,219822,48297.9,sembla_mark_effect_active
2.4,49962648,384,130111.1,126536.5,123464,284786,16143.8,sembla_validate_effects
2.1,43471282,12096,3593.9,2688.0,1344,56004,2798.2,sembla_advance_validation_phase
2.0,39936600,96,416006.3,418267.0,394777,438268,11140.1,sembla_reduce_claim_instances
1.9,39134536,96,407651.4,408730.0,385208,539651,17124.5,sembla_reduce_claim_entities
1.9,38511449,192,200580.5,190844.0,92741,355959,48896.7,sembla_bound_grouped_view
1.7,34300115,96,357292.9,358310.5,342678,373944,6691.0,sembla_reduce_claim_rules
1.4,29662403,96,308983.4,309652.0,294834,320180,5918.2,sembla_reduce_claim_keys
1.1,23340602,96,243131.3,241935.5,235631,269489,5008.5,sembla_init_conflict_winners
1.0,20644689,96,215048.8,213166.0,211182,297523,10728.1,sembla_init_effect_owners
0.8,17323638,96,180454.6,174091.5,169579,329813,25273.4,sembla_transition_00000003
0.8,17322678,96,180444.6,176876.0,171595,334454,21259.9,sembla_transition_00000007
0.8,17146343,96,178607.7,177643.0,172171,252528,8265.1,sembla_transition_00000006
0.8,17038878,96,177488.3,177019.5,171947,245424,7322.2,sembla_transition_00000005
0.8,16810735,96,175111.8,173675.0,169451,277554,11205.2,sembla_transition_00000004
0.8,16619860,4032,4122.0,3328.0,1568,96966,3403.8,sembla_commit_validation_status
0.8,16582629,96,172735.7,171339.0,168011,274737,11016.2,sembla_transition_00000002
0.8,16243604,96,169204.2,169034.5,166155,174475,1638.0,sembla_transition_00000009
0.8,16209010,96,168843.9,168795.0,165643,173707,1654.2,sembla_transition_00000008
0.7,13469185,96,140304.0,139401.0,135593,224686,8886.9,sembla_transition_00000000
0.7,13358145,96,139147.3,138361.0,135113,183788,5092.2,sembla_transition_00000001
0.1,1227307,288,4261.5,3296.0,1536,30626,3719.6,sembla_init_grouped_histogram
0.1,1029695,384,2681.5,1824.0,1120,15585,2022.7,sembla_validate_outputs
0.0,394972,96,4114.3,2832.5,1505,36579,3967.8,sembla_init_grouped_extrema
0.0,356342,96,3711.9,3360.5,1664,11393,1688.0,sembla_init_observations
0.0,335537,96,3495.2,2272.0,1440,21473,3089.1,sembla_reset_status
0.0,335168,96,3491.3,2560.0,1537,21953,2765.8,sembla_prepare_outputs
0.0,313338,96,3263.9,2144.0,1600,20481,3053.4,sembla_init_validation_scratch
0.0,257963,96,2687.1,2064.0,1472,7649,1442.2,sembla_init_control_counts
0.0,238225,96,2481.5,1808.0,1121,10976,1612.9,sembla_validate_claim_compatibility

