tick,population_p05,population_p25,population_p50,population_p75,population_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,males_p05,males_p25,males_p50,males_p75,males_p95,females_p05,females_p25,females_p50,females_p75,females_p95,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
0,7988129,7988129,7988129,7988129,7988129,0,0,0,0,0,3994662,3994662,3994662,3994662,3994662,3993467,3993467,3993467,3993467,3993467,461984,461984,461984,461984,461984,443562,443562,443562,443562,443562,440768,440768,440768,440768,440768,446895,446895,446895,446895,446895,27451,27451,27451,27451,27451,28354,28354,28354,28354,28354,10036,10036,10036,10036,10036,11280,11280,11280,11280,11280,5332,5332,5332,5332,5332,15056,15056,15056,15056,15056,42819,42819,42819,42819,42819,1172549,1172549,1172549,1172549,1172549,489964,489964,489964,489964,489964,294668,294668,294668,294668,294668,1,1,1,1,1,8000000,8000000,8000000,8000000,8000000,0,0,0,0,0,27451,27451,27451,27451,27451,10036,10036,10036,10036,10036,5332,5332,5332,5332,5332,1362,1362,1362,1362,1362,9158,9158,9158,9158,9158,17834,17834,17834,17834,17834,11280,11280,11280,11280,11280,15056,15056,15056,15056,15056,125,125,125,125,125
1,7975036,7975036,7975036,7975036,7975036,0,0,0,0,0,3987920,3987920,3987920,3987920,3987920,3987116,3987116,3987116,3987116,3987116,479682,479682,479682,479682,479682,442357,442357,442357,442357,442357,436999,436999,436999,436999,436999,449004,449004,449004,449004,449004,26417,26417,26417,26417,26417,28119,28119,28119,28119,28119,9865,9865,9865,9865,9865,11479,11479,11479,11479,11479,5130,5130,5130,5130,5130,14907,14907,14907,14907,14907,41412,41412,41412,41412,41412,1200822,1200822,1200822,1200822,1200822,480099,480099,480099,480099,480099,289538,289538,289538,289538,289538,1,1,1,1,1,7988129,7988129,7988129,7988129,7988129,97509,97509,97509,97509,97509,26417,26417,26417,26417,26417,9865,9865,9865,9865,9865,5130,5130,5130,5130,5130,1427,1427,1427,1427,1427,9085,9085,9085,9085,9085,17607,17607,17607,17607,17607,11479,11479,11479,11479,11479,14907,14907,14907,14907,14907,96,96,96,96,96
2,7962402,7962402,7962402,7962402,7962402,0,0,0,0,0,3981583,3981583,3981583,3981583,3981583,3980819,3980819,3980819,3980819,3980819,497942,497942,497942,497942,497942,441102,441102,441102,441102,441102,433477,433477,433477,433477,433477,451020,451020,451020,451020,451020,27185,27185,27185,27185,27185,28209,28209,28209,28209,28209,9650,9650,9650,9650,9650,11399,11399,11399,11399,11399,5009,5009,5009,5009,5009,14870,14870,14870,14870,14870,41844,41844,41844,41844,41844,1228142,1228142,1228142,1228142,1228142,470449,470449,470449,470449,470449,284529,284529,284529,284529,284529,2,2,2,2,2,7975036,7975036,7975036,7975036,7975036,95917,95917,95917,95917,95917,27185,27185,27185,27185,27185,9650,9650,9650,9650,9650,5009,5009,5009,5009,5009,1431,1431,1431,1431,1431,9127,9127,9127,9127,9127,17651,17651,17651,17651,17651,11399,11399,11399,11399,11399,14870,14870,14870,14870,14870,112,112,112,112,112
3,7949952,7949952,7949952,7949952,7949952,0,0,0,0,0,3975412,3975412,3975412,3975412,3975412,3974540,3974540,3974540,3974540,3974540,516529,516529,516529,516529,516529,440002,440002,440002,440002,440002,430123,430123,430123,430123,430123,453018,453018,453018,453018,453018,27563,27563,27563,27563,27563,28112,28112,28112,28112,28112,9396,9396,9396,9396,9396,11322,11322,11322,11322,11322,4835,4835,4835,4835,4835,14810,14810,14810,14810,14810,41794,41794,41794,41794,41794,1254960,1254960,1254960,1254960,1254960,461121,461121,461121,461121,461121,279723,279723,279723,279723,279723,2,2,2,2,2,7962402,7962402,7962402,7962402,7962402,96322,96322,96322,96322,96322,27563,27563,27563,27563,27563,9396,9396,9396,9396,9396,4835,4835,4835,4835,4835,1466,1466,1466,1466,1466,9148,9148,9148,9148,9148,17498,17498,17498,17498,17498,11322,11322,11322,11322,11322,14810,14810,14810,14810,14810,118,118,118,118,118
4,7938861,7938861,7938861,7938861,7938861,0,0,0,0,0,3970096,3970096,3970096,3970096,3970096,3968765,3968765,3968765,3968765,3968765,535925,535925,535925,535925,535925,438992,438992,438992,438992,438992,426658,426658,426658,426658,426658,454774,454774,454774,454774,454774,28366,28366,28366,28366,28366,27834,27834,27834,27834,27834,9394,9394,9394,9394,9394,11383,11383,11383,11383,11383,4962,4962,4962,4962,4962,14596,14596,14596,14596,14596,42722,42722,42722,42722,42722,1280637,1280637,1280637,1280637,1280637,451853,451853,451853,451853,451853,274836,274836,274836,274836,274836,2,2,2,2,2,7949952,7949952,7949952,7949952,7949952,96038,96038,96038,96038,96038,28366,28366,28366,28366,28366,9394,9394,9394,9394,9394,4962,4962,4962,4962,4962,1390,1390,1390,1390,1390,8889,8889,8889,8889,8889,17555,17555,17555,17555,17555,11383,11383,11383,11383,11383,14596,14596,14596,14596,14596,130,130,130,130,130
5,7927884,7927884,7927884,7927884,7927884,0,0,0,0,0,3964441,3964441,3964441,3964441,3964441,3963443,3963443,3963443,3963443,3963443,555757,555757,555757,555757,555757,437894,437894,437894,437894,437894,423099,423099,423099,423099,423099,456466,456466,456466,456466,456466,28854,28854,28854,28854,28854,27790,27790,27790,27790,27790,9209,9209,9209,9209,9209,11301,11301,11301,11301,11301,4836,4836,4836,4836,4836,14785,14785,14785,14785,14785,42899,42899,42899,42899,42899,1305336,1305336,1305336,1305336,1305336,442822,442822,442822,442822,442822,270082,270082,270082,270082,270082,2,2,2,2,2,7938861,7938861,7938861,7938861,7938861,96535,96535,96535,96535,96535,28854,28854,28854,28854,28854,9209,9209,9209,9209,9209,4836,4836,4836,4836,4836,1437,1437,1437,1437,1437,9006,9006,9006,9006,9006,17347,17347,17347,17347,17347,11301,11301,11301,11301,11301,14785,14785,14785,14785,14785,121,121,121,121,121
6,7917651,7917651,7917651,7917651,7917651,0,0,0,0,0,3959102,3959102,3959102,3959102,3959102,3958549,3958549,3958549,3958549,3958549,576041,576041,576041,576041,576041,436722,436722,436722,436722,436722,419627,419627,419627,419627,419627,458250,458250,458250,458250,458250,29459,29459,29459,29459,29459,27637,27637,27637,27637,27637,8961,8961,8961,8961,8961,11245,11245,11245,11245,11245,4824,4824,4824,4824,4824,14595,14595,14595,14595,14595,43244,43244,43244,43244,43244,1329406,1329406,1329406,1329406,1329406,434100,434100,434100,434100,434100,265366,265366,265366,265366,265366,2,2,2,2,2,7927884,7927884,7927884,7927884,7927884,96775,96775,96775,96775,96775,29459,29459,29459,29459,29459,8961,8961,8961,8961,8961,4824,4824,4824,4824,4824,1560,1560,1560,1560,1560,8991,8991,8991,8991,8991,17086,17086,17086,17086,17086,11245,11245,11245,11245,11245,14595,14595,14595,14595,14595,99,99,99,99,99
7,7907502,7907502,7907502,7907502,7907502,0,0,0,0,0,3954123,3954123,3954123,3954123,3954123,3953379,3953379,3953379,3953379,3953379,596691,596691,596691,596691,596691,435312,435312,435312,435312,435312,416060,416060,416060,416060,416060,459754,459754,459754,459754,459754,29833,29833,29833,29833,29833,27310,27310,27310,27310,27310,8812,8812,8812,8812,8812,11424,11424,11424,11424,11424,4720,4720,4720,4720,4720,14780,14780,14780,14780,14780,43365,43365,43365,43365,43365,1352597,1352597,1352597,1352597,1352597,425580,425580,425580,425580,425580,260807,260807,260807,260807,260807,3,3,3,3,3,7917651,7917651,7917651,7917651,7917651,96721,96721,96721,96721,96721,29833,29833,29833,29833,29833,8812,8812,8812,8812,8812,4720,4720,4720,4720,4720,1382,1382,1382,1382,1382,9049,9049,9049,9049,9049,16879,16879,16879,16879,16879,11424,11424,11424,11424,11424,14780,14780,14780,14780,14780,100,100,100,100,100
8,7898198,7898198,7898198,7898198,7898198,0,0,0,0,0,3949519,3949519,3949519,3949519,3949519,3948679,3948679,3948679,3948679,3948679,617735,617735,617735,617735,617735,434061,434061,434061,434061,434061,412887,412887,412887,412887,412887,461348,461348,461348,461348,461348,30303,30303,30303,30303,30303,26979,26979,26979,26979,26979,8776,8776,8776,8776,8776,11217,11217,11217,11217,11217,4488,4488,4488,4488,4488,14675,14675,14675,14675,14675,43567,43567,43567,43567,43567,1375247,1375247,1375247,1375247,1375247,417176,417176,417176,417176,417176,256508,256508,256508,256508,256508,3,3,3,3,3,7907502,7907502,7907502,7907502,7907502,96879,96879,96879,96879,96879,30303,30303,30303,30303,30303,8776,8776,8776,8776,8776,4488,4488,4488,4488,4488,1443,1443,1443,1443,1443,8931,8931,8931,8931,8931,16605,16605,16605,16605,16605,11217,11217,11217,11217,11217,14675,14675,14675,14675,14675,111,111,111,111,111
9,7889362,7889362,7889362,7889362,7889362,0,0,0,0,0,3945117,3945117,3945117,3945117,3945117,3944245,3944245,3944245,3944245,3944245,639424,639424,639424,639424,639424,433107,433107,433107,433107,433107,409572,409572,409572,409572,409572,462837,462837,462837,462837,462837,30960,30960,30960,30960,30960,26921,26921,26921,26921,26921,8543,8543,8543,8543,8543,11359,11359,11359,11359,11359,4505,4505,4505,4505,4505,14564,14564,14564,14564,14564,44008,44008,44008,44008,44008,1396597,1396597,1396597,1396597,1396597,409003,409003,409003,409003,409003,252194,252194,252194,252194,252194,3,3,3,3,3,7898198,7898198,7898198,7898198,7898198,96438,96438,96438,96438,96438,30960,30960,30960,30960,30960,8543,8543,8543,8543,8543,4505,4505,4505,4505,4505,1492,1492,1492,1492,1492,8827,8827,8827,8827,8827,16602,16602,16602,16602,16602,11359,11359,11359,11359,11359,14564,14564,14564,14564,14564,102,102,102,102,102
10,7880739,7880739,7880739,7880739,7880739,0,0,0,0,0,3940808,3940808,3940808,3940808,3940808,3939931,3939931,3939931,3939931,3939931,661597,661597,661597,661597,661597,431855,431855,431855,431855,431855,406416,406416,406416,406416,406416,464172,464172,464172,464172,464172,31530,31530,31530,31530,31530,27065,27065,27065,27065,27065,8289,8289,8289,8289,8289,11180,11180,11180,11180,11180,4452,4452,4452,4452,4452,14649,14649,14649,14649,14649,44271,44271,44271,44271,44271,1417188,1417188,1417188,1417188,1417188,401185,401185,401185,401185,401185,247994,247994,247994,247994,247994,3,3,3,3,3,7889362,7889362,7889362,7889362,7889362,96852,96852,96852,96852,96852,31530,31530,31530,31530,31530,8289,8289,8289,8289,8289,4452,4452,4452,4452,4452,1452,1452,1452,1452,1452,8848,8848,8848,8848,8848,16765,16765,16765,16765,16765,11180,11180,11180,11180,11180,14649,14649,14649,14649,14649,85,85,85,85,85
11,7872686,7872686,7872686,7872686,7872686,0,0,0,0,0,3936690,3936690,3936690,3936690,3936690,3935996,3935996,3935996,3935996,3935996,684238,684238,684238,684238,684238,430653,430653,430653,430653,430653,403139,403139,403139,403139,403139,465385,465385,465385,465385,465385,32062,32062,32062,32062,32062,26711,26711,26711,26711,26711,8102,8102,8102,8102,8102,11317,11317,11317,11317,11317,4465,4465,4465,4465,4465,14654,14654,14654,14654,14654,44629,44629,44629,44629,44629,1437267,1437267,1437267,1437267,1437267,393583,393583,393583,393583,393583,243782,243782,243782,243782,243782,3,3,3,3,3,7880739,7880739,7880739,7880739,7880739,97165,97165,97165,97165,97165,32062,32062,32062,32062,32062,8102,8102,8102,8102,8102,4465,4465,4465,4465,4465,1503,1503,1503,1503,1503,8750,8750,8750,8750,8750,16458,16458,16458,16458,16458,11317,11317,11317,11317,11317,14654,14654,14654,14654,14654,110,110,110,110,110
12,7865184,7865184,7865184,7865184,7865184,0,0,0,0,0,3932831,3932831,3932831,3932831,3932831,3932353,3932353,3932353,3932353,3932353,707223,707223,707223,707223,707223,429278,429278,429278,429278,429278,400020,400020,400020,400020,400020,466542,466542,466542,466542,466542,32435,32435,32435,32435,32435,26598,26598,26598,26598,26598,7970,7970,7970,7970,7970,11124,11124,11124,11124,11124,4313,4313,4313,4313,4313,14498,14498,14498,14498,14498,44718,44718,44718,44718,44718,1456617,1456617,1456617,1456617,1456617,386182,386182,386182,386182,386182,239797,239797,239797,239797,239797,3,3,3,3,3,7872686,7872686,7872686,7872686,7872686,97311,97311,97311,97311,97311,32435,32435,32435,32435,32435,7970,7970,7970,7970,7970,4313,4313,4313,4313,4313,1571,1571,1571,1571,1571,8522,8522,8522,8522,8522,16505,16505,16505,16505,16505,11124,11124,11124,11124,11124,14498,14498,14498,14498,14498,111,111,111,111,111
13,7857145,7857145,7857145,7857145,7857145,0,0,0,0,0,3928642,3928642,3928642,3928642,3928642,3928503,3928503,3928503,3928503,3928503,730409,730409,730409,730409,730409,427911,427911,427911,427911,427911,397086,397086,397086,397086,397086,467715,467715,467715,467715,467715,32783,32783,32783,32783,32783,26727,26727,26727,26727,26727,7827,7827,7827,7827,7827,11111,11111,11111,11111,11111,4167,4167,4167,4167,4167,14978,14978,14978,14978,14978,44777,44777,44777,44777,44777,1475138,1475138,1475138,1475138,1475138,378942,378942,378942,378942,378942,235959,235959,235959,235959,235959,3,3,3,3,3,7865184,7865184,7865184,7865184,7865184,96938,96938,96938,96938,96938,32783,32783,32783,32783,32783,7827,7827,7827,7827,7827,4167,4167,4167,4167,4167,1555,1555,1555,1555,1555,8815,8815,8815,8815,8815,16357,16357,16357,16357,16357,11111,11111,11111,11111,11111,14978,14978,14978,14978,14978,113,113,113,113,113
14,7849996,7849996,7849996,7849996,7849996,0,0,0,0,0,3925128,3925128,3925128,3925128,3925128,3924868,3924868,3924868,3924868,3924868,754223,754223,754223,754223,754223,426522,426522,426522,426522,426522,394191,394191,394191,394191,394191,468748,468748,468748,468748,468748,33556,33556,33556,33556,33556,26369,26369,26369,26369,26369,7493,7493,7493,7493,7493,11255,11255,11255,11255,11255,4093,4093,4093,4093,4093,14667,14667,14667,14667,14667,45142,45142,45142,45142,45142,1493399,1493399,1493399,1493399,1493399,372080,372080,372080,372080,372080,232234,232234,232234,232234,232234,3,3,3,3,3,7857145,7857145,7857145,7857145,7857145,97593,97593,97593,97593,97593,33556,33556,33556,33556,33556,7493,7493,7493,7493,7493,4093,4093,4093,4093,4093,1538,1538,1538,1538,1538,8858,8858,8858,8858,8858,15973,15973,15973,15973,15973,11255,11255,11255,11255,11255,14667,14667,14667,14667,14667,100,100,100,100,100
15,7843156,7843156,7843156,7843156,7843156,0,0,0,0,0,3921505,3921505,3921505,3921505,3921505,3921651,3921651,3921651,3921651,3921651,778371,778371,778371,778371,778371,425280,425280,425280,425280,425280,391446,391446,391446,391446,391446,469583,469583,469583,469583,469583,33749,33749,33749,33749,33749,26514,26514,26514,26514,26514,7509,7509,7509,7509,7509,11101,11101,11101,11101,11101,4116,4116,4116,4116,4116,14599,14599,14599,14599,14599,45374,45374,45374,45374,45374,1510905,1510905,1510905,1510905,1510905,365210,365210,365210,365210,365210,228515,228515,228515,228515,228515,3,3,3,3,3,7849996,7849996,7849996,7849996,7849996,97433,97433,97433,97433,97433,33749,33749,33749,33749,33749,7509,7509,7509,7509,7509,4116,4116,4116,4116,4116,1533,1533,1533,1533,1533,8766,8766,8766,8766,8766,16215,16215,16215,16215,16215,11101,11101,11101,11101,11101,14599,14599,14599,14599,14599,114,114,114,114,114
