# params={"birth_rate":0.03127326489924197,"mortality_young":0.0008075956768939257,"mortality_adult":0.0023543392822770997,"mortality_old":0.009859680434451687,"overseas_arrival_rate":0.02255531908618138,"emigration_rate":0.002016042117241798,"internal_departure_rate":0.002818298038424864,"internal_arrival_rate":0.020448792854416017}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7983343,0,3992107,3991236,470862,442947,439495,445462,36958,32370,10967,16151,6196,22257,54121,1163042,489033,293804,1,8000000,0,36958,10967,6196,1523,9315,21532,16151,22257,223
1,7965452,0,3983410,3982042,497029,441184,434590,445978,35483,32273,10929,15773,5967,22224,52379,1198337,478104,287837,1,7983343,124899,35483,10929,5967,1486,9297,21490,15773,22224,184
2,7949086,0,3975114,3973972,524643,439520,429982,446557,37116,31999,10724,15903,5905,22209,53745,1231491,467380,281932,2,7965452,122649,37116,10724,5905,1415,9259,21325,15903,22209,199
3,7933508,0,3967341,3966167,553043,437818,425507,446965,38044,32031,10591,15868,5795,22109,54430,1263426,456868,276190,2,7949086,123856,38044,10591,5795,1452,9397,21182,15868,22109,219
4,7918077,0,3959499,3958578,581950,436160,421085,447176,38740,31638,10279,16238,5680,22254,54699,1294438,446746,270609,2,7933508,124438,38740,10279,5680,1507,9240,20891,16238,22254,211
5,7903649,0,3952498,3951151,611667,434474,416483,447471,39605,31480,10087,15780,5333,22193,55025,1324545,436913,265440,2,7918077,124829,39605,10087,5333,1520,9132,20828,15780,22193,182
6,7890664,0,3945788,3944876,642517,432487,411991,447630,40908,31105,9745,15834,5284,21983,55937,1352560,427493,260361,2,7903649,124478,40908,9745,5284,1472,9138,20495,15834,21983,210
7,7878876,0,3939654,3939222,674185,430659,407398,447588,41812,30855,9545,15646,5215,21859,56572,1378991,418372,255401,3,7890664,124859,41812,9545,5215,1503,8964,20388,15646,21859,187
8,7867093,0,3933794,3933299,706564,428918,403133,447251,42691,31040,9349,15950,5163,21996,57203,1403892,409498,250531,3,7878876,124932,42691,9349,5163,1602,9177,20261,15950,21996,145
9,7856583,0,3928427,3928156,739402,427338,398746,447053,43420,30599,9099,15741,5165,21854,57684,1428516,401006,245701,3,7867093,126189,43420,9099,5165,1654,9058,19887,15741,21854,192
10,7847316,0,3923851,3923465,773022,425624,394687,446556,44291,30296,8908,15566,5035,21639,58234,1451389,392753,241041,3,7856583,125878,44291,8908,5035,1572,8870,19854,15566,21639,224
11,7838251,0,3919512,3918739,806820,423858,390599,446255,44529,29798,8616,15407,4892,21897,58037,1473270,384841,236536,3,7847316,125735,44529,8616,4892,1578,8963,19257,15407,21897,171
12,7829943,0,3915322,3914621,841705,421822,386468,445817,45682,29897,8701,15562,4803,22035,59186,1493522,376896,232145,3,7838251,125139,45682,8701,4803,1570,9011,19316,15562,22035,203
13,7822497,0,3911879,3910618,877063,419981,382733,445402,46187,29634,8274,15497,4727,21503,59188,1513524,369424,227921,3,7829943,126680,46187,8274,4727,1649,8892,19093,15497,21503,183
14,7815672,0,3908036,3907636,912353,418133,379031,444889,46723,29441,8403,15359,4588,21739,59714,1532060,361916,223813,3,7822497,125822,46723,8403,4588,1689,8871,18881,15359,21739,170
15,7809588,0,3905152,3904436,948489,416355,375341,444090,47385,28956,8041,15535,4650,21669,60076,1549758,354787,219707,3,7815672,126253,47385,8041,4650,1720,8723,18513,15535,21669,186
16,7803560,0,3902216,3901344,984599,414585,371688,443362,47650,28768,7891,15744,4491,21548,60032,1566726,347865,215789,3,7809588,126236,47650,7891,4491,1688,8730,18350,15744,21548,180
17,7798466,0,3899647,3898819,1021139,412553,368251,442637,48233,28462,7815,15331,4391,21740,60439,1582884,341097,212020,3,7803560,126092,48233,7815,4391,1748,8654,18060,15331,21740,184
18,7793942,0,3897187,3896755,1058190,410884,364927,441798,49010,28502,7582,15503,4304,21415,60896,1597667,334628,208343,3,7798466,125972,49010,7582,4304,1768,8787,17947,15503,21415,170
19,7789706,0,3895167,3894539,1095470,409232,361459,441091,49415,28329,7612,15488,4191,21637,61218,1611840,328177,204823,3,7793942,126316,49415,7612,4191,1687,8671,17971,15488,21637,162
20,7785152,0,3892749,3892403,1132714,407287,358051,439874,49581,28404,7387,15633,4145,21630,61113,1625698,322092,201391,3,7789706,126672,49581,7387,4145,1819,8712,17873,15633,21630,163
21,7781084,0,3890690,3890394,1170417,405711,354534,438840,50130,28041,7200,15675,4013,21695,61343,1639104,316281,198120,3,7785152,126780,50130,7200,4013,1865,8630,17546,15675,21695,156
22,7777413,0,3889002,3888411,1208235,404014,351207,437687,50428,27846,7103,15419,4047,21984,61578,1651931,310526,194881,3,7781084,126754,50428,7103,4047,1823,8600,17423,15419,21984,185
23,7774254,0,3887295,3886959,1246381,402415,347944,436558,50926,27745,6889,15403,3903,21729,61718,1664074,305075,191720,4,7777413,126827,50926,6889,3903,1854,8464,17427,15403,21729,175
