# params={"birth_rate":0.022852405903835728,"mortality_young":0.0008058945980804724,"mortality_adult":0.0022923946717845413,"mortality_old":0.008103557305181036,"overseas_arrival_rate":0.02048758904545381,"emigration_rate":0.00143514541211536,"internal_departure_rate":0.001872906120365134,"internal_arrival_rate":0.01770345047137392}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7987529,0,3994416,3993113,461660,443538,440718,446863,27172,28420,10162,11667,5281,14999,42615,1172828,489838,294719,1,8000000,0,27172,10162,5281,1424,9259,17737,11667,14999,123
1,7974698,0,3987923,3986775,479044,442376,436927,448846,26166,28113,10047,11274,5231,14888,41444,1201748,479791,289488,1,7987529,97701,26166,10047,5231,1379,9085,17649,11274,14888,115
2,7962229,0,3981654,3980575,497223,441054,433369,450882,27155,28091,9703,11536,5081,14781,41939,1228868,470088,284407,2,7974698,95719,27155,9703,5081,1445,9081,17565,11536,14781,133
3,7950474,0,3975766,3974708,516081,440015,430041,452833,27699,28079,9675,11180,5047,14917,42421,1255488,460465,279397,2,7962229,96347,27699,9675,5047,1474,8967,17638,11180,14917,114
4,7939824,0,3970601,3969223,535814,439002,426715,454536,28679,27664,9395,11270,4935,14725,43009,1280792,451203,274522,2,7950474,96597,28679,9395,4935,1448,8981,17235,11270,14725,97
5,7928476,0,3964848,3963628,555470,437740,423283,456223,28751,27898,9211,11450,4867,14829,42829,1305428,442169,269750,2,7939824,96668,28751,9211,4867,1513,9012,17373,11450,14829,120
6,7917846,0,3959463,3958383,575898,436420,419810,457888,29495,27777,9010,11374,4706,14690,43211,1329748,433388,265177,2,7928476,97006,29495,9010,4706,1508,9098,17171,11374,14690,120
7,7907837,0,3954356,3953481,596455,435020,416428,459387,29739,27239,8818,11240,4689,14776,43246,1353409,424833,260666,2,7917846,97052,29739,8818,4689,1500,8888,16851,11240,14776,121
8,7898076,0,3949532,3948544,617807,433748,413308,460743,30571,27549,8543,11133,4606,14799,43720,1375534,416641,256268,2,7907837,96501,30571,8543,4606,1457,8987,17105,11133,14799,125
9,7888570,0,3944866,3943704,639440,432693,410006,462149,30910,27187,8300,11178,4498,14849,43708,1397499,408733,251984,2,7898076,97201,30910,8300,4498,1547,8886,16754,11178,14849,124
10,7879719,0,3940435,3939284,661586,431518,406925,463334,31569,27222,8306,11379,4430,14555,44305,1418461,400890,247774,3,7888570,96922,31569,8306,4430,1471,8987,16764,11379,14555,102
11,7871301,0,3936280,3935021,684025,430285,403564,464658,31838,27045,7988,11093,4429,14535,44255,1438992,393411,243623,3,7879719,97461,31838,7988,4429,1613,8971,16461,11093,14535,95
12,7863730,0,3932628,3931102,707078,428792,400494,465775,32496,26496,7930,11332,4344,14513,44770,1458362,386008,239559,3,7871301,96928,32496,7930,4344,1536,8693,16267,11332,14513,95
13,7855789,0,3928755,3927034,730620,427288,397420,466895,32947,26799,7836,11374,4081,14632,44864,1476795,378773,235838,3,7863730,97111,32947,7836,4081,1488,8874,16437,11374,14632,105
14,7848688,0,3925464,3923224,754047,425852,394463,467802,33222,26284,7574,11248,4193,14558,44989,1495328,371906,231988,3,7855789,97669,33222,7574,4193,1508,8661,16115,11248,14558,106
15,7841957,0,3922180,3919777,777937,424741,391602,468586,33548,26149,7480,11126,4164,14648,45192,1512783,365121,228216,3,7848688,97079,33548,7480,4164,1623,8630,15896,11126,14648,118
16,7835486,0,3918737,3916749,802247,423483,388823,469383,34021,26106,7291,11070,3951,14558,45263,1529545,358581,224654,3,7841957,97115,34021,7291,3951,1651,8604,15851,11070,14558,102
17,7829460,0,3915814,3913646,826931,422024,386106,470211,34478,26112,7361,11017,3820,14556,45659,1545654,351960,221241,3,7835486,96997,34478,7361,3820,1651,8778,15683,11017,14556,100
18,7823972,0,3912653,3911319,851814,420844,383485,470917,34828,25841,7176,11110,3928,14469,45932,1561244,345582,217782,3,7829460,97344,34828,7176,3928,1614,8574,15653,11110,14469,108
19,7818607,0,3909797,3908810,877255,419633,380647,471593,35512,26167,7011,10984,3898,14635,46421,1575840,339421,214346,3,7823972,97352,35512,7011,3898,1671,8698,15798,10984,14635,109
20,7813697,0,3907459,3906238,902806,418131,377963,472059,35710,25762,6901,11127,3731,14363,46342,1590522,333432,211097,3,7818607,98207,35710,6901,3731,1625,8458,15679,11127,14363,116
21,7808638,0,3905250,3903388,928385,416867,375189,472458,35637,25784,6862,11171,3683,14286,46182,1604726,327460,207935,3,7813697,97594,35637,6862,3683,1690,8694,15400,11171,14286,110
22,7804229,0,3902755,3901474,954585,415686,372791,472943,36347,25498,6598,11103,3660,14413,46605,1618150,321819,204788,3,7808638,97423,36347,6598,3660,1699,8484,15315,11103,14413,97
23,7799741,0,3900848,3898893,980540,414514,370436,473475,36298,25389,6620,11146,3612,14483,46530,1631302,316249,201690,3,7804229,97619,36298,6620,3612,1786,8504,15099,11146,14483,110
