tick,sex,event_age_months,count
0,male,0,183
0,male,1,174
0,male,2,194
0,male,3,206
0,male,4,523
0,male,5,492
0,male,6,524
0,male,7,509
0,male,8,513
0,male,9,558
0,male,10,542
0,male,11,506
0,male,12,536
0,male,13,2146
0,male,14,2223
0,male,15,2107
0,male,16,2096
0,male,17,2200
0,female,0,187
0,female,1,192
0,female,2,183
0,female,3,204
0,female,4,506
0,female,5,490
0,female,6,513
0,female,7,494
0,female,8,513
0,female,9,511
0,female,10,527
0,female,11,504
0,female,12,554
0,female,13,2098
0,female,14,2101
0,female,15,2154
0,female,16,2217
0,female,17,2190
1,male,0,192
1,male,1,165
1,male,2,179
1,male,3,190
1,male,4,533
1,male,5,490
1,male,6,527
1,male,7,508
1,male,8,478
1,male,9,508
1,male,10,521
1,male,11,526
1,male,12,531
1,male,13,2033
1,male,14,2136
1,male,15,2083
1,male,16,2195
1,male,17,2185
1,male,18,46
1,female,0,173
1,female,1,194
1,female,2,189
1,female,3,204
1,female,4,533
1,female,5,477
1,female,6,496
1,female,7,544
1,female,8,533
1,female,9,495
1,female,10,509
1,female,11,518
1,female,12,570
1,female,13,2180
1,female,14,2159
1,female,15,2121
1,female,16,2166
1,female,17,2143
1,female,18,43
2,male,0,179
2,male,1,169
2,male,2,175
2,male,3,193
2,male,4,520
2,male,5,515
2,male,6,505
2,male,7,526
2,male,8,519
2,male,9,504
2,male,10,495
2,male,11,543
2,male,12,523
2,male,13,2120
2,male,14,2108
2,male,15,2193
2,male,16,2104
2,male,17,2096
2,male,18,76
2,female,0,185
2,female,1,170
2,female,2,190
2,female,3,154
2,female,4,528
2,female,5,499
2,female,6,515
2,female,7,543
2,female,8,526
2,female,9,492
2,female,10,484
2,female,11,526
2,female,12,496
2,female,13,2029
2,female,14,2173
2,female,15,2127
2,female,16,2158
2,female,17,2083
2,female,18,58
3,male,0,201
3,male,1,164
3,male,2,169
3,male,3,179
3,male,4,547
3,male,5,529
3,male,6,487
3,male,7,529
3,male,8,510
3,male,9,486
3,male,10,544
3,male,11,506
3,male,12,513
3,male,13,2066
3,male,14,2030
3,male,15,2137
3,male,16,2163
3,male,17,2165
3,male,18,95
3,female,0,201
3,female,1,176
3,female,2,159
3,female,3,203
3,female,4,488
3,female,5,513
3,female,6,551
3,female,7,490
3,female,8,525
3,female,9,580
3,female,10,514
3,female,11,540
3,female,12,545
3,female,13,2101
3,female,14,2072
3,female,15,2040
3,female,16,2112
3,female,17,2090
3,female,18,111
4,male,0,215
4,male,1,190
4,male,2,181
4,male,3,177
4,male,4,518
4,male,5,541
4,male,6,549
4,male,7,533
4,male,8,522
4,male,9,528
4,male,10,551
4,male,11,488
4,male,12,524
4,male,13,2026
4,male,14,2043
4,male,15,2126
4,male,16,2083
4,male,17,2017
4,male,18,146
4,female,0,232
4,female,1,165
4,female,2,172
4,female,3,175
4,female,4,492
4,female,5,437
4,female,6,496
4,female,7,519
4,female,8,516
4,female,9,528
4,female,10,495
4,female,11,502
4,female,12,501
4,female,13,2068
4,female,14,2039
4,female,15,2047
4,female,16,2091
4,female,17,2081
4,female,18,124
5,male,0,220
5,male,1,184
5,male,2,183
5,male,3,168
5,male,4,487
5,male,5,500
5,male,6,438
5,male,7,481
5,male,8,501
5,male,9,515
5,male,10,532
5,male,11,504
5,male,12,540
5,male,13,2135
5,male,14,2097
5,male,15,1987
5,male,16,2031
5,male,17,2044
5,male,18,182
5,female,0,214
5,female,1,201
5,female,2,157
5,female,3,193
5,female,4,485
5,female,5,533
5,female,6,492
5,female,7,532
5,female,8,524
5,female,9,496
5,female,10,527
5,female,11,521
5,female,12,524
5,female,13,2063
5,female,14,2064
5,female,15,2017
5,female,16,2027
5,female,17,1994
5,female,18,187
6,male,0,196
6,male,1,169
6,male,2,175
6,male,3,173
6,male,4,549
6,male,5,427
6,male,6,540
6,male,7,521
6,male,8,541
6,male,9,481
6,male,10,516
6,male,11,538
6,male,12,504
6,male,13,2036
6,male,14,2014
6,male,15,1941
6,male,16,2055
6,male,17,2015
6,male,18,209
6,female,0,219
6,female,1,180
6,female,2,172
6,female,3,188
6,female,4,501
6,female,5,488
6,female,6,500
6,female,7,507
6,female,8,498
6,female,9,542
6,female,10,472
6,female,11,514
6,female,12,499
6,female,13,1991
6,female,14,1996
6,female,15,2007
6,female,16,1988
6,female,17,2045
6,female,18,198
7,male,0,240
7,male,1,199
7,male,2,182
7,male,3,188
7,male,4,513
7,male,5,492
7,male,6,511
7,male,7,530
7,male,8,529
7,male,9,524
7,male,10,511
7,male,11,489
7,male,12,495
7,male,13,2053
7,male,14,1936
7,male,15,2025
7,male,16,2004
7,male,17,1975
7,male,18,239
7,female,0,217
7,female,1,169
7,female,2,160
7,female,3,148
7,female,4,484
7,female,5,500
7,female,6,493
7,female,7,482
7,female,8,477
7,female,9,494
7,female,10,489
7,female,11,498
7,female,12,453
7,female,13,1968
7,female,14,2002
7,female,15,1990
