tick,sex,area,age_months,count
0,male,0,0,57754
0,male,0,1,55703
0,male,0,2,55381
0,male,0,3,55268
0,male,0,4,55436
0,male,0,5,55430
0,male,0,6,55626
0,male,0,7,55547
0,male,0,8,55545
0,male,0,9,55398
0,male,0,10,55851
0,male,0,11,55370
0,male,0,12,55268
0,male,0,13,55202
0,male,0,14,55042
0,male,0,15,54889
0,male,0,16,55139
0,male,0,17,54971
0,male,0,18,884
0,male,1,0,58004
0,male,1,1,55424
0,male,1,2,55409
0,male,1,3,55362
0,male,1,4,55662
0,male,1,5,55734
0,male,1,6,55936
0,male,1,7,55544
0,male,1,8,55604
0,male,1,9,55305
0,male,1,10,55262
0,male,1,11,55616
0,male,1,12,55363
0,male,1,13,54773
0,male,1,14,54620
0,male,1,15,54925
0,male,1,16,54646
0,male,1,17,54841
0,male,1,18,946
0,male,2,0,57374
0,male,2,1,55468
0,male,2,2,55026
0,male,2,3,55381
0,male,2,4,55426
0,male,2,5,55025
0,male,2,6,55783
0,male,2,7,55433
0,male,2,8,55893
0,male,2,9,55358
0,male,2,10,55280
0,male,2,11,55414
0,male,2,12,54725
0,male,2,13,55315
0,male,2,14,54627
0,male,2,15,54862
0,male,2,16,54402
0,male,2,17,54910
0,male,2,18,946
0,male,3,0,57626
0,male,3,1,55513
0,male,3,2,55226
0,male,3,3,55637
0,male,3,4,55607
0,male,3,5,55495
0,male,3,6,55492
0,male,3,7,55651
0,male,3,8,55239
0,male,3,9,55838
0,male,3,10,55605
0,male,3,11,55378
0,male,3,12,55514
0,male,3,13,55174
0,male,3,14,54832
0,male,3,15,54716
0,male,3,16,54851
0,male,3,17,54986
0,male,3,18,954
0,female,0,0,57581
0,female,0,1,55500
0,female,0,2,54971
0,female,0,3,55460
0,female,0,4,55292
0,female,0,5,55424
0,female,0,6,55300
0,female,0,7,55574
0,female,0,8,55219
0,female,0,9,55695
0,female,0,10,55437
0,female,0,11,55133
0,female,0,12,54658
0,female,0,13,54961
0,female,0,14,55062
0,female,0,15,54619
0,female,0,16,54740
0,female,0,17,54774
0,female,0,18,914
0,female,1,0,57681
0,female,1,1,55271
0,female,1,2,55562
0,female,1,3,55459
0,female,1,4,54918
0,female,1,5,55468
