tick,sex,area,age_months,count
0,male,0,0,57820
0,male,0,1,55533
0,male,0,2,55248
0,male,0,3,55122
0,male,0,4,55315
0,male,0,5,55280
0,male,0,6,55515
0,male,0,7,55405
0,male,0,8,55350
0,male,0,9,55244
0,male,0,10,55645
0,male,0,11,55225
0,male,0,12,55081
0,male,0,13,54833
0,male,0,14,54671
0,male,0,15,54515
0,male,0,16,54747
0,male,0,17,54554
0,male,0,18,881
0,male,1,0,58134
0,male,1,1,55348
0,male,1,2,55298
0,male,1,3,55204
0,male,1,4,55507
0,male,1,5,55541
0,male,1,6,55793
0,male,1,7,55393
0,male,1,8,55437
0,male,1,9,55210
0,male,1,10,55122
0,male,1,11,55428
0,male,1,12,55213
0,male,1,13,54437
0,male,1,14,54241
0,male,1,15,54558
0,male,1,16,54212
0,male,1,17,54527
0,male,1,18,937
0,male,2,0,57664
0,male,2,1,55332
0,male,2,2,54863
0,male,2,3,55225
0,male,2,4,55268
0,male,2,5,54965
0,male,2,6,55667
0,male,2,7,55298
0,male,2,8,55678
0,male,2,9,55230
0,male,2,10,55157
0,male,2,11,55281
0,male,2,12,54586
0,male,2,13,54930
0,male,2,14,54239
0,male,2,15,54558
0,male,2,16,54033
0,male,2,17,54576
0,male,2,18,938
0,male,3,0,57802
0,male,3,1,55307
0,male,3,2,55095
0,male,3,3,55477
0,male,3,4,55447
0,male,3,5,55335
0,male,3,6,55317
0,male,3,7,55457
0,male,3,8,55056
0,male,3,9,55656
0,male,3,10,55445
0,male,3,11,55186
0,male,3,12,55374
0,male,3,13,54811
0,male,3,14,54460
0,male,3,15,54333
0,male,3,16,54482
0,male,3,17,54672
0,male,3,18,945
0,female,0,0,57789
0,female,0,1,55362
0,female,0,2,54872
0,female,0,3,55312
0,female,0,4,55122
0,female,0,5,55330
0,female,0,6,55074
0,female,0,7,55417
0,female,0,8,55059
0,female,0,9,55579
0,female,0,10,55285
0,female,0,11,54966
0,female,0,12,54549
0,female,0,13,54537
0,female,0,14,54755
0,female,0,15,54214
0,female,0,16,54375
0,female,0,17,54374
0,female,0,18,913
0,female,1,0,57773
0,female,1,1,55136
0,female,1,2,55418
0,female,1,3,55270
0,female,1,4,54760
0,female,1,5,55319
0,female,1,6,55359
0,female,1,7,55118
0,female,1,8,55057
0,female,1,9,55297
0,female,1,10,55206
0,female,1,11,55623
0,female,1,12,55049
0,female,1,13,55078
0,female,1,14,54725
0,female,1,15,54627
0,female,1,16,54629
0,female,1,17,54469
0,female,1,18,878
0,female,2,0,58444
0,female,2,1,55202
0,female,2,2,54986
0,female,2,3,55247
0,female,2,4,55494
0,female,2,5,55408
0,female,2,6,55394
0,female,2,7,55365
0,female,2,8,55254
0,female,2,9,54987
0,female,2,10,55282
0,female,2,11,55225
0,female,2,12,55138
0,female,2,13,54296
0,female,2,14,55052
0,female,2,15,54935
0,female,2,16,54584
0,female,2,17,54383
0,female,2,18,900
0,female,3,0,57988
0,female,3,1,55374
0,female,3,2,55649
0,female,3,3,55073
0,female,3,4,55411
0,female,3,5,55222
0,female,3,6,55450
0,female,3,7,55349
0,female,3,8,55288
0,female,3,9,55550
0,female,3,10,55342
0,female,3,11,55456
0,female,3,12,55086
0,female,3,13,54636
0,female,3,14,54407
0,female,3,15,54107
0,female,3,16,54783
0,female,3,17,55009
0,female,3,18,897
1,male,0,0,60201
1,male,0,1,55196
1,male,0,2,54911
1,male,0,3,54828
1,male,0,4,55110
1,male,0,5,55003
1,male,0,6,55153
1,male,0,7,55147
1,male,0,8,55065
1,male,0,9,54865
1,male,0,10,55329
1,male,0,11,55018
1,male,0,12,54789
1,male,0,13,53907
1,male,0,14,53717
1,male,0,15,53591
1,male,0,16,53703
1,male,0,17,53515
1,male,0,18,1787
1,male,1,0,60498
1,male,1,1,55010
1,male,1,2,54944
1,male,1,3,54959
1,male,1,4,55206
1,male,1,5,55241
1,male,1,6,55487
1,male,1,7,55117
1,male,1,8,55087
1,male,1,9,54948
1,male,1,10,54878
1,male,1,11,55176
1,male,1,12,54834
1,male,1,13,53656
1,male,1,14,53256
1,male,1,15,53635
1,male,1,16,53202
1,male,1,17,53530
1,male,1,18,1806
1,male,2,0,60114
1,male,2,1,55077
1,male,2,2,54554
1,male,2,3,54909
1,male,2,4,54894
1,male,2,5,54780
1,male,2,6,55400
1,male,2,7,55039
1,male,2,8,55408
1,male,2,9,54911
1,male,2,10,54874
1,male,2,11,54920
1,male,2,12,54362
1,male,2,13,54063
1,male,2,14,53315
1,male,2,15,53616
1,male,2,16,53040
1,male,2,17,53546
1,male,2,18,1811
1,male,3,0,60176
1,male,3,1,54965
1,male,3,2,54745
1,male,3,3,55207
1,male,3,4,55121
1,male,3,5,55037
1,male,3,6,55090
1,male,3,7,55050
1,male,3,8,54758
1,male,3,9,55364
1,male,3,10,55068
1,male,3,11,54968
1,male,3,12,55069
1,male,3,13,53948
1,male,3,14,53604
1,male,3,15,53443
1,male,3,16,53477
1,male,3,17,53605
1,male,3,18,1832
1,female,0,0,60094
1,female,0,1,55115
1,female,0,2,54511
1,female,0,3,54994
1,female,0,4,54880
1,female,0,5,54975
1,female,0,6,54812
1,female,0,7,55149
1,female,0,8,54811
1,female,0,9,55217
1,female,0,10,55010
1,female,0,11,54718
1,female,0,12,54315
1,female,0,13,53678
1,female,0,14,53708
1,female,0,15,53376
1,female,0,16,53418
1,female,0,17,53435
1,female,0,18,1747
1,female,1,0,60135
1,female,1,1,54807
1,female,1,2,55050
1,female,1,3,55044
1,female,1,4,54466
1,female,1,5,55053
1,female,1,6,54962
1,female,1,7,54909
1,female,1,8,54701
1,female,1,9,55063
1,female,1,10,54877
1,female,1,11,55307
1,female,1,12,54782
1,female,1,13,54208
1,female,1,14,53793
1,female,1,15,53657
1,female,1,16,53620
1,female,1,17,53538
1,female,1,18,1701
1,female,2,0,60818
1,female,2,1,54944
1,female,2,2,54714
1,female,2,3,54918
1,female,2,4,55179
1,female,2,5,55082
1,female,2,6,55153
1,female,2,7,55101
1,female,2,8,54964
1,female,2,9,54617
1,female,2,10,54960
1,female,2,11,54952
1,female,2,12,54831
1,female,2,13,53491
1,female,2,14,54127
1,female,2,15,53949
1,female,2,16,53646
1,female,2,17,53326
1,female,2,18,1789
1,female,3,0,60422
1,female,3,1,55057
1,female,3,2,55264
1,female,3,3,54845
1,female,3,4,55087
1,female,3,5,54996
1,female,3,6,55042
1,female,3,7,55140
1,female,3,8,54944
1,female,3,9,55306
1,female,3,10,55093
1,female,3,11,55168
1,female,3,12,54787
1,female,3,13,53809
1,female,3,14,53508
1,female,3,15,53130
1,female,3,16,53741
1,female,3,17,54054
1,female,3,18,1767
2,male,0,0,62714
2,male,0,1,54856
2,male,0,2,54607
2,male,0,3,54564
2,male,0,4,54759
2,male,0,5,54665
2,male,0,6,54809
2,male,0,7,54913
2,male,0,8,54719
2,male,0,9,54623
2,male,0,10,55044
2,male,0,11,54705
2,male,0,12,54543
2,male,0,13,53110
2,male,0,14,52805
2,male,0,15,52683
2,male,0,16,52720
2,male,0,17,52606
2,male,0,18,2633
2,male,1,0,63062
2,male,1,1,54726
2,male,1,2,54603
2,male,1,3,54684
2,male,1,4,54905
2,male,1,5,54906
2,male,1,6,55134
2,male,1,7,54821
2,male,1,8,54793
2,male,1,9,54659
2,male,1,10,54614
2,male,1,11,54817
2,male,1,12,54566
2,male,1,13,52755
2,male,1,14,52367
2,male,1,15,52783
2,male,1,16,52228
2,male,1,17,52573
2,male,1,18,2651
2,male,2,0,62738
2,male,2,1,54804
2,male,2,2,54148
2,male,2,3,54673
2,male,2,4,54532
2,male,2,5,54592
2,male,2,6,55090
2,male,2,7,54677
2,male,2,8,55108
2,male,2,9,54641
2,male,2,10,54617
2,male,2,11,54556
2,male,2,12,54051
2,male,2,13,53178
2,male,2,14,52406
2,male,2,15,52713
2,male,2,16,52070
2,male,2,17,52550
2,male,2,18,2654
2,male,3,0,62817
2,male,3,1,54612
2,male,3,2,54355
2,male,3,3,54909
2,male,3,4,54826
2,male,3,5,54795
2,male,3,6,54780
2,male,3,7,54759
2,male,3,8,54482
2,male,3,9,55032
2,male,3,10,54783
2,male,3,11,54725
2,male,3,12,54770
2,male,3,13,53149
2,male,3,14,52698
2,male,3,15,52512
2,male,3,16,52550
2,male,3,17,52581
2,male,3,18,2711
2,female,0,0,62752
2,female,0,1,54706
2,female,0,2,54226
2,female,0,3,54656
2,female,0,4,54626
2,female,0,5,54631
2,female,0,6,54570
2,female,0,7,54742
2,female,0,8,54602
2,female,0,9,54835
2,female,0,10,54748
2,female,0,11,54441
2,female,0,12,53982
2,female,0,13,52904
2,female,0,14,52654
2,female,0,15,52535
2,female,0,16,52444
2,female,0,17,52476
2,female,0,18,2558
2,female,1,0,62680
2,female,1,1,54558
2,female,1,2,54714
2,female,1,3,54725
2,female,1,4,54163
2,female,1,5,54758
2,female,1,6,54659
2,female,1,7,54604
2,female,1,8,54370
2,female,1,9,54757
2,female,1,10,54616
2,female,1,11,55047
2,female,1,12,54409
2,female,1,13,53475
2,female,1,14,52790
2,female,1,15,52755
2,female,1,16,52637
2,female,1,17,52483
2,female,1,18,2604
2,female,2,0,63435
2,female,2,1,54596
2,female,2,2,54429
2,female,2,3,54698
2,female,2,4,54801
2,female,2,5,54837
2,female,2,6,54853
2,female,2,7,54783
