tick,sex,area,age_months,count
0,male,0,0,57616
0,male,0,1,55670
0,male,0,2,55390
0,male,0,3,55274
0,male,0,4,55447
0,male,0,5,55429
0,male,0,6,55644
0,male,0,7,55544
0,male,0,8,55508
0,male,0,9,55385
0,male,0,10,55806
0,male,0,11,55378
0,male,0,12,55234
0,male,0,13,55210
0,male,0,14,55036
0,male,0,15,54876
0,male,0,16,55098
0,male,0,17,54939
0,male,0,18,886
0,male,1,0,57914
0,male,1,1,55479
0,male,1,2,55421
0,male,1,3,55356
0,male,1,4,55687
0,male,1,5,55695
0,male,1,6,55951
0,male,1,7,55542
0,male,1,8,55583
0,male,1,9,55344
0,male,1,10,55251
0,male,1,11,55565
0,male,1,12,55354
0,male,1,13,54848
0,male,1,14,54612
0,male,1,15,54951
0,male,1,16,54600
0,male,1,17,54858
0,male,1,18,947
0,male,2,0,57417
0,male,2,1,55486
0,male,2,2,55001
0,male,2,3,55364
0,male,2,4,55418
0,male,2,5,55110
0,male,2,6,55801
0,male,2,7,55449
0,male,2,8,55858
0,male,2,9,55386
0,male,2,10,55315
0,male,2,11,55432
0,male,2,12,54740
0,male,2,13,55311
0,male,2,14,54630
0,male,2,15,54910
0,male,2,16,54408
0,male,2,17,54899
0,male,2,18,949
0,male,3,0,57596
0,male,3,1,55463
0,male,3,2,55248
0,male,3,3,55632
0,male,3,4,55592
0,male,3,5,55468
0,male,3,6,55478
0,male,3,7,55618
0,male,3,8,55218
0,male,3,9,55813
0,male,3,10,55588
0,male,3,11,55345
0,male,3,12,55517
0,male,3,13,55199
0,male,3,14,54862
0,male,3,15,54712
0,male,3,16,54840
0,male,3,17,55064
0,male,3,18,951
0,female,0,0,57556
0,female,0,1,55506
0,female,0,2,55003
0,female,0,3,55459
0,female,0,4,55275
0,female,0,5,55458
0,female,0,6,55252
0,female,0,7,55591
0,female,0,8,55205
0,female,0,9,55732
0,female,0,10,55435
0,female,0,11,55130
0,female,0,12,54666
0,female,0,13,54913
0,female,0,14,55121
0,female,0,15,54592
0,female,0,16,54737
0,female,0,17,54778
0,female,0,18,916
0,female,1,0,57568
0,female,1,1,55279
0,female,1,2,55566
0,female,1,3,55411
0,female,1,4,54915
0,female,1,5,55474
0,female,1,6,55521
0,female,1,7,55272
0,female,1,8,55202
0,female,1,9,55431
0,female,1,10,55349
0,female,1,11,55779
0,female,1,12,55186
0,female,1,13,55509
0,female,1,14,55109
0,female,1,15,54976
0,female,1,16,55038
0,female,1,17,54816
0,female,1,18,883
0,female,2,0,58243
0,female,2,1,55354
0,female,2,2,55116
0,female,2,3,55393
0,female,2,4,55636
0,female,2,5,55551
0,female,2,6,55520
0,female,2,7,55521
0,female,2,8,55408
0,female,2,9,55134
0,female,2,10,55425
0,female,2,11,55393
0,female,2,12,55281
0,female,2,13,54693
0,female,2,14,55407
0,female,2,15,55343
0,female,2,16,54943
0,female,2,17,54753
0,female,2,18,907
0,female,3,0,57750
0,female,3,1,55525
0,female,3,2,55789
0,female,3,3,55219
0,female,3,4,55568
0,female,3,5,55355
0,female,3,6,55596
0,female,3,7,55477
0,female,3,8,55443
0,female,3,9,55689
0,female,3,10,55498
0,female,3,11,55599
0,female,3,12,55235
0,female,3,13,55035
0,female,3,14,54761
0,female,3,15,54488
0,female,3,16,55139
0,female,3,17,55418
0,female,3,18,899
1,male,0,0,59742
1,male,0,1,55469
1,male,0,2,55175
1,male,0,3,55138
1,male,0,4,55386
1,male,0,5,55298
1,male,0,6,55447
1,male,0,7,55434
1,male,0,8,55371
1,male,0,9,55168
1,male,0,10,55632
1,male,0,11,55314
1,male,0,12,55091
1,male,0,13,54662
1,male,0,14,54484
1,male,0,15,54326
1,male,0,16,54418
1,male,0,17,54274
1,male,0,18,1805
1,male,1,0,60084
1,male,1,1,55283
1,male,1,2,55206
1,male,1,3,55257
1,male,1,4,55523
1,male,1,5,55543
1,male,1,6,55768
1,male,1,7,55429
1,male,1,8,55390
1,male,1,9,55237
1,male,1,10,55151
1,male,1,11,55463
1,male,1,12,55109
1,male,1,13,54451
1,male,1,14,54001
1,male,1,15,54377
1,male,1,16,53957
1,male,1,17,54256
1,male,1,18,1827
1,male,2,0,59677
1,male,2,1,55362
1,male,2,2,54820
1,male,2,3,55200
1,male,2,4,55204
1,male,2,5,55061
1,male,2,6,55677
1,male,2,7,55345
1,male,2,8,55725
1,male,2,9,55209
1,male,2,10,55184
1,male,2,11,55219
1,male,2,12,54655
1,male,2,13,54816
1,male,2,14,54051
1,male,2,15,54388
1,male,2,16,53764
1,male,2,17,54235
1,male,2,18,1837
1,male,3,0,59763
1,male,3,1,55251
1,male,3,2,55032
1,male,3,3,55508
1,male,3,4,55411
1,male,3,5,55325
1,male,3,6,55406
1,male,3,7,55344
1,male,3,8,55052
1,male,3,9,55702
1,male,3,10,55363
1,male,3,11,55282
1,male,3,12,55372
1,male,3,13,54705
1,male,3,14,54376
1,male,3,15,54198
1,male,3,16,54216
1,male,3,17,54391
1,male,3,18,1851
1,female,0,0,59657
1,female,0,1,55392
1,female,0,2,54781
1,female,0,3,55297
1,female,0,4,55182
1,female,0,5,55269
1,female,0,6,55125
1,female,0,7,55463
1,female,0,8,55106
1,female,0,9,55499
1,female,0,10,55303
1,female,0,11,55015
1,female,0,12,54542
1,female,0,13,54423
1,female,0,14,54460
1,female,0,15,54112
1,female,0,16,54121
1,female,0,17,54204
1,female,0,18,1764
1,female,1,0,59709
1,female,1,1,55080
1,female,1,2,55338
1,female,1,3,55332
1,female,1,4,54779
1,female,1,5,55375
1,female,1,6,55289
1,female,1,7,55202
1,female,1,8,55016
1,female,1,9,55329
1,female,1,10,55199
1,female,1,11,55624
1,female,1,12,55058
1,female,1,13,55026
1,female,1,14,54528
1,female,1,15,54381
1,female,1,16,54402
1,female,1,17,54232
1,female,1,18,1724
1,female,2,0,60441
1,female,2,1,55223
1,female,2,2,54982
1,female,2,3,55213
1,female,2,4,55478
1,female,2,5,55380
1,female,2,6,55445
1,female,2,7,55416
1,female,2,8,55271
1,female,2,9,54922
1,female,2,10,55260
1,female,2,11,55283
1,female,2,12,55126
1,female,2,13,54268
1,female,2,14,54836
1,female,2,15,54736
