tick,sex,event_age_months,count
0,male,0,178
0,male,1,180
0,male,2,190
0,male,3,199
0,male,4,504
0,male,5,520
0,male,6,521
0,male,7,508
0,male,8,528
0,male,9,513
0,male,10,544
0,male,11,518
0,male,12,529
0,male,13,2130
0,male,14,2146
0,male,15,2066
0,male,16,2164
0,male,17,2126
0,female,0,175
0,female,1,156
0,female,2,151
0,female,3,193
0,female,4,546
0,female,5,514
0,female,6,567
0,female,7,539
0,female,8,568
0,female,9,474
0,female,10,526
0,female,11,527
0,female,12,527
0,female,13,2220
0,female,14,2107
0,female,15,2136
0,female,16,2184
0,female,17,2222
1,male,0,179
1,male,1,151
1,male,2,180
1,male,3,172
1,male,4,516
1,male,5,532
1,male,6,488
1,male,7,512
1,male,8,542
1,male,9,499
1,male,10,516
1,male,11,517
1,male,12,511
1,male,13,2150
1,male,14,2135
1,male,15,2055
1,male,16,2214
1,male,17,2255
1,male,18,22
1,female,0,154
1,female,1,158
1,female,2,194
1,female,3,194
1,female,4,509
1,female,5,548
1,female,6,509
1,female,7,497
1,female,8,502
1,female,9,514
1,female,10,564
1,female,11,501
1,female,12,520
1,female,13,2118
1,female,14,2132
1,female,15,2107
1,female,16,2110
1,female,17,2105
1,female,18,33
2,male,0,198
2,male,1,177
2,male,2,192
2,male,3,180
2,male,4,540
2,male,5,493
2,male,6,477
2,male,7,531
2,male,8,530
2,male,9,515
2,male,10,496
2,male,11,481
2,male,12,523
2,male,13,2172
2,male,14,2089
2,male,15,2082
2,male,16,2031
2,male,17,2078
2,male,18,76
2,female,0,184
2,female,1,157
2,female,2,196
2,female,3,171
2,female,4,527
2,female,5,517
2,female,6,526
2,female,7,498
2,female,8,538
2,female,9,531
2,female,10,527
2,female,11,508
2,female,12,521
2,female,13,2120
2,female,14,2170
2,female,15,2116
2,female,16,2094
2,female,17,2124
2,female,18,73
3,male,0,217
3,male,1,179
3,male,2,168
3,male,3,186
3,male,4,483
3,male,5,522
3,male,6,475
3,male,7,508
3,male,8,512
3,male,9,539
3,male,10,513
3,male,11,477
3,male,12,482
3,male,13,2025
3,male,14,2068
3,male,15,2175
3,male,16,2153
3,male,17,2045
3,male,18,108
3,female,0,207
3,female,1,183
3,female,2,165
3,female,3,179
3,female,4,461
3,female,5,529
3,female,6,508
3,female,7,502
3,female,8,523
3,female,9,577
3,female,10,564
3,female,11,468
3,female,12,515
3,female,13,2126
3,female,14,2151
3,female,15,2070
3,female,16,2093
3,female,17,2145
3,female,18,121
4,male,0,222
4,male,1,159
4,male,2,173
4,male,3,181
4,male,4,503
4,male,5,492
4,male,6,479
4,male,7,498
4,male,8,491
4,male,9,488
4,male,10,558
4,male,11,528
4,male,12,507
4,male,13,2073
4,male,14,2058
4,male,15,1993
4,male,16,2055
4,male,17,2129
4,male,18,138
4,female,0,192
4,female,1,178
4,female,2,192
4,female,3,167
4,female,4,514
4,female,5,556
4,female,6,493
4,female,7,539
4,female,8,455
4,female,9,532
4,female,10,508
4,female,11,509
4,female,12,531
4,female,13,2039
4,female,14,2074
4,female,15,1981
