Generating SQLite file /home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/25-profile-w4-A-r1/profile/final-state.sqlite from /home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/25-profile-w4-A-r1/profile/final-state.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/25-profile-w4-A-r1/profile/final-state.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
17.6,353087313,3840,91949.8,86721.5,49728,306277,30288.4,sembla_prepare_effects
10.5,211353073,288,733864.8,631354.5,32832,1759260,619275.7,sembla_observe_grouped_view
10.3,206299840,3840,53723.9,52257.0,41920,183587,9517.2,sembla_check_candidate_errors
6.2,123782116,3840,32234.9,31168.0,29536,165411,8878.4,sembla_validate_claims
4.7,94745835,1824,51944.0,48225.0,23776,192547,19292.5,sembla_observe_view
4.4,89275298,96,929951.0,932063.0,886895,1035089,20798.0,sembla_resolve_conflicts
4.2,83676286,288,290542.7,288724.5,285925,377798,7751.9,sembla_count_deferred
4.0,79765488,960,83089.1,82481.5,81345,148483,2491.7,sembla_count_fired
3.6,72778826,3840,18952.8,18689.0,16896,96418,4625.1,sembla_validate_transition
3.4,68647659,96,715079.8,716092.0,697803,784717,12537.3,sembla_build_claim_instances
3.2,65086475,96,677984.1,680795.5,643114,695212,12726.9,sembla_apply_effects
3.0,60367353,960,62882.7,44001.0,40097,376230,48894.5,sembla_mark_effect_active
2.5,49749417,384,129555.8,125970.0,122530,256452,16288.3,sembla_validate_effects
2.1,41536152,12096,3433.9,2720.0,1344,46304,2399.6,sembla_advance_validation_phase
2.0,40313272,96,419929.9,417079.0,393958,549065,25560.0,sembla_reduce_claim_instances
1.9,39052866,96,406800.7,407094.5,384070,535913,18709.5,sembla_reduce_claim_entities
1.9,38921821,192,202717.8,194051.5,98817,344357,45949.2,sembla_bound_grouped_view
1.7,34436468,96,358713.2,358309.5,341445,437831,16033.4,sembla_reduce_claim_rules
1.5,29496905,96,307259.4,305509.0,293061,363398,10260.5,sembla_reduce_claim_keys
1.2,23419811,96,243956.4,242964.0,234212,260069,4425.5,sembla_init_conflict_winners
1.0,20655808,96,215164.7,213284.0,210436,296325,12003.4,sembla_init_effect_owners
0.9,17259356,96,179785.0,175427.0,169987,307653,20860.2,sembla_transition_00000005
0.8,17007293,96,177159.3,176131.0,171235,265221,9329.7,sembla_transition_00000007
0.8,16936084,96,176417.5,176386.5,172099,180867,1995.8,sembla_transition_00000006
0.8,16869534,96,175724.3,172627.0,168931,301509,18312.8,sembla_transition_00000003
0.8,16718131,96,174147.2,172483.0,168355,299429,13116.0,sembla_transition_00000004
0.8,16368557,96,170505.8,170371.0,166723,176259,1742.2,sembla_transition_00000002
0.8,16284198,96,169627.1,168050.5,165218,292261,12870.9,sembla_transition_00000009
0.8,16270853,96,169488.1,167938.5,165219,294757,13028.8,sembla_transition_00000008
0.8,16089673,4032,3990.5,3488.0,1536,84866,2759.9,sembla_commit_validation_status
0.7,13274617,96,138277.3,137426.0,134210,200996,6744.1,sembla_transition_00000000
0.7,13235229,96,137867.0,137714.5,133923,145315,1891.7,sembla_transition_00000001
0.1,1436015,288,4986.2,4064.0,1536,37793,5065.5,sembla_init_grouped_histogram
0.1,1012011,384,2635.4,1888.0,1120,11392,1530.5,sembla_validate_outputs
0.0,429833,96,4477.4,3680.0,1472,36800,5104.5,sembla_reset_status
0.0,371943,96,3874.4,3536.0,1632,11744,1713.1,sembla_init_observations
0.0,344806,96,3591.7,1920.0,1152,33632,4638.9,sembla_validate_claim_compatibility
0.0,337156,96,3512.0,2704.0,1696,29441,3062.2,sembla_init_grouped_extrema
0.0,326917,96,3405.4,2192.0,1536,30176,3804.3,sembla_init_validation_scratch
0.0,280773,96,2924.7,2272.5,1504,6433,1290.8,sembla_prepare_outputs
0.0,267236,96,2783.7,2112.0,1280,11712,1612.4,sembla_init_control_counts

