Generating SQLite file /home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/26-profile-w4-B-r1/profile/final-state.sqlite from /home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/26-profile-w4-B-r1/profile/final-state.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/26-profile-w4-B-r1/profile/final-state.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
17.7,357849743,3840,93190.0,90785.5,47841,260388,29432.4,sembla_prepare_effects
10.8,217295844,288,754499.5,636633.5,32704,1853468,652625.1,sembla_observe_grouped_view
10.3,208212433,3840,54222.0,52256.0,42145,208772,11155.0,sembla_check_candidate_errors
6.1,123739261,3840,32223.8,31009.0,29633,179906,9112.1,sembla_validate_claims
4.6,92341987,1824,50626.1,49025.0,24129,163970,15376.9,sembla_observe_view
4.4,89299067,96,930198.6,930238.0,889069,1054673,23091.9,sembla_resolve_conflicts
4.2,84633752,288,293867.2,289460.5,286276,419174,18153.3,sembla_count_deferred
4.0,80903577,960,84274.6,82849.0,81377,232068,8905.5,sembla_count_fired
3.6,73067703,3840,19028.0,18657.0,16897,102306,5322.5,sembla_validate_transition
3.4,68658365,96,715191.3,717659.0,699018,724075,7337.6,sembla_build_claim_instances
3.2,65150654,96,678652.6,680730.0,644234,704971,12567.7,sembla_apply_effects
3.0,60278321,960,62789.9,43409.0,40064,290821,49247.3,sembla_mark_effect_active
2.5,49539737,384,129009.7,126498.0,122402,258276,14695.2,sembla_validate_effects
2.1,41826294,12096,3457.9,2688.0,1344,70561,2721.6,sembla_advance_validation_phase
2.0,39994055,96,416604.7,416278.0,393894,502248,16263.0,sembla_reduce_claim_instances
1.9,39307393,96,409452.0,407206.5,385574,531272,21437.0,sembla_reduce_claim_entities
1.9,39273436,192,204549.1,194035.0,90049,372390,39852.1,sembla_bound_grouped_view
1.7,34195592,96,356204.1,357109.5,341990,374150,7557.2,sembla_reduce_claim_rules
1.5,29868203,96,311127.1,308757.0,294180,436807,17422.0,sembla_reduce_claim_keys
1.2,23475335,96,244534.7,242243.5,231587,367461,13834.7,sembla_init_conflict_winners
1.0,20665119,96,215261.7,213763.0,210243,292517,10309.4,sembla_init_effect_owners
0.8,17151909,96,178665.7,176690.5,171554,277028,14131.8,sembla_transition_00000007
0.8,17105416,96,178181.4,176770.0,172291,307365,13531.6,sembla_transition_00000006
0.8,16996711,96,177049.1,176307.0,171523,260580,8832.4,sembla_transition_00000005
0.8,16681054,96,173761.0,173474.5,168962,192354,2744.6,sembla_transition_00000003
0.8,16672861,96,173675.6,171139.0,167907,294117,15778.3,sembla_transition_00000002
0.8,16672681,96,173673.8,173442.5,168867,189603,2799.8,sembla_transition_00000004
0.8,16372195,96,170543.7,168354.5,164515,295012,13534.0,sembla_transition_00000008
0.8,16169878,96,168436.2,168178.5,164323,183779,2497.8,sembla_transition_00000009
0.8,15717674,4032,3898.2,3328.0,1536,100065,2932.8,sembla_commit_validation_status
0.7,13411148,96,139699.5,138530.0,134754,194403,6847.1,sembla_transition_00000001
0.7,13365386,96,139222.8,138738.0,133282,151938,2897.8,sembla_transition_00000000
0.1,1072111,288,3722.6,2784.0,1504,28736,2535.7,sembla_init_grouped_histogram
0.1,1015147,384,2643.6,1936.0,1120,14080,1707.6,sembla_validate_outputs
0.0,394405,96,4108.4,3712.0,1760,23200,2790.1,sembla_init_observations
0.0,368585,96,3839.4,3648.0,1504,9697,1760.7,sembla_init_grouped_extrema
0.0,357380,96,3722.7,3296.0,1536,26753,2976.0,sembla_prepare_outputs
0.0,352930,96,3676.4,2656.0,1472,29440,3322.7,sembla_reset_status
0.0,341035,96,3552.4,2848.0,1504,20289,2945.1,sembla_init_validation_scratch
0.0,285896,96,2978.1,1728.0,1152,22977,3459.2,sembla_validate_claim_compatibility
0.0,279779,96,2914.4,1984.0,1248,30336,3117.9,sembla_init_control_counts

