Generating SQLite file /home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/27-profile-w4-C-r1/profile/final-state.sqlite from /home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/27-profile-w4-C-r1/profile/final-state.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-final-state-decision/protocol/arms/27-profile-w4-C-r1/profile/final-state.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
18.0,363692652,3840,94711.6,93409.5,49921,261444,29392.8,sembla_prepare_effects
10.7,217223992,288,754250.0,631049.5,32288,1816283,647798.3,sembla_observe_grouped_view
10.1,204286537,3840,53199.6,52065.0,42144,205187,9722.8,sembla_check_candidate_errors
6.1,122832494,3840,31987.6,30881.0,29633,174946,7560.8,sembla_validate_claims
4.8,97744759,1824,53588.1,49104.0,23872,187235,21410.5,sembla_observe_view
4.4,89063778,96,927747.7,928653.5,885933,1045999,22440.0,sembla_resolve_conflicts
4.2,84040610,288,291807.7,289332.0,285892,419206,13644.2,sembla_count_deferred
4.0,81089028,960,84467.7,82786.0,81345,218019,9903.7,sembla_count_fired
3.6,73240875,3840,19073.1,18817.0,16928,101313,4581.6,sembla_validate_transition
3.4,68842985,96,717114.4,716746.0,696938,853964,19187.5,sembla_build_claim_instances
3.2,65482349,96,682107.8,680825.5,641801,815084,24159.8,sembla_apply_effects
3.0,60065592,960,62568.3,44544.5,40256,224003,47588.8,sembla_mark_effect_active
2.4,49093892,384,127848.7,126450.0,122914,186146,4804.6,sembla_validate_effects
2.1,42967962,12096,3552.2,2624.0,1344,76513,2675.0,sembla_advance_validation_phase
2.0,39887744,96,415497.3,416230.0,392294,572360,19564.0,sembla_reduce_claim_instances
1.9,38912273,96,405336.2,406966.0,384101,466599,12499.5,sembla_reduce_claim_entities
1.8,35782051,192,186364.8,190947.0,65793,331237,49402.7,sembla_bound_grouped_view
1.7,34145543,96,355682.7,357285.0,341669,372005,7349.0,sembla_reduce_claim_rules
1.5,29649706,96,308851.1,307988.0,293636,391174,12050.5,sembla_reduce_claim_keys
1.2,23313012,96,242843.9,242451.0,232963,256548,3884.3,sembla_init_conflict_winners
1.0,20433347,96,212847.4,212675.0,210115,217635,1332.7,sembla_init_effect_owners
0.8,17080983,96,177926.9,176371.0,171362,269636,11587.6,sembla_transition_00000007
0.8,17021394,96,177306.2,176274.5,171491,242372,7116.8,sembla_transition_00000006
0.8,16910771,96,176153.9,172642.0,168642,301029,18405.9,sembla_transition_00000003
0.8,16910548,96,176151.5,176034.5,170626,181091,2208.4,sembla_transition_00000005
0.8,16837075,96,175386.2,170674.5,167426,323077,24271.5,sembla_transition_00000002
0.8,16601969,96,172937.2,172706.0,168515,178467,1858.5,sembla_transition_00000004
0.8,16293608,96,169725.1,168210.0,164610,290052,12640.1,sembla_transition_00000008
0.8,16248778,96,169258.1,168386.5,164323,228547,6658.8,sembla_transition_00000009
0.8,16234332,4032,4026.4,3264.0,1504,47073,2629.5,sembla_commit_validation_status
0.7,13471747,96,140330.7,138658.0,134914,201443,9295.3,sembla_transition_00000000
0.7,13258463,96,138109.0,138050.0,134818,142178,1608.3,sembla_transition_00000001
0.1,1232559,288,4279.7,3200.0,1536,32288,4318.1,sembla_init_grouped_histogram
0.0,959752,384,2499.4,1824.0,1120,14784,1705.0,sembla_validate_outputs
0.0,409318,96,4263.7,2976.5,1632,33248,4478.9,sembla_init_observations
0.0,401507,96,4182.4,3008.0,1504,17184,2940.7,sembla_init_grouped_extrema
0.0,338853,96,3529.7,2464.0,1504,21024,2593.5,sembla_reset_status
0.0,323496,96,3369.8,2240.0,1568,18689,2918.0,sembla_init_validation_scratch
0.0,310986,96,3239.4,2240.0,1536,16545,2477.7,sembla_prepare_outputs
0.0,262406,96,2733.4,1984.0,1440,19008,2516.9,sembla_init_control_counts
0.0,249511,96,2599.1,1824.0,1152,12705,1990.3,sembla_validate_claim_compatibility

