# params={"birth_rate":0.025,"mortality_young":0.001,"mortality_adult":0.003,"mortality_old":0.012,"overseas_arrival_rate":0.02,"emigration_rate":0.002,"internal_departure_rate":0.0025,"internal_arrival_rate":0.018}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7968721,0,3985056,3983665,463566,442666,438454,444611,29678,40044,9907,16157,5379,20042,44964,1170322,490093,294621,1,8000000,0,29678,9907,5379,1766,12080,26198,16157,20042,222
1,7937233,0,3969237,3967996,482765,440685,432545,444290,28560,39698,9822,15752,5336,19756,43718,1218005,480271,289285,1,7968721,121207,28560,9822,5336,1732,11915,26051,15752,19756,217
2,7907116,0,3954275,3952841,503316,438520,426854,444045,30130,39341,9471,15929,5173,19621,44774,1263081,470800,284112,2,7937233,118924,30130,9471,5173,1765,11799,25777,15929,19621,238
3,7878375,0,3939888,3938487,524952,436605,421598,443694,31119,39122,9445,15479,5125,19829,45689,1306743,461419,279033,2,7907116,119665,31119,9445,5125,1792,11740,25590,15479,19829,209
4,7851607,0,3926796,3924811,547896,434739,416312,443153,32531,38454,9163,15620,5009,19397,46703,1348381,452429,274112,2,7878375,120119,32531,9163,5009,1797,11763,24894,15620,19397,194
5,7824908,0,3913510,3911398,571221,432671,411112,442557,33138,38585,9014,15539,4936,19663,47088,1388350,443661,269294,2,7851607,120174,33138,9014,4936,1874,11660,25051,15539,19663,224
6,7799789,0,3900924,3898865,595822,430631,405848,441902,34372,38228,8811,15612,4777,19239,47960,1427259,435171,264702,2,7824908,120875,34372,8811,4777,1846,11804,24578,15612,19239,221
7,7775813,0,3888880,3886933,620712,428459,400842,441100,34828,37600,8641,15369,4756,19232,48225,1464903,426894,260189,3,7799789,121039,34828,8641,4756,1857,11593,24150,15369,19232,213
8,7752590,0,3877148,3875442,646766,426474,396033,440178,36057,37573,8355,15258,4680,19484,49092,1500297,419006,255792,3,7775813,120426,36057,8355,4680,1810,11614,24149,15258,19484,223
9,7730702,0,3866352,3864350,673675,424699,391194,439278,37018,37033,8158,15307,4561,19285,49737,1534785,411356,251532,3,7752590,121407,37018,8158,4561,1928,11368,23737,15307,19285,209
10,7710171,0,3856024,3854147,701339,422843,386586,438250,37978,36864,8186,15280,4485,19036,50649,1567521,403758,247370,3,7730702,121362,37978,8186,4485,1851,11506,23507,15280,19036,198
11,7690431,0,3846202,3844229,729413,420921,381724,437364,38463,36374,7851,15151,4488,19017,50802,1599149,396606,243272,3,7710171,121829,38463,7851,4488,1993,11379,23002,15151,19017,198
12,7672237,0,3837337,3834900,758474,418759,377158,436221,39488,35779,7797,15259,4419,18860,51704,1629089,389526,239250,3,7690431,121344,39488,7797,4419,1925,11106,22748,15259,18860,179
13,7654305,0,3828502,3825803,788276,416545,372748,435047,40267,35707,7714,15353,4150,19003,52131,1657472,382582,235578,3,7672237,121602,40267,7714,4150,1903,11266,22538,15353,19003,203
14,7637627,0,3820438,3817189,818361,414398,368409,433755,40906,35127,7486,15228,4247,18962,52639,1685261,375998,231797,3,7654305,122194,40906,7486,4247,1913,10989,22225,15228,18962,193
15,7621674,0,3812409,3809265,848901,412561,364329,432286,41303,34895,7382,15058,4222,18907,52907,1711800,369559,228107,3,7637627,121956,41303,7382,4222,1985,11049,21861,15058,18907,203
16,7606609,0,3804697,3801912,880098,410564,360299,430904,42089,34541,7216,14912,3997,18914,53302,1737027,363339,224658,3,7621674,121767,42089,7216,3997,2074,10939,21528,14912,18914,189
17,7592110,0,3797618,3794492,911782,408456,356362,429478,42757,34615,7289,15003,3906,18833,53952,1761095,357033,221311,3,7606609,121669,42757,7289,3906,2072,11073,21470,15003,18833,177
18,7578627,0,3790624,3788003,944022,406712,352453,428020,43545,34381,7107,14954,4006,18806,54658,1784367,350933,217932,3,7592110,122403,43545,7107,4006,2050,10988,21343,14954,18806,187
19,7565758,0,3784009,3781749,976889,404884,348584,426486,44362,34441,6940,14856,3957,18831,55259,1806390,345102,214622,3,7578627,122799,44362,6940,3957,2159,11007,21275,14856,18831,193
20,7553972,0,3778057,3775915,1010093,402748,344898,424795,44843,33641,6853,15089,3802,18554,55498,1827808,339455,211481,3,7565758,123387,44843,6853,3802,2091,10695,20855,15089,18554,202
21,7542534,0,3772635,3769899,1043250,400875,341153,422964,44746,33450,6823,15006,3746,18297,55315,1848474,333820,208419,3,7553972,122782,44746,6823,3746,2157,10873,20420,15006,18297,192
22,7532140,0,3767206,3764934,1077426,399016,337815,421323,45982,33192,6587,14939,3713,18545,56282,1867272,328496,205416,3,7542534,122068,45982,6587,3713,2205,10807,20180,14939,18545,197
23,7521741,0,3762284,3759457,1111125,397277,334576,419668,45761,32790,6603,14954,3675,18694,56039,1886121,323232,202468,3,7532140,122958,45761,6603,3675,2260,10673,19857,14954,18694,193
