tick,entry_stream,area,count
0,birth_slot,0,28976
0,birth_slot,1,29148
0,birth_slot,2,28978
0,birth_slot,3,29194
0,overseas_slot,0,12125
0,overseas_slot,1,12192
0,overseas_slot,2,12196
0,overseas_slot,3,12363
0,internal_slot,0,7251
0,internal_slot,1,7449
0,internal_slot,2,7400
0,internal_slot,3,7291
1,birth_slot,0,29834
1,birth_slot,1,29985
1,birth_slot,2,29886
1,birth_slot,3,30031
1,overseas_slot,0,11873
1,overseas_slot,1,11918
1,overseas_slot,2,11910
1,overseas_slot,3,12106
1,internal_slot,0,7091
1,internal_slot,1,7283
1,internal_slot,2,7273
1,internal_slot,3,7139
2,birth_slot,0,30746
2,birth_slot,1,30883
2,birth_slot,2,30663
2,birth_slot,3,30816
2,overseas_slot,0,11605
2,overseas_slot,1,11637
2,overseas_slot,2,11657
2,overseas_slot,3,11852
2,internal_slot,0,6947
2,internal_slot,1,7128
2,internal_slot,2,7141
2,internal_slot,3,7014
3,birth_slot,0,31548
3,birth_slot,1,31637
3,birth_slot,2,31433
3,birth_slot,3,31648
3,overseas_slot,0,11314
3,overseas_slot,1,11380
3,overseas_slot,2,11386
3,overseas_slot,3,11615
3,internal_slot,0,6824
3,internal_slot,1,6999
3,internal_slot,2,7022
3,internal_slot,3,6884
4,birth_slot,0,32240
4,birth_slot,1,32373
4,birth_slot,2,32230
4,birth_slot,3,32458
4,overseas_slot,0,11085
4,overseas_slot,1,11112
4,overseas_slot,2,11149
4,overseas_slot,3,11387
4,internal_slot,0,6697
4,internal_slot,1,6859
4,internal_slot,2,6853
4,internal_slot,3,6745
5,birth_slot,0,32998
5,birth_slot,1,33155
5,birth_slot,2,32986
5,birth_slot,3,33258
5,overseas_slot,0,10846
5,overseas_slot,1,10858
5,overseas_slot,2,10919
5,overseas_slot,3,11127
5,internal_slot,0,6554
5,internal_slot,1,6750
5,internal_slot,2,6707
5,internal_slot,3,6628
6,birth_slot,0,33718
6,birth_slot,1,33853
6,birth_slot,2,33740
6,birth_slot,3,33919
6,overseas_slot,0,10612
6,overseas_slot,1,10610
6,overseas_slot,2,10691
6,overseas_slot,3,10898
6,internal_slot,0,6415
6,internal_slot,1,6603
6,internal_slot,2,6585
6,internal_slot,3,6496
7,birth_slot,0,34371
7,birth_slot,1,34397
7,birth_slot,2,34441
7,birth_slot,3,34604
7,overseas_slot,0,10406
7,overseas_slot,1,10418
7,overseas_slot,2,10471
7,overseas_slot,3,10662
7,internal_slot,0,6318
7,internal_slot,1,6471
7,internal_slot,2,6468
7,internal_slot,3,6367
8,birth_slot,0,35023
8,birth_slot,1,35050
8,birth_slot,2,35111
8,birth_slot,3,35247
8,overseas_slot,0,10163
8,overseas_slot,1,10168
8,overseas_slot,2,10258
8,overseas_slot,3,10433
8,internal_slot,0,6217
8,internal_slot,1,6354
8,internal_slot,2,6340
8,internal_slot,3,6248
9,birth_slot,0,35623
9,birth_slot,1,35636
9,birth_slot,2,35686
9,birth_slot,3,35871
9,overseas_slot,0,9949
9,overseas_slot,1,9972
9,overseas_slot,2,10045
9,overseas_slot,3,10194
9,internal_slot,0,6095
9,internal_slot,1,6203
9,internal_slot,2,6216
9,internal_slot,3,6130
10,birth_slot,0,36236
10,birth_slot,1,36265
10,birth_slot,2,36243
10,birth_slot,3,36420
10,overseas_slot,0,9738
10,overseas_slot,1,9741
10,overseas_slot,2,9847
10,overseas_slot,3,10002
10,internal_slot,0,5968
10,internal_slot,1,6080
10,internal_slot,2,6075
10,internal_slot,3,6016
11,birth_slot,0,36780
11,birth_slot,1,36865
11,birth_slot,2,36736
11,birth_slot,3,36854
11,overseas_slot,0,9517
11,overseas_slot,1,9511
11,overseas_slot,2,9658
11,overseas_slot,3,9784
11,internal_slot,0,5861
11,internal_slot,1,5968
11,internal_slot,2,5975
11,internal_slot,3,5912
12,birth_slot,0,37317
12,birth_slot,1,37379
12,birth_slot,2,37237
12,birth_slot,3,37256
12,overseas_slot,0,9321
12,overseas_slot,1,9332
12,overseas_slot,2,9493
12,overseas_slot,3,9579
12,internal_slot,0,5744
12,internal_slot,1,5844
12,internal_slot,2,5863
12,internal_slot,3,5791
13,birth_slot,0,37843
13,birth_slot,1,37819
13,birth_slot,2,37719
13,birth_slot,3,37755
13,overseas_slot,0,9108
13,overseas_slot,1,9146
13,overseas_slot,2,9297
13,overseas_slot,3,9408
13,internal_slot,0,5631
13,internal_slot,1,5733
13,internal_slot,2,5753
13,internal_slot,3,5695
14,birth_slot,0,38329
14,birth_slot,1,38306
14,birth_slot,2,38235
14,birth_slot,3,38211
14,overseas_slot,0,8946
14,overseas_slot,1,8960
14,overseas_slot,2,9105
14,overseas_slot,3,9209
14,internal_slot,0,5527
14,internal_slot,1,5615
14,internal_slot,2,5656
14,internal_slot,3,5579
15,birth_slot,0,38750
15,birth_slot,1,38742
15,birth_slot,2,38712
15,birth_slot,3,38553
15,overseas_slot,0,8788
15,overseas_slot,1,8780
15,overseas_slot,2,8925
15,overseas_slot,3,9019
15,internal_slot,0,5426
15,internal_slot,1,5500
15,internal_slot,2,5559
15,internal_slot,3,5488
16,birth_slot,0,39119
16,birth_slot,1,39268
16,birth_slot,2,39150
16,birth_slot,3,38971
16,overseas_slot,0,8632
16,overseas_slot,1,8617
16,overseas_slot,2,8737
16,overseas_slot,3,8842
16,internal_slot,0,5339
16,internal_slot,1,5418
16,internal_slot,2,5480
16,internal_slot,3,5375
17,birth_slot,0,39528
17,birth_slot,1,39680
17,birth_slot,2,39490
17,birth_slot,3,39271
17,overseas_slot,0,8471
17,overseas_slot,1,8465
17,overseas_slot,2,8543
17,overseas_slot,3,8645
17,internal_slot,0,5238
17,internal_slot,1,5315
17,internal_slot,2,5387
17,internal_slot,3,5269
18,birth_slot,0,39919
18,birth_slot,1,39961
18,birth_slot,2,39912
18,birth_slot,3,39714
18,overseas_slot,0,8302
18,overseas_slot,1,8320
18,overseas_slot,2,8383
18,overseas_slot,3,8481
18,internal_slot,0,5164
18,internal_slot,1,5218
18,internal_slot,2,5287
18,internal_slot,3,5169
19,birth_slot,0,40236
19,birth_slot,1,40333
19,birth_slot,2,40267
19,birth_slot,3,40107
19,overseas_slot,0,8148
19,overseas_slot,1,8147
19,overseas_slot,2,8226
19,overseas_slot,3,8347
19,internal_slot,0,5064
19,internal_slot,1,5125
19,internal_slot,2,5176
19,internal_slot,3,5091
20,birth_slot,0,40532
20,birth_slot,1,40662
20,birth_slot,2,40592
20,birth_slot,3,40468
20,overseas_slot,0,7969
20,overseas_slot,1,7976
20,overseas_slot,2,8102
20,overseas_slot,3,8203
20,internal_slot,0,4970
20,internal_slot,1,5051
20,internal_slot,2,5069
20,internal_slot,3,5005
21,birth_slot,0,40814
21,birth_slot,1,40984
21,birth_slot,2,40948
21,birth_slot,3,40759
21,overseas_slot,0,7828
21,overseas_slot,1,7823
21,overseas_slot,2,7966
21,overseas_slot,3,8049
21,internal_slot,0,4878
21,internal_slot,1,4980
21,internal_slot,2,4967
21,internal_slot,3,4908
22,birth_slot,0,41193
22,birth_slot,1,41229
22,birth_slot,2,41193
22,birth_slot,3,41056
22,overseas_slot,0,7669
22,overseas_slot,1,7689
22,overseas_slot,2,7822
22,overseas_slot,3,7904
22,internal_slot,0,4792
22,internal_slot,1,4913
22,internal_slot,2,4890
22,internal_slot,3,4821
23,birth_slot,0,41519
23,birth_slot,1,41510
23,birth_slot,2,41493
23,birth_slot,3,41409
23,overseas_slot,0,7539
23,overseas_slot,1,7554
23,overseas_slot,2,7678
23,overseas_slot,3,7734
23,internal_slot,0,4697
23,internal_slot,1,4832
23,internal_slot,2,4808
23,internal_slot,3,4748
