tick,sex,area,age_months,count
0,male,0,0,5914
0,male,0,1,5529
0,male,0,2,5472
0,male,0,3,5559
0,male,0,4,5517
0,male,0,5,5472
0,male,0,6,5629
0,male,0,7,5602
0,male,0,8,5622
0,male,0,9,5550
0,male,0,10,5643
0,male,0,11,5571
0,male,0,12,5493
0,male,0,13,5446
0,male,0,14,5355
0,male,0,15,5385
0,male,0,16,5505
0,male,0,17,5461
0,male,0,18,83
0,male,1,0,5758
0,male,1,1,5629
0,male,1,2,5534
0,male,1,3,5480
0,male,1,4,5466
0,male,1,5,5679
0,male,1,6,5688
0,male,1,7,5580
0,male,1,8,5648
0,male,1,9,5497
0,male,1,10,5484
0,male,1,11,5668
0,male,1,12,5521
0,male,1,13,5386
0,male,1,14,5424
0,male,1,15,5508
0,male,1,16,5494
0,male,1,17,5504
0,male,1,18,111
0,male,2,0,5809
0,male,2,1,5507
0,male,2,2,5562
0,male,2,3,5557
0,male,2,4,5590
0,male,2,5,5569
0,male,2,6,5519
0,male,2,7,5378
0,male,2,8,5571
0,male,2,9,5598
0,male,2,10,5518
0,male,2,11,5601
0,male,2,12,5372
0,male,2,13,5520
0,male,2,14,5433
0,male,2,15,5381
0,male,2,16,5389
0,male,2,17,5463
0,male,2,18,95
0,male,3,0,5750
0,male,3,1,5527
0,male,3,2,5430
0,male,3,3,5627
0,male,3,4,5524
0,male,3,5,5618
0,male,3,6,5626
0,male,3,7,5531
0,male,3,8,5537
0,male,3,9,5620
0,male,3,10,5644
0,male,3,11,5657
0,male,3,12,5603
0,male,3,13,5451
0,male,3,14,5542
0,male,3,15,5438
0,male,3,16,5489
0,male,3,17,5331
0,male,3,18,88
0,female,0,0,5788
0,female,0,1,5681
0,female,0,2,5443
0,female,0,3,5473
0,female,0,4,5498
0,female,0,5,5509
0,female,0,6,5479
0,female,0,7,5606
0,female,0,8,5491
0,female,0,9,5506
0,female,0,10,5406
0,female,0,11,5481
0,female,0,12,5432
0,female,0,13,5469
0,female,0,14,5610
0,female,0,15,5454
0,female,0,16,5448
0,female,0,17,5460
0,female,0,18,96
0,female,1,0,5984
0,female,1,1,5469
0,female,1,2,5509
0,female,1,3,5536
0,female,1,4,5492
0,female,1,5,5484
0,female,1,6,5585
0,female,1,7,5426
0,female,1,8,5363
0,female,1,9,5419
0,female,1,10,5571
0,female,1,11,5588
0,female,1,12,5468
0,female,1,13,5639
0,female,1,14,5513
0,female,1,15,5433
0,female,1,16,5526
0,female,1,17,5476
0,female,1,18,79
0,female,2,0,5896
0,female,2,1,5531
0,female,2,2,5551
0,female,2,3,5561
0,female,2,4,5695
0,female,2,5,5618
0,female,2,6,5542
0,female,2,7,5554
0,female,2,8,5505
0,female,2,9,5609
0,female,2,10,5600
0,female,2,11,5577
0,female,2,12,5428
0,female,2,13,5495
