tick,sex,area,age_months,count
0,male,0,0,57425
0,male,0,1,55629
0,male,0,2,55383
0,male,0,3,55207
0,male,0,4,55382
0,male,0,5,55429
0,male,0,6,55630
0,male,0,7,55525
0,male,0,8,55434
0,male,0,9,55377
0,male,0,10,55793
0,male,0,11,55347
0,male,0,12,55182
0,male,0,13,55082
0,male,0,14,54896
0,male,0,15,54713
0,male,0,16,54981
0,male,0,17,54870
0,male,0,18,881
0,male,1,0,57976
0,male,1,1,55436
0,male,1,2,55344
0,male,1,3,55323
0,male,1,4,55609
0,male,1,5,55721
0,male,1,6,55936
0,male,1,7,55520
0,male,1,8,55505
0,male,1,9,55306
0,male,1,10,55231
0,male,1,11,55617
0,male,1,12,55331
0,male,1,13,54650
0,male,1,14,54447
0,male,1,15,54812
0,male,1,16,54506
0,male,1,17,54720
0,male,1,18,942
0,male,2,0,57283
0,male,2,1,55446
0,male,2,2,55018
0,male,2,3,55318
0,male,2,4,55321
0,male,2,5,55000
0,male,2,6,55738
0,male,2,7,55411
0,male,2,8,55843
0,male,2,9,55322
0,male,2,10,55306
0,male,2,11,55376
0,male,2,12,54731
0,male,2,13,55183
0,male,2,14,54497
0,male,2,15,54745
0,male,2,16,54264
0,male,2,17,54729
0,male,2,18,951
0,male,3,0,57414
0,male,3,1,55478
0,male,3,2,55176
0,male,3,3,55614
0,male,3,4,55549
0,male,3,5,55479
0,male,3,6,55516
0,male,3,7,55611
0,male,3,8,55161
0,male,3,9,55803
0,male,3,10,55564
0,male,3,11,55314
0,male,3,12,55482
0,male,3,13,55049
0,male,3,14,54673
0,male,3,15,54583
0,male,3,16,54684
0,male,3,17,54863
0,male,3,18,949
0,female,0,0,57330
0,female,0,1,55458
0,female,0,2,54952
0,female,0,3,55390
0,female,0,4,55272
0,female,0,5,55391
0,female,0,6,55198
0,female,0,7,55590
0,female,0,8,55199
0,female,0,9,55600
0,female,0,10,55399
0,female,0,11,55110
0,female,0,12,54629
0,female,0,13,54887
0,female,0,14,54893
0,female,0,15,54464
0,female,0,16,54660
0,female,0,17,54641
0,female,0,18,914
0,female,1,0,57399
0,female,1,1,55258
0,female,1,2,55502
0,female,1,3,55389
0,female,1,4,54944
0,female,1,5,55454
0,female,1,6,55477
0,female,1,7,55233
0,female,1,8,55180
0,female,1,9,55411
0,female,1,10,55274
0,female,1,11,55812
0,female,1,12,55118
0,female,1,13,55388
0,female,1,14,54958
0,female,1,15,54850
0,female,1,16,54848
0,female,1,17,54846
0,female,1,18,879
0,female,2,0,58116
0,female,2,1,55320
0,female,2,2,55053
0,female,2,3,55361
0,female,2,4,55571
