tick,entry_stream,area,count
0,birth_slot,0,293355
0,birth_slot,1,294604
0,birth_slot,2,293812
0,birth_slot,3,295200
0,overseas_slot,0,122829
0,overseas_slot,1,122755
0,overseas_slot,2,121853
0,overseas_slot,3,123143
0,internal_slot,0,73954
0,internal_slot,1,74157
0,internal_slot,2,73596
0,internal_slot,3,73644
1,birth_slot,0,305152
1,birth_slot,1,306440
1,birth_slot,2,305766
1,birth_slot,3,306844
1,overseas_slot,0,120599
1,overseas_slot,1,120427
1,overseas_slot,2,119544
1,overseas_slot,3,120890
1,internal_slot,0,72758
1,internal_slot,1,72960
1,internal_slot,2,72394
1,internal_slot,3,72448
2,birth_slot,0,316550
2,birth_slot,1,318121
2,birth_slot,2,317215
2,birth_slot,3,318394
2,overseas_slot,0,118271
2,overseas_slot,1,118077
2,overseas_slot,2,117210
2,overseas_slot,3,118528
2,internal_slot,0,71615
2,internal_slot,1,71785
2,internal_slot,2,71234
2,internal_slot,3,71206
3,birth_slot,0,327605
3,birth_slot,1,329148
3,birth_slot,2,328128
3,birth_slot,3,329418
3,overseas_slot,0,115968
3,overseas_slot,1,115959
3,overseas_slot,2,114990
3,overseas_slot,3,116379
3,internal_slot,0,70476
3,internal_slot,1,70617
3,internal_slot,2,70104
3,internal_slot,3,70069
4,birth_slot,0,338066
4,birth_slot,1,339872
4,birth_slot,2,338625
4,birth_slot,3,339851
4,overseas_slot,0,113794
4,overseas_slot,1,113747
4,overseas_slot,2,112815
4,overseas_slot,3,114210
4,internal_slot,0,69418
4,internal_slot,1,69506
4,internal_slot,2,68936
4,internal_slot,3,68923
5,birth_slot,0,348505
5,birth_slot,1,350031
5,birth_slot,2,349145
5,birth_slot,3,350235
5,overseas_slot,0,111746
5,overseas_slot,1,111724
5,overseas_slot,2,110792
5,overseas_slot,3,112049
5,internal_slot,0,68286
5,internal_slot,1,68381
5,internal_slot,2,67874
5,internal_slot,3,67883
6,birth_slot,0,358326
6,birth_slot,1,359912
6,birth_slot,2,359029
6,birth_slot,3,359920
6,overseas_slot,0,109683
6,overseas_slot,1,109636
6,overseas_slot,2,108749
6,overseas_slot,3,110065
6,internal_slot,0,67195
6,internal_slot,1,67364
6,internal_slot,2,66785
6,internal_slot,3,66811
7,birth_slot,0,368301
7,birth_slot,1,369327
7,birth_slot,2,368986
7,birth_slot,3,369705
7,overseas_slot,0,107638
7,overseas_slot,1,107704
7,overseas_slot,2,106790
7,overseas_slot,3,108150
7,internal_slot,0,66166
7,internal_slot,1,66300
7,internal_slot,2,65764
7,internal_slot,3,65739
8,birth_slot,0,378017
8,birth_slot,1,378863
8,birth_slot,2,378631
8,birth_slot,3,379323
8,overseas_slot,0,105646
8,overseas_slot,1,105743
8,overseas_slot,2,104835
8,overseas_slot,3,106243
8,internal_slot,0,65158
8,internal_slot,1,65307
8,internal_slot,2,64748
8,internal_slot,3,64729
9,birth_slot,0,387185
9,birth_slot,1,388015
9,birth_slot,2,387313
9,birth_slot,3,388531
9,overseas_slot,0,103703
9,overseas_slot,1,103965
9,overseas_slot,2,102974
9,overseas_slot,3,104421
9,internal_slot,0,64149
9,internal_slot,1,64231
9,internal_slot,2,63774
9,internal_slot,3,63698
10,birth_slot,0,396039
10,birth_slot,1,396894
10,birth_slot,2,396172
10,birth_slot,3,397197
10,overseas_slot,0,101873
10,overseas_slot,1,102145
10,overseas_slot,2,101131
10,overseas_slot,3,102700
10,internal_slot,0,63217
10,internal_slot,1,63231
10,internal_slot,2,62837
10,internal_slot,3,62739
11,birth_slot,0,404780
11,birth_slot,1,405552
11,birth_slot,2,404717
11,birth_slot,3,405947
11,overseas_slot,0,100208
11,overseas_slot,1,100397
11,overseas_slot,2,99358
11,overseas_slot,3,101024
11,internal_slot,0,62260
11,internal_slot,1,62280
11,internal_slot,2,61920
11,internal_slot,3,61702
12,birth_slot,0,412991
12,birth_slot,1,413882
12,birth_slot,2,412883
12,birth_slot,3,414294
12,overseas_slot,0,98528
12,overseas_slot,1,98740
12,overseas_slot,2,97707
12,overseas_slot,3,99220
12,internal_slot,0,61347
12,internal_slot,1,61300
12,internal_slot,2,61047
12,internal_slot,3,60802
13,birth_slot,0,421106
13,birth_slot,1,421615
13,birth_slot,2,420886
13,birth_slot,3,422344
13,overseas_slot,0,96909
13,overseas_slot,1,97063
13,overseas_slot,2,96220
13,overseas_slot,3,97540
13,internal_slot,0,60443
13,internal_slot,1,60393
13,internal_slot,2,60144
13,internal_slot,3,59914
14,birth_slot,0,428706
14,birth_slot,1,429310
14,birth_slot,2,428836
14,birth_slot,3,430045
14,overseas_slot,0,95271
14,overseas_slot,1,95401
14,overseas_slot,2,94685
14,overseas_slot,3,95882
14,internal_slot,0,59525
14,internal_slot,1,59429
