tick,sex,area,age_months,count
0,male,0,0,28780
0,male,0,1,27855
0,male,0,2,27448
0,male,0,3,27582
0,male,0,4,27765
0,male,0,5,27693
0,male,0,6,27645
0,male,0,7,27860
0,male,0,8,27834
0,male,0,9,27729
0,male,0,10,27739
0,male,0,11,27532
0,male,0,12,27496
0,male,0,13,27367
0,male,0,14,27241
0,male,0,15,27222
0,male,0,16,27349
0,male,0,17,27349
0,male,0,18,438
0,male,1,0,28858
0,male,1,1,27593
0,male,1,2,27690
0,male,1,3,27619
0,male,1,4,27881
0,male,1,5,27836
0,male,1,6,28062
0,male,1,7,27756
0,male,1,8,27853
0,male,1,9,27840
0,male,1,10,27504
0,male,1,11,27624
0,male,1,12,27797
0,male,1,13,27195
0,male,1,14,27064
0,male,1,15,27392
0,male,1,16,27168
0,male,1,17,27277
0,male,1,18,502
0,male,2,0,28905
0,male,2,1,27649
0,male,2,2,27551
0,male,2,3,27486
0,male,2,4,27658
0,male,2,5,27458
0,male,2,6,27752
0,male,2,7,27832
0,male,2,8,27828
0,male,2,9,27638
0,male,2,10,27608
0,male,2,11,27822
0,male,2,12,27386
0,male,2,13,27584
0,male,2,14,27284
0,male,2,15,27424
0,male,2,16,27022
0,male,2,17,27119
0,male,2,18,457
0,male,3,0,29037
0,male,3,1,27764
0,male,3,2,27563
0,male,3,3,27795
0,male,3,4,27681
0,male,3,5,27837
0,male,3,6,27439
0,male,3,7,27622
0,male,3,8,27483
0,male,3,9,27858
0,male,3,10,27867
0,male,3,11,27748
0,male,3,12,27696
0,male,3,13,27356
0,male,3,14,27316
0,male,3,15,27193
0,male,3,16,27498
0,male,3,17,27280
0,male,3,18,476
0,female,0,0,28756
0,female,0,1,27858
0,female,0,2,27179
0,female,0,3,27589
0,female,0,4,27737
0,female,0,5,27855
0,female,0,6,27729
0,female,0,7,27633
0,female,0,8,27413
0,female,0,9,27766
0,female,0,10,27374
0,female,0,11,27546
0,female,0,12,27094
0,female,0,13,27291
0,female,0,14,27426
0,female,0,15,27295
0,female,0,16,27180
0,female,0,17,27280
0,female,0,18,476
0,female,1,0,28972
0,female,1,1,27661
0,female,1,2,27768
0,female,1,3,27568
0,female,1,4,27355
0,female,1,5,27655
0,female,1,6,27919
0,female,1,7,27700
0,female,1,8,27168
0,female,1,9,27699
0,female,1,10,27720
0,female,1,11,27757
0,female,1,12,27499
0,female,1,13,27605
0,female,1,14,27495
0,female,1,15,27450
0,female,1,16,27333
0,female,1,17,27328
0,female,1,18,403
0,female,2,0,29261
0,female,2,1,27603
0,female,2,2,27665
0,female,2,3,27616
0,female,2,4,27919
0,female,2,5,27728
0,female,2,6,27727
0,female,2,7,27750
0,female,2,8,27623
0,female,2,9,27598
0,female,2,10,27862
0,female,2,11,27570
0,female,2,12,27427
0,female,2,13,27193
0,female,2,14,27545
0,female,2,15,27683
0,female,2,16,27256
0,female,2,17,27417
0,female,2,18,470
0,female,3,0,29078
0,female,3,1,27668
0,female,3,2,28028
0,female,3,3,27427
0,female,3,4,27669
0,female,3,5,27732
0,female,3,6,27870
0,female,3,7,27733
0,female,3,8,27541
0,female,3,9,27752
0,female,3,10,27480
0,female,3,11,27673
0,female,3,12,27397
0,female,3,13,27290
0,female,3,14,27282
0,female,3,15,27111
0,female,3,16,27474
0,female,3,17,27579
0,female,3,18,467
1,male,0,0,29976
1,male,0,1,27739
1,male,0,2,27348
1,male,0,3,27432
1,male,0,4,27673
1,male,0,5,27542
1,male,0,6,27523
1,male,0,7,27769
1,male,0,8,27684
1,male,0,9,27598
1,male,0,10,27600
1,male,0,11,27456
1,male,0,12,27386
1,male,0,13,26891
1,male,0,14,26817
1,male,0,15,26840
1,male,0,16,26883
1,male,0,17,26839
1,male,0,18,910
1,male,1,0,30088
1,male,1,1,27450
1,male,1,2,27575
1,male,1,3,27550
1,male,1,4,27736
1,male,1,5,27682
1,male,1,6,27953
1,male,1,7,27594
1,male,1,8,27726
1,male,1,9,27734
1,male,1,10,27401
1,male,1,11,27509
1,male,1,12,27622
1,male,1,13,26898
1,male,1,14,26603
1,male,1,15,26946
1,male,1,16,26739
1,male,1,17,26847
1,male,1,18,917
1,male,2,0,30166
1,male,2,1,27588
1,male,2,2,27398
1,male,2,3,27345
1,male,2,4,27461
1,male,2,5,27409
1,male,2,6,27620
1,male,2,7,27737
1,male,2,8,27672
1,male,2,9,27532
1,male,2,10,27487
1,male,2,11,27633
1,male,2,12,27279
1,male,2,13,27227
1,male,2,14,26845
1,male,2,15,26998
1,male,2,16,26539
1,male,2,17,26669
1,male,2,18,874
1,male,3,0,30217
1,male,3,1,27642
1,male,3,2,27462
1,male,3,3,27653
1,male,3,4,27553
1,male,3,5,27735
1,male,3,6,27278
1,male,3,7,27448
1,male,3,8,27374
1,male,3,9,27716
1,male,3,10,27698
1,male,3,11,27621
1,male,3,12,27614
1,male,3,13,26928
1,male,3,14,26933
1,male,3,15,26790
1,male,3,16,27045
1,male,3,17,26804
1,male,3,18,929
1,female,0,0,29931
1,female,0,1,27770
1,female,0,2,26984
1,female,0,3,27525
1,female,0,4,27633
1,female,0,5,27705
1,female,0,6,27636
1,female,0,7,27511
1,female,0,8,27312
1,female,0,9,27610
1,female,0,10,27267
1,female,0,11,27467
1,female,0,12,26936
1,female,0,13,26881
1,female,0,14,26972
1,female,0,15,26943
1,female,0,16,26723
1,female,0,17,26842
1,female,0,18,894
1,female,1,0,30182
1,female,1,1,27540
1,female,1,2,27633
1,female,1,3,27489
1,female,1,4,27229
1,female,1,5,27537
1,female,1,6,27696
1,female,1,7,27618
1,female,1,8,26980
1,female,1,9,27609
1,female,1,10,27594
1,female,1,11,27624
1,female,1,12,27358
1,female,1,13,27268
1,female,1,14,27087
1,female,1,15,26990
1,female,1,16,26875
1,female,1,17,26924
1,female,1,18,810
1,female,2,0,30483
1,female,2,1,27504
1,female,2,2,27550
1,female,2,3,27469
1,female,2,4,27772
1,female,2,5,27565
1,female,2,6,27660
1,female,2,7,27660
1,female,2,8,27487
1,female,2,9,27375
1,female,2,10,27746
1,female,2,11,27423
1,female,2,12,27302
1,female,2,13,26849
1,female,2,14,27112
1,female,2,15,27199
1,female,2,16,26844
1,female,2,17,26943
1,female,2,18,931
1,female,3,0,30311
1,female,3,1,27548
1,female,3,2,27840
1,female,3,3,27384
1,female,3,4,27468
1,female,3,5,27654
1,female,3,6,27632
1,female,3,7,27690
1,female,3,8,27401
1,female,3,9,27613
1,female,3,10,27392
1,female,3,11,27572
1,female,3,12,27310
1,female,3,13,26913
1,female,3,14,26910
1,female,3,15,26639
1,female,3,16,26995
1,female,3,17,27125
1,female,3,18,922
