# params={"birth_rate":0.030458422138147638,"mortality_young":0.0009944965893110098,"mortality_adult":0.0027796998054002947,"mortality_old":0.013689229258825085,"overseas_arrival_rate":0.013611942516486333,"emigration_rate":0.002142165758014988,"internal_departure_rate":0.0019430556156887896,"internal_arrival_rate":0.0225318739789461}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7974215,0,3987847,3986368,470628,442758,437661,444015,36459,43297,6730,17011,6736,15402,49925,1163541,493270,293264,1,8000000,0,36459,6730,6736,1842,10949,30506,17011,15402,191
1,7947528,0,3974171,3973357,496523,440853,430997,443210,35001,42446,6792,16989,6438,15483,48231,1204250,486478,286826,1,7974215,125635,35001,6792,6438,1743,10942,29761,16989,15483,179
2,7922391,0,3961463,3960928,523372,438944,424746,442436,36203,41916,6566,16778,6400,15612,49169,1242965,479912,280426,2,7947528,123149,36203,6566,6400,1809,10887,29220,16778,15612,197
3,7897677,0,3948856,3948821,550993,437069,418680,441441,36916,41958,6491,17072,6074,15165,49481,1280216,473483,274429,2,7922391,123475,36916,6491,6074,1812,10908,29238,17072,15165,202
4,7875462,0,3937511,3937951,579731,435348,412781,440284,38295,41169,6476,16670,6125,15272,50896,1315875,467133,268419,2,7897677,123676,38295,6476,6125,1841,10857,28471,16670,15272,182
5,7854696,0,3927169,3927527,609830,433346,406864,439375,39585,40806,6293,16750,6003,15091,51881,1349064,460999,262594,2,7875462,124007,39585,6293,6003,1769,10907,28130,16750,15091,231
6,7834956,0,3917339,3917617,640454,431242,400983,438263,40409,40224,6130,16728,5862,15189,52401,1380879,455071,256953,2,7854696,124528,40409,6130,5862,1788,10722,27714,16728,15189,200
7,7816216,0,3908125,3908091,671544,429160,395262,436847,40930,39918,6139,16636,5720,14975,52789,1411548,449199,251508,3,7834956,124542,40930,6139,5720,1924,10633,27361,16636,14975,220
8,7798970,0,3899472,3899498,703885,427244,389946,435430,42301,39439,6074,16846,5565,14901,53940,1440168,443433,246243,3,7816216,124318,42301,6074,5565,1875,10561,27003,16846,14901,176
9,7782824,0,3891318,3891506,736680,425467,384552,433931,43007,39065,6051,16473,5420,15086,54478,1467642,437718,241192,3,7798970,125126,43007,6051,5420,1878,10661,26526,16473,15086,190
10,7767557,0,3883947,3883610,770550,423626,379477,432260,44118,39121,6112,16519,5235,15092,55465,1493348,432009,236354,3,7782824,125102,44118,6112,5235,2011,10771,26339,16519,15092,176
11,7753406,0,3876875,3876531,804662,421950,374527,430602,44567,38557,5863,16387,5378,15015,55808,1518622,426562,231451,3,7767557,126197,44567,5863,5378,1995,10511,26051,16387,15015,194
12,7740330,0,3870245,3870085,839583,419859,369616,428917,45392,38116,5736,16395,5158,14851,56286,1542208,421311,226789,3,7753406,125767,45392,5736,5158,2001,10440,25675,16395,14851,203
13,7727559,0,3863627,3863932,874863,417822,364978,427293,45831,37921,5687,16632,5210,14946,56728,1564653,416164,222125,3,7740330,125648,45831,5687,5210,2056,10480,25385,16632,14946,191
14,7716836,0,3858525,3858311,910874,415777,360447,425341,47005,37211,5592,16101,5057,15065,57654,1585999,411123,217665,3,7727559,126227,47005,5592,5057,2112,10082,25017,16101,15065,202
15,7706919,0,3853370,3853549,947812,414113,356180,423246,47756,37002,5509,16232,4724,14672,57989,1605440,406206,213529,3,7716836,126031,47756,5509,4724,2137,10371,24494,16232,14672,176
16,7697561,0,3848818,3848743,984912,412323,351934,421272,48239,36743,5554,16266,4743,14885,58536,1623791,401311,209443,3,7706919,125895,48239,5554,4743,2119,10322,24302,16266,14885,167
17,7688571,0,3844397,3844174,1022131,410307,347637,419370,48501,36583,5411,16175,4630,14774,58542,1641728,396633,205536,3,7697561,126430,48501,5411,4630,2224,10346,24013,16175,14774,178
18,7680183,0,3840091,3840092,1059663,408583,343630,417323,49102,36264,5363,16405,4580,14764,59045,1658712,392001,201671,3,7688571,126074,49102,5363,4580,2187,10303,23774,16405,14764,166
19,7673312,0,3836570,3836742,1097524,406964,339807,415205,49457,35504,5274,15916,4445,14627,59176,1675149,387530,197962,3,7680183,126478,49457,5274,4445,2205,10008,23291,15916,14627,173
20,7666343,0,3833000,3833343,1135793,404855,335891,412951,50128,35482,5299,16425,4341,14830,59768,1689536,382979,194405,4,7673312,125223,50128,5299,4341,2316,10005,23161,16425,14830,178
21,7660835,0,3830467,3830368,1174784,403168,332065,410556,50840,35379,5126,16051,4457,14501,60423,1703741,378663,190830,4,7666343,126505,50840,5126,4457,2336,10121,22922,16051,14501,182
22,7655349,0,3827719,3827630,1213333,401553,328489,408292,50611,34578,5259,16471,4234,14541,60104,1717389,374238,187434,4,7660835,126354,50611,5259,4234,2292,9905,22381,16471,14541,178
23,7650671,0,3825244,3825427,1252457,399858,324842,406075,51505,34544,5121,16157,4164,14767,60790,1729704,370019,184138,4,7655349,125694,51505,5121,4164,2388,9955,22201,16157,14767,174
