    Finished `release` profile [optimized] target(s) in 0.01s
     Running unittests src/lib.rs (target/release/deps/sembla_cuda-6b75d9e03b236814)

running 1 test
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=0 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=24 occupied_groups=0 emitted_groups=0
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=408 occupied_groups=136 emitted_groups=136
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=408 occupied_groups=136 emitted_groups=136
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=408 occupied_groups=131 emitted_groups=131
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=408 occupied_groups=136 emitted_groups=136
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=408 occupied_groups=136 emitted_groups=136
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=408 occupied_groups=131 emitted_groups=131
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=408 occupied_groups=136 emitted_groups=136
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=408 occupied_groups=136 emitted_groups=136
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=408 occupied_groups=131 emitted_groups=131
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=4152 occupied_groups=551 emitted_groups=551
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=4152 occupied_groups=432 emitted_groups=432
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=4152 occupied_groups=359 emitted_groups=359
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=4152 occupied_groups=551 emitted_groups=551
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=4152 occupied_groups=432 emitted_groups=432
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=4152 occupied_groups=359 emitted_groups=359
cuda_device_grouped_observation tick=0 box="world" view="population_cells" key_space_size=4152 occupied_groups=551 emitted_groups=551
cuda_device_grouped_observation tick=1 box="world" view="population_cells" key_space_size=4152 occupied_groups=432 emitted_groups=432
cuda_device_grouped_observation tick=2 box="world" view="population_cells" key_space_size=4152 occupied_groups=359 emitted_groups=359
test backend::optimization_hardware_tests::optimized_reductions_match_cpu_for_group_sizes_and_fused_resets ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 44 filtered out; finished in 2.50s

