# params={"birth_rate":0.03380252334445752,"mortality_young":0.0008826505064695368,"mortality_adult":0.0026866261584621645,"mortality_old":0.008487053362728009,"overseas_arrival_rate":0.017698664208947595,"emigration_rate":0.001959683614668999,"internal_departure_rate":0.002550198914924459,"internal_arrival_rate":0.016091270859710058}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,798823,0,399947,398876,47271,44309,44013,44692,4020,3048,895,1557,472,1959,5387,115980,49105,29528,1,800000,0,4020,895,472,166,1042,1840,1557,1959,18
1,797423,0,399161,398262,50182,44138,43500,44893,3849,3068,844,1534,497,1988,5190,118695,48261,29031,1,798823,11951,3849,844,497,160,1022,1886,1534,1988,21
2,796018,0,398530,397488,53194,43941,43079,44965,3951,3118,848,1519,461,2028,5260,121334,47413,28570,2,797423,11780,3951,848,461,171,1055,1892,1519,2028,14
3,794766,0,397917,396849,56334,43811,42637,45117,4045,3093,818,1568,447,1901,5310,123940,46606,28126,2,796018,11925,4045,818,447,159,1086,1848,1568,1901,18
4,793588,0,397287,396301,59520,43556,42276,45223,4139,2993,835,1547,456,2068,5430,126350,45779,27675,2,794766,11872,4139,835,456,179,1023,1791,1547,2068,23
5,792364,0,396720,395644,62615,43313,41916,45349,4124,2976,804,1611,425,1990,5353,128800,44995,27264,2,793588,12038,4124,804,425,172,1051,1753,1611,1990,14
6,791222,0,396148,395074,65890,43163,41493,45456,4295,2968,748,1605,463,2075,5506,131038,44275,26817,3,792364,11930,4295,748,463,163,1084,1721,1605,2075,28
7,790312,0,395657,394655,69275,42912,41095,45504,4385,2947,762,1585,446,1971,5593,133237,43554,26394,3,791222,12154,4385,762,446,158,1032,1757,1585,1971,19
8,789411,0,395195,394216,72538,42757,40673,45537,4331,2963,782,1487,407,1971,5520,135348,42812,26008,3,790312,12096,4331,782,407,171,1052,1740,1487,1971,19
9,788641,0,394726,393915,75974,42621,40261,45645,4548,2899,715,1517,411,2028,5674,137158,42140,25617,3,789411,11941,4548,715,411,190,1027,1682,1517,2028,19
10,787827,0,394344,393483,79392,42424,39864,45744,4500,2916,739,1525,394,2006,5633,139026,41447,25253,3,788641,12118,4500,739,394,191,1031,1694,1525,2006,17
11,787278,0,393984,393294,82900,42270,39437,45822,4631,2859,745,1499,377,1944,5753,140767,40753,24900,3,787827,12080,4631,745,377,172,1010,1677,1499,1944,11
12,786844,0,393779,393065,86618,42076,39099,45793,4824,2907,754,1514,381,1972,5959,142156,40045,24562,3,787278,12055,4824,754,381,188,982,1737,1514,1972,12
13,786130,0,393400,392730,90206,41859,38780,45804,4705,2970,701,1468,372,2054,5778,143743,39401,24234,3,786844,12352,4705,701,372,176,1086,1708,1468,2054,24
14,785661,0,393228,392433,93871,41656,38342,45831,4836,2815,705,1531,381,2045,5922,145289,38763,23896,3,786130,12270,4836,705,381,182,981,1652,1531,2045,12
15,785176,0,392895,392281,97536,41489,37974,45856,4752,2785,681,1520,380,1993,5813,146807,38160,23559,3,785661,12313,4752,681,380,185,982,1618,1520,1993,13
16,784618,0,392609,392009,101145,41266,37664,45815,4759,2838,683,1577,360,1945,5802,148229,37552,23241,3,785176,12111,4759,683,360,172,1008,1658,1577,1945,18
17,784387,0,392448,391939,104915,40999,37347,45829,4945,2770,690,1513,384,1967,6019,149517,36945,22901,3,784618,12162,4945,690,384,191,1019,1560,1513,1967,15
18,784074,0,392281,391793,108604,40828,37052,45949,4867,2715,654,1482,343,1980,5864,150760,36377,22612,3,784387,12269,4867,654,343,163,1003,1549,1482,1980,14
19,783830,0,392213,391617,112382,40603,36685,45952,5001,2759,652,1514,341,1965,5994,151779,35817,22336,3,784074,12041,5001,652,341,201,979,1579,1514,1965,11
20,783456,0,392002,391454,116168,40392,36426,45859,5003,2791,614,1489,328,2039,5945,152865,35302,22058,3,783830,12232,5003,614,328,191,983,1617,1489,2039,22
21,783233,0,391958,391275,119999,40250,36103,45807,5044,2752,645,1495,370,2035,6059,153980,34762,21743,3,783456,12264,5044,645,370,200,964,1588,1495,2035,8
22,783149,0,391964,391185,123845,40030,35809,45782,5112,2694,621,1497,344,1970,6077,154991,34249,21450,3,783233,12341,5112,621,344,196,941,1557,1497,1970,15
23,783044,0,391916,391128,127733,39830,35545,45704,5195,2704,591,1528,350,2009,6136,155775,33773,21167,3,783149,12238,5195,591,350,219,983,1502,1528,2009,14
