tick,sex,event_age_months,count
0,male,0,30
0,male,1,23
0,male,2,28
0,male,3,24
0,male,4,44
0,male,5,50
0,male,6,48
0,male,7,48
0,male,8,55
0,male,9,34
0,male,10,52
0,male,11,42
0,male,12,43
0,male,13,240
0,male,14,233
0,male,15,243
0,male,16,231
0,male,17,258
0,female,0,25
0,female,1,26
0,female,2,21
0,female,3,29
0,female,4,45
0,female,5,60
0,female,6,42
0,female,7,43
0,female,8,49
0,female,9,57
0,female,10,40
0,female,11,51
0,female,12,46
0,female,13,243
0,female,14,253
0,female,15,267
0,female,16,275
0,female,17,243
1,male,0,15
1,male,1,20
1,male,2,28
1,male,3,21
1,male,4,38
1,male,5,49
1,male,6,49
1,male,7,54
1,male,8,44
1,male,9,50
1,male,10,40
1,male,11,54
1,male,12,54
1,male,13,262
1,male,14,235
1,male,15,238
1,male,16,222
1,male,17,261
1,male,18,2
1,female,0,18
1,female,1,20
1,female,2,28
1,female,3,15
1,female,4,37
1,female,5,42
1,female,6,55
1,female,7,45
1,female,8,54
1,female,9,52
1,female,10,39
1,female,11,54
1,female,12,35
1,female,13,251
1,female,14,244
1,female,15,243
1,female,16,261
1,female,17,272
1,female,18,3
2,male,0,14
2,male,1,21
2,male,2,23
2,male,3,22
2,male,4,46
2,male,5,52
2,male,6,46
2,male,7,67
2,male,8,44
2,male,9,43
2,male,10,28
2,male,11,48
2,male,12,40
2,male,13,224
2,male,14,242
2,male,15,258
2,male,16,229
2,male,17,246
2,male,18,9
2,female,0,34
2,female,1,21
2,female,2,36
2,female,3,27
2,female,4,59
2,female,5,47
2,female,6,58
2,female,7,50
2,female,8,39
2,female,9,59
2,female,10,42
2,female,11,39
2,female,12,52
2,female,13,249
2,female,14,254
2,female,15,237
2,female,16,228
2,female,17,238
2,female,18,6
3,male,0,26
3,male,1,35
3,male,2,24
3,male,3,33
3,male,4,47
3,male,5,53
3,male,6,53
3,male,7,36
3,male,8,50
3,male,9,44
3,male,10,37
3,male,11,44
3,male,12,37
3,male,13,223
3,male,14,234
3,male,15,237
3,male,16,234
3,male,17,215
3,male,18,6
3,female,0,24
3,female,1,30
3,female,2,25
3,female,3,35
3,female,4,51
3,female,5,50
3,female,6,52
3,female,7,43
3,female,8,39
3,female,9,62
3,female,10,52
3,female,11,45
3,female,12,47
3,female,13,257
3,female,14,227
3,female,15,247
3,female,16,241
3,female,17,239
3,female,18,13
4,male,0,30
4,male,1,26
4,male,2,16
4,male,3,27
4,male,4,48
4,male,5,48
4,male,6,54
4,male,7,51
4,male,8,37
4,male,9,37
4,male,10,40
4,male,11,51
4,male,12,39
4,male,13,210
4,male,14,236
4,male,15,239
4,male,16,250
4,male,17,227
4,male,18,16
4,female,0,32
4,female,1,26
4,female,2,28
4,female,3,19
4,female,4,61
4,female,5,48
4,female,6,39
4,female,7,45
4,female,8,36
4,female,9,41
4,female,10,51
4,female,11,47
4,female,12,43
4,female,13,248
4,female,14,215
4,female,15,227
4,female,16,233
4,female,17,223
4,female,18,14
5,male,0,27
5,male,1,21
5,male,2,25
5,male,3,19
5,male,4,47
5,male,5,50
5,male,6,55
5,male,7,35
5,male,8,46
5,male,9,48
5,male,10,46
5,male,11,47
5,male,12,48
5,male,13,250
5,male,14,229
5,male,15,237
5,male,16,250
5,male,17,246
5,male,18,24
5,female,0,20
5,female,1,22
5,female,2,24
5,female,3,28
5,female,4,59
5,female,5,52
5,female,6,41
5,female,7,53
5,female,8,41
5,female,9,60
5,female,10,39
5,female,11,56
5,female,12,41
5,female,13,224
5,female,14,255
5,female,15,221
5,female,16,209
5,female,17,192
5,female,18,18
6,male,0,32
6,male,1,25
6,male,2,21
6,male,3,31
6,male,4,46
6,male,5,42
6,male,6,46
6,male,7,49
6,male,8,46
6,male,9,42
6,male,10,49
6,male,11,50
6,male,12,56
6,male,13,211
6,male,14,242
6,male,15,211
6,male,16,213
6,male,17,217
6,male,18,16
6,female,0,39
6,female,1,31
6,female,2,18
6,female,3,30
6,female,4,41
6,female,5,49
6,female,6,48
6,female,7,44
6,female,8,53
6,female,9,43
6,female,10,47
6,female,11,56
6,female,12,41
6,female,13,223
6,female,14,237
6,female,15,229
6,female,16,227
6,female,17,240
6,female,18,25
7,male,0,36
7,male,1,18
7,male,2,23
7,male,3,24
7,male,4,40
7,male,5,35
7,male,6,51
7,male,7,59
7,male,8,45
7,male,9,38
7,male,10,45
7,male,11,45
7,male,12,45
7,male,13,236
7,male,14,243
7,male,15,212
7,male,16,213
7,male,17,213
7,male,18,24
7,female,0,34
7,female,1,33
7,female,2,22
7,female,3,27
7,female,4,45
7,female,5,64
7,female,6,42
7,female,7,36
7,female,8,44
7,female,9,31
7,female,10,52
7,female,11,44
7,female,12,46
7,female,13,241
7,female,14,186
7,female,15,247
7,female,16,228
7,female,17,245
7,female,18,25
8,male,0,38
8,male,1,30
8,male,2,31
8,male,3,17
8,male,4,52
8,male,5,47
8,male,6,52
8,male,7,43
8,male,8,54
8,male,9,49
8,male,10,48
8,male,11,56
8,male,12,53
8,male,13,197
8,male,14,230
8,male,15,202
8,male,16,243
8,male,17,209
8,male,18,24
8,female,0,29
8,female,1,24
8,female,2,23
8,female,3,15
8,female,4,43
8,female,5,45
8,female,6,44
8,female,7,66
8,female,8,44
8,female,9,41
8,female,10,41
8,female,11,48
8,female,12,50
8,female,13,218
8,female,14,221
8,female,15,224
8,female,16,206
8,female,17,213
8,female,18,34
9,male,0,36
9,male,1,20
9,male,2,23
9,male,3,29
9,male,4,41
9,male,5,38
9,male,6,57
9,male,7,51
9,male,8,70
9,male,9,45
9,male,10,40
9,male,11,54
9,male,12,50
9,male,13,219
9,male,14,195
9,male,15,239
9,male,16,207
9,male,17,218
9,male,18,36
9,female,0,28
9,female,1,22
9,female,2,18
9,female,3,35
9,female,4,38
9,female,5,40
9,female,6,46
9,female,7,36
9,female,8,57
9,female,9,40
9,female,10,35
9,female,11,49
9,female,12,40
9,female,13,236
9,female,14,199
9,female,15,222
9,female,16,219
9,female,17,189
9,female,18,25
10,male,0,25
10,male,1,22
10,male,2,23
10,male,3,25
10,male,4,44
10,male,5,48
10,male,6,57
10,male,7,61
10,male,8,51
10,male,9,48
10,male,10,48
10,male,11,41
10,male,12,48
10,male,13,222
10,male,14,209
10,male,15,214
10,male,16,195
10,male,17,205
10,male,18,38
10,female,0,20
10,female,1,39
10,female,2,23
10,female,3,25
10,female,4,50
10,female,5,51
10,female,6,47
10,female,7,51
10,female,8,46
10,female,9,53
10,female,10,42
10,female,11,49
10,female,12,51
10,female,13,191
10,female,14,214
10,female,15,197
10,female,16,225
10,female,17,208
10,female,18,37
11,male,0,30
11,male,1,26
11,male,2,25
11,male,3,33
11,male,4,53
11,male,5,32
11,male,6,38
11,male,7,51
11,male,8,44
11,male,9,63
11,male,10,33
11,male,11,46
11,male,12,48
11,male,13,215
11,male,14,223
11,male,15,195
11,male,16,199
11,male,17,194
11,male,18,39
11,female,0,30
11,female,1,27
11,female,2,27
11,female,3,15
11,female,4,41
11,female,5,44
11,female,6,38
11,female,7,42
11,female,8,47
11,female,9,48
11,female,10,46
11,female,11,45
11,female,12,48
11,female,13,221
11,female,14,219
11,female,15,202
11,female,16,205
11,female,17,214
11,female,18,33
12,male,0,46
12,male,1,30
12,male,2,23
12,male,3,22
12,male,4,48
12,male,5,42
12,male,6,37
12,male,7,40
12,male,8,45
12,male,9,44
12,male,10,46
12,male,11,63
12,male,12,50
12,male,13,195
12,male,14,193
12,male,15,212
12,male,16,205
12,male,17,225
12,male,18,41
12,female,0,38
12,female,1,25
12,female,2,21
12,female,3,13
12,female,4,52
12,female,5,46
12,female,6,50
12,female,7,36
12,female,8,34
12,female,9,53
12,female,10,47
12,female,11,44
12,female,12,48
12,female,13,210
12,female,14,216
12,female,15,203
12,female,16,171
12,female,17,236
12,female,18,33
13,male,0,40
13,male,1,29
13,male,2,28
13,male,3,21
13,male,4,47
13,male,5,49
13,male,6,51
13,male,7,51
13,male,8,47
13,male,9,39
13,male,10,48
13,male,11,55
13,male,12,42
13,male,13,205
13,male,14,185
13,male,15,227
13,male,16,235
13,male,17,206
13,male,18,40
13,female,0,40
13,female,1,15
13,female,2,19
13,female,3,20
13,female,4,44
13,female,5,46
13,female,6,48
13,female,7,44
13,female,8,50
13,female,9,53
13,female,10,42
13,female,11,48
13,female,12,49
13,female,13,209
13,female,14,210
13,female,15,228
13,female,16,222
13,female,17,179
13,female,18,48
14,male,0,30
14,male,1,24
14,male,2,24
14,male,3,24
14,male,4,40
14,male,5,34
14,male,6,38
14,male,7,42
14,male,8,43
14,male,9,43
14,male,10,36
14,male,11,53
14,male,12,51
14,male,13,205
14,male,14,197
14,male,15,196
14,male,16,201
14,male,17,201
14,male,18,54
14,female,0,31
14,female,1,24
14,female,2,21
14,female,3,26
14,female,4,43
14,female,5,39
14,female,6,42
14,female,7,51
14,female,8,59
14,female,9,41
14,female,10,51
14,female,11,47
14,female,12,35
14,female,13,202
14,female,14,203
14,female,15,183
14,female,16,197
14,female,17,200
14,female,18,45
15,male,0,42
15,male,1,25
15,male,2,24
15,male,3,19
15,male,4,45
15,male,5,45
15,male,6,36
15,male,7,49
15,male,8,39
