# params={"birth_rate":0.023104117603386296,"mortality_young":0.0010574563681385858,"mortality_adult":0.003395902383542214,"mortality_old":0.010435146266838047,"overseas_arrival_rate":0.02425575109248637,"emigration_rate":0.002478261047345571,"internal_departure_rate":0.002763531098289396,"internal_arrival_rate":0.014501617104560716}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,796362,0,398674,397688,45914,44291,43972,44508,2727,3809,1191,2064,437,2120,4355,117273,48809,29563,1,800000,0,2727,1191,437,184,1399,2226,2064,2120,27
1,792827,0,396921,395906,47732,44038,43403,44508,2764,3790,1128,1896,422,2163,4314,122502,47681,29141,1,796362,12348,2764,1128,422,158,1300,2332,1896,2163,20
2,789294,0,395152,394142,49575,43773,42916,44440,2811,3747,1140,1954,431,2214,4382,127540,46541,28710,2,792827,12163,2811,1140,431,181,1313,2253,1954,2214,40
3,785926,0,393517,392409,51534,43609,42399,44412,2911,3684,1158,1988,402,2167,4471,132529,45396,28310,2,789294,12297,2911,1158,402,172,1336,2176,1988,2167,31
4,782742,0,391913,390829,53522,43364,41968,44414,2947,3664,1126,1881,413,2125,4486,137394,44291,27903,2,785926,12310,2947,1126,413,182,1308,2174,1881,2125,27
5,779384,0,390270,389114,55533,43066,41499,44426,3060,3722,1079,1939,399,2235,4538,141963,43244,27513,2,782742,12156,3060,1079,399,196,1336,2190,1939,2235,24
6,776126,0,388662,387464,57653,42852,40964,44390,3171,3717,975,1886,406,2207,4552,146624,42317,27123,2,779384,12434,3171,975,406,204,1296,2217,1886,2207,30
7,773286,0,387262,386024,60047,42589,40484,44356,3401,3619,1021,1857,349,2135,4771,150958,41357,26788,2,776126,12362,3401,1021,349,165,1284,2170,1857,2135,19
8,770547,0,385842,384705,62384,42415,39998,44270,3384,3609,1049,1850,390,2103,4823,155113,40358,26420,2,773286,12382,3384,1049,390,203,1302,2104,1850,2103,22
9,767832,0,384474,383358,64774,42206,39546,44192,3522,3543,940,1992,341,1983,4803,159053,39482,26115,2,770547,12385,3522,940,341,180,1298,2065,1992,1983,22
10,765140,0,383161,381979,67289,41989,39078,44122,3606,3587,995,1941,371,2136,4972,162864,38561,25771,2,767832,12321,3606,995,371,197,1306,2084,1941,2136,19
11,762541,0,381872,380669,69832,41747,38575,44019,3643,3515,916,1958,373,2058,4932,166761,37733,25434,3,765140,12636,3643,916,373,194,1260,2061,1958,2058,23
12,760169,0,380640,379529,72603,41581,38107,43939,3860,3478,938,1902,370,2160,5168,170298,36899,25094,3,762541,12463,3860,938,370,178,1226,2074,1902,2160,24
13,758006,0,379563,378443,75495,41350,37704,43785,3995,3384,858,1917,380,2095,5233,173685,36154,24759,3,760169,12708,3995,858,380,197,1211,1976,1917,2095,23
14,755753,0,378349,377404,78323,41058,37204,43778,3930,3543,927,1823,351,2095,5208,177011,35323,24452,3,758006,12629,3930,927,351,208,1314,2021,1823,2095,22
15,753801,0,377477,376324,81292,40883,36789,43706,4097,3373,889,1841,339,2063,5325,180200,34555,24167,3,755753,12669,4097,889,339,184,1245,1944,1841,2063,19
16,751783,0,376557,375226,84272,40639,36421,43654,4115,3227,796,1898,337,2141,5248,183178,33894,23879,3,753801,12602,4115,796,337,195,1213,1819,1898,2141,18
17,749832,0,375544,374288,87374,40311,35940,43548,4292,3382,779,1948,367,2059,5438,185980,33235,23564,3,751783,12514,4292,779,367,226,1225,1931,1948,2059,17
18,748071,0,374661,373410,90517,40138,35591,43445,4300,3267,768,1849,321,2034,5389,188871,32599,23309,3,749832,12827,4300,768,321,187,1220,1860,1849,2034,30
19,746325,0,373798,372527,93551,39880,35192,43287,4301,3245,738,1829,318,2029,5357,191515,32010,23047,3,748071,12539,4301,738,318,211,1212,1822,1829,2029,18
20,744692,0,372999,371693,96798,39621,34843,43163,4432,3199,770,1863,338,2111,5540,193964,31402,22769,3,746325,12460,4432,770,338,227,1161,1811,1863,2111,28
21,743006,0,372141,370865,100005,39416,34479,42974,4382,3232,733,1854,321,2036,5436,196526,30835,22511,3,744692,12713,4382,733,321,206,1242,1784,1854,2036,20
22,741364,0,371192,370172,103181,39195,34180,42800,4377,3210,716,1879,335,1981,5428,199039,30274,22253,3,743006,12558,4377,716,335,233,1192,1785,1879,1981,32
23,739900,0,370375,369525,106416,38955,33840,42645,4515,3103,714,1820,305,2075,5534,201344,29736,22022,3,741364,12498,4515,714,305,251,1194,1658,1820,2075,21
