# params={"birth_rate":0.018705342938632238,"mortality_young":0.0011206999094652745,"mortality_adult":0.002897727094687267,"mortality_old":0.020536203880262532,"overseas_arrival_rate":0.019927105685100692,"emigration_rate":0.0015464473950316093,"internal_departure_rate":0.002405180453277857,"internal_arrival_rate":0.02294508919891022}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,794744,0,397925,396819,45569,44379,43509,44146,2286,6002,988,1249,701,1980,3975,117714,49012,29299,1,800000,0,2286,988,701,193,1177,4632,1249,1980,28
1,789645,0,395348,394297,46850,44215,42584,43763,2168,5784,966,1204,644,1889,3778,124777,48046,28655,1,794744,13206,2168,966,644,188,1168,4428,1204,1889,38
2,784922,0,393016,391906,48297,44059,41751,43348,2366,5575,947,1159,606,1908,3919,131288,47099,28049,2,789645,12655,2366,947,606,225,1115,4235,1159,1908,22
3,780272,0,390759,389513,49775,43926,40920,42963,2413,5556,924,1209,646,1868,3983,137502,46183,27410,2,784922,12561,2413,924,646,198,1107,4251,1209,1868,13
4,775861,0,388614,387247,51457,43747,40146,42600,2587,5460,919,1219,662,1900,4168,143512,45285,26763,2,780272,12616,2587,919,662,199,1093,4168,1219,1900,21
5,771674,0,386518,385156,53211,43577,39429,42229,2686,5355,886,1229,639,1814,4211,149366,44422,26140,2,775861,12747,2686,886,639,192,1149,4014,1229,1814,21
6,767382,0,384366,383016,55073,43454,38651,41822,2817,5469,847,1172,579,1894,4243,154892,43605,25586,2,771674,12609,2817,847,579,207,1168,4094,1172,1894,26
7,763642,0,382518,381124,57018,43249,37915,41478,2899,5118,850,1152,643,1862,4392,160458,42794,24974,2,767382,12778,2899,850,643,231,1104,3783,1152,1862,17
8,759962,0,380807,379155,59042,43152,37244,41058,2987,5030,818,1193,574,1836,4379,165521,42020,24438,2,763642,12524,2987,818,574,203,1059,3768,1193,1836,23
9,756319,0,378982,377337,60975,42957,36557,40650,2974,5067,793,1176,570,1737,4337,170488,41294,23919,2,759962,12438,2974,793,570,208,1140,3719,1176,1737,19
10,752851,0,377136,375715,63125,42807,35851,40238,3125,4990,824,1149,543,1821,4492,175252,40513,23424,3,756319,12317,3125,824,543,203,1084,3703,1149,1821,26
11,749501,0,375354,374147,65446,42659,35134,39856,3337,5060,813,1162,527,1805,4677,179752,39772,22948,3,752851,12452,3337,813,527,218,1156,3686,1162,1805,22
12,746322,0,373776,372546,67772,42493,34498,39481,3314,4786,735,1163,543,1822,4592,184348,39103,22456,3,749501,12704,3314,735,543,196,1073,3517,1163,1822,15
13,743414,0,372345,371069,70181,42302,33984,39036,3424,4700,739,1097,522,1796,4685,188572,38433,21988,3,746322,12363,3424,739,522,201,1073,3426,1097,1796,15
14,740665,0,370975,369690,72585,42087,33403,38704,3418,4613,787,1132,499,1708,4704,192607,37722,21553,3,743414,12278,3418,787,499,215,1061,3337,1132,1708,23
15,737790,0,369700,368090,75089,41991,32816,38261,3503,4704,740,1134,520,1800,4763,196418,37063,21091,3,740665,12157,3503,740,520,221,1074,3409,1134,1800,16
16,735015,0,368307,366708,77653,41728,32306,37820,3572,4604,701,1180,438,1702,4711,200303,36460,20736,3,737790,12401,3572,701,438,230,1104,3270,1180,1702,11
17,732429,0,366981,365448,80292,41510,31783,37413,3679,4535,673,1142,467,1728,4819,203903,35904,20359,3,735015,12197,3679,673,467,206,1124,3205,1142,1728,22
18,730323,0,365943,364380,83180,41366,31356,37047,3910,4318,706,1058,498,1844,5114,207223,35300,19934,3,732429,12224,3910,706,498,214,1039,3065,1058,1844,22
19,728135,0,364840,363295,85962,41192,30874,36598,3856,4390,704,1125,505,1738,5065,210380,34716,19516,3,730323,12334,3856,704,505,233,1042,3115,1125,1738,25
20,725965,0,363758,362207,88806,41040,30486,36133,3915,4307,674,1125,475,1802,5064,213514,34150,19137,3,728135,12318,3915,674,475,239,1047,3021,1125,1802,19
21,723950,0,362749,361201,91715,40891,30048,35620,3945,4276,696,1112,435,1703,5076,216591,33572,18796,3,725965,12298,3945,696,435,214,1048,3014,1112,1703,20
22,722092,0,361733,360359,94690,40734,29616,35229,4022,4247,669,1075,448,1675,5139,219436,33036,18439,3,723950,12167,4022,669,448,224,1070,2953,1075,1675,22
23,720251,0,360872,359379,97641,40510,29228,34786,4074,4169,684,1114,455,1771,5213,222122,32493,18080,3,722092,12136,4074,684,455,256,1052,2861,1114,1771,14
