tick,sex,event_age_months,count
0,male,0,33
0,male,1,28
0,male,2,25
0,male,3,34
0,male,4,84
0,male,5,76
0,male,6,45
0,male,7,74
0,male,8,54
0,male,9,60
0,male,10,73
0,male,11,59
0,male,12,67
0,male,13,197
0,male,14,244
0,male,15,224
0,male,16,232
0,male,17,223
0,female,0,21
0,female,1,29
0,female,2,24
0,female,3,33
0,female,4,74
0,female,5,75
0,female,6,60
0,female,7,51
0,female,8,69
0,female,9,51
0,female,10,65
0,female,11,41
0,female,12,70
0,female,13,251
0,female,14,202
0,female,15,235
0,female,16,214
0,female,17,213
1,male,0,27
1,male,1,22
1,male,2,29
1,male,3,26
1,male,4,61
1,male,5,73
1,male,6,55
1,male,7,59
1,male,8,64
1,male,9,67
1,male,10,72
1,male,11,63
1,male,12,68
1,male,13,235
1,male,14,232
1,male,15,269
1,male,16,211
1,male,17,250
1,male,18,4
1,female,0,39
1,female,1,21
1,female,2,27
1,female,3,30
1,female,4,59
1,female,5,68
1,female,6,55
1,female,7,55
1,female,8,67
1,female,9,53
1,female,10,64
1,female,11,70
1,female,12,51
1,female,13,211
1,female,14,213
1,female,15,212
1,female,16,242
1,female,17,216
1,female,18,6
2,male,0,30
2,male,1,27
2,male,2,36
2,male,3,25
2,male,4,62
2,male,5,61
2,male,6,48
2,male,7,66
2,male,8,55
2,male,9,61
2,male,10,67
2,male,11,63
2,male,12,78
2,male,13,204
2,male,14,206
2,male,15,253
2,male,16,206
2,male,17,204
2,male,18,4
2,female,0,39
2,female,1,32
2,female,2,29
2,female,3,21
2,female,4,71
2,female,5,60
2,female,6,66
2,female,7,63
2,female,8,72
2,female,9,71
2,female,10,59
2,female,11,72
2,female,12,77
2,female,13,204
2,female,14,239
2,female,15,229
2,female,16,218
2,female,17,214
2,female,18,8
3,male,0,35
3,male,1,35
3,male,2,26
3,male,3,19
3,male,4,41
3,male,5,58
3,male,6,65
3,male,7,41
3,male,8,64
3,male,9,67
3,male,10,55
3,male,11,63
3,male,12,75
3,male,13,205
3,male,14,200
3,male,15,206
3,male,16,227
3,male,17,203
3,male,18,18
3,female,0,25
3,female,1,21
3,female,2,29
3,female,3,29
3,female,4,55
3,female,5,73
3,female,6,60
3,female,7,63
3,female,8,60
3,female,9,70
3,female,10,59
3,female,11,67
3,female,12,76
3,female,13,221
3,female,14,207
3,female,15,208
3,female,16,210
3,female,17,213
3,female,18,8
4,male,0,26
4,male,1,27
4,male,2,31
4,male,3,24
4,male,4,60
4,male,5,80
4,male,6,58
4,male,7,59
4,male,8,61
4,male,9,62
4,male,10,70
4,male,11,71
4,male,12,77
4,male,13,235
4,male,14,217
4,male,15,232
4,male,16,217
4,male,17,224
4,male,18,14
4,female,0,29
4,female,1,26
4,female,2,29
4,female,3,22
4,female,4,57
4,female,5,48
4,female,6,58
4,female,7,73
4,female,8,51
4,female,9,63
4,female,10,56
4,female,11,66
4,female,12,64
4,female,13,206
4,female,14,218
4,female,15,205
4,female,16,197
4,female,17,198
4,female,18,14
5,male,0,33
5,male,1,31
5,male,2,23
5,male,3,15
5,male,4,79
5,male,5,54
5,male,6,69
5,male,7,48
5,male,8,74
5,male,9,62
5,male,10,71
5,male,11,66
5,male,12,56
5,male,13,212
5,male,14,210
5,male,15,199
5,male,16,207
5,male,17,207
5,male,18,21
5,female,0,30
5,female,1,26
5,female,2,20
5,female,3,20
5,female,4,66
5,female,5,66
5,female,6,77
5,female,7,51
5,female,8,60
5,female,9,74
5,female,10,64
5,female,11,78
5,female,12,60
5,female,13,221
5,female,14,205
5,female,15,245
5,female,16,207
5,female,17,204
5,female,18,9
6,male,0,41
6,male,1,26
6,male,2,30
6,male,3,26
6,male,4,56
6,male,5,58
6,male,6,71
6,male,7,69
6,male,8,61
6,male,9,60
6,male,10,56
6,male,11,70
6,male,12,53
6,male,13,196
6,male,14,182
6,male,15,215
6,male,16,201
6,male,17,201
6,male,18,19
6,female,0,25
6,female,1,31
6,female,2,25
6,female,3,27
6,female,4,49
6,female,5,65
6,female,6,55
6,female,7,75
6,female,8,61
6,female,9,55
6,female,10,88
6,female,11,75
6,female,12,54
6,female,13,226
6,female,14,209
6,female,15,208
6,female,16,211
6,female,17,201
6,female,18,14
7,male,0,28
7,male,1,21
7,male,2,24
7,male,3,25
7,male,4,63
7,male,5,67
7,male,6,67
7,male,7,58
7,male,8,58
7,male,9,62
7,male,10,63
7,male,11,50
7,male,12,41
7,male,13,199
7,male,14,171
7,male,15,193
7,male,16,191
7,male,17,203
7,male,18,25
7,female,0,30
7,female,1,33
7,female,2,31
7,female,3,23
7,female,4,73
7,female,5,56
7,female,6,67
7,female,7,60
7,female,8,84
7,female,9,73
7,female,10,55
7,female,11,52
7,female,12,47
7,female,13,195
7,female,14,227
7,female,15,228
7,female,16,193
7,female,17,196
7,female,18,34
8,male,0,30
8,male,1,33
8,male,2,33
8,male,3,31
8,male,4,72
8,male,5,64
8,male,6,65
8,male,7,58
8,male,8,76
8,male,9,60
8,male,10,66
8,male,11,71
8,male,12,55
8,male,13,167
8,male,14,212
8,male,15,195
8,male,16,193
8,male,17,206
8,male,18,24
8,female,0,25
8,female,1,27
8,female,2,26
8,female,3,29
8,female,4,56
8,female,5,51
8,female,6,80
8,female,7,73
8,female,8,68
8,female,9,59
8,female,10,72
8,female,11,76
8,female,12,47
8,female,13,189
8,female,14,205
8,female,15,210
8,female,16,170
8,female,17,208
8,female,18,32
9,male,0,31
9,male,1,21
9,male,2,26
9,male,3,27
9,male,4,76
9,male,5,57
9,male,6,63
9,male,7,61
9,male,8,61
9,male,9,63
9,male,10,55
9,male,11,57
9,male,12,56
9,male,13,197
9,male,14,186
9,male,15,196
9,male,16,205
9,male,17,174
9,male,18,36
9,female,0,27
9,female,1,31
9,female,2,31
9,female,3,23
9,female,4,74
9,female,5,66
9,female,6,53
9,female,7,68
9,female,8,45
9,female,9,69
9,female,10,53
9,female,11,71
9,female,12,66
9,female,13,197
9,female,14,183
9,female,15,182
9,female,16,194
9,female,17,209
9,female,18,29
10,male,0,43
10,male,1,28
10,male,2,25
10,male,3,37
10,male,4,49
10,male,5,75
10,male,6,83
10,male,7,54
10,male,8,55
10,male,9,62
10,male,10,60
10,male,11,61
10,male,12,59
10,male,13,184
10,male,14,192
10,male,15,198
10,male,16,216
10,male,17,209
10,male,18,25
10,female,0,34
10,female,1,28
10,female,2,25
10,female,3,30
10,female,4,74
10,female,5,60
10,female,6,77
10,female,7,65
10,female,8,50
10,female,9,53
10,female,10,70
10,female,11,52
10,female,12,67
10,female,13,200
10,female,14,188
10,female,15,216
10,female,16,194
10,female,17,179
10,female,18,21
11,male,0,39
11,male,1,25
11,male,2,34
11,male,3,26
11,male,4,58
11,male,5,64
11,male,6,57
11,male,7,59
11,male,8,65
11,male,9,55
11,male,10,64
11,male,11,62
11,male,12,75
11,male,13,199
11,male,14,158
11,male,15,177
11,male,16,198
11,male,17,190
11,male,18,25
11,female,0,35
11,female,1,30
11,female,2,23
11,female,3,30
11,female,4,64
11,female,5,73
11,female,6,66
11,female,7,65
11,female,8,69
11,female,9,59
11,female,10,70
11,female,11,63
11,female,12,51
11,female,13,182
11,female,14,213
11,female,15,151
11,female,16,197
11,female,17,206
11,female,18,30
12,male,0,36
12,male,1,28
12,male,2,22
12,male,3,22
12,male,4,63
12,male,5,50
12,male,6,72
12,male,7,62
12,male,8,57
12,male,9,59
12,male,10,72
12,male,11,47
12,male,12,65
12,male,13,220
12,male,14,204
12,male,15,190
12,male,16,196
12,male,17,190
12,male,18,35
12,female,0,23
12,female,1,37
12,female,2,25
12,female,3,27
12,female,4,47
12,female,5,65
12,female,6,67
12,female,7,69
12,female,8,59
12,female,9,66
12,female,10,62
12,female,11,71
12,female,12,64
12,female,13,224
12,female,14,171
12,female,15,186
12,female,16,183
12,female,17,162
12,female,18,38
13,male,0,37
13,male,1,35
13,male,2,26
13,male,3,34
13,male,4,70
13,male,5,64
13,male,6,69
13,male,7,58
13,male,8,69
13,male,9,61
13,male,10,65
13,male,11,76
13,male,12,64
13,male,13,225
13,male,14,186
13,male,15,185
13,male,16,179
13,male,17,164
13,male,18,49
13,female,0,41
13,female,1,27
13,female,2,33
13,female,3,28
13,female,4,65
13,female,5,72
13,female,6,63
13,female,7,67
13,female,8,57
13,female,9,62
13,female,10,60
13,female,11,59
13,female,12,66
13,female,13,190
13,female,14,193
13,female,15,177
13,female,16,179
13,female,17,179
13,female,18,40
14,male,0,31
14,male,1,19
14,male,2,28
14,male,3,36
14,male,4,66
14,male,5,54
14,male,6,66
14,male,7,63
14,male,8,71
14,male,9,71
14,male,10,56
14,male,11,56
14,male,12,74
14,male,13,197
14,male,14,172
14,male,15,151
14,male,16,180
14,male,17,177
14,male,18,44
14,female,0,46
14,female,1,32
14,female,2,26
14,female,3,22
14,female,4,58
14,female,5,47
14,female,6,57
14,female,7,52
14,female,8,72
14,female,9,48
14,female,10,59
14,female,11,55
14,female,12,57
14,female,13,208
14,female,14,204
14,female,15,159
14,female,16,171
14,female,17,179
14,female,18,53
15,male,0,38
15,male,1,25
15,male,2,23
15,male,3,25
15,male,4,69
15,male,5,60
15,male,6,62
15,male,7,52
15,male,8,72
15,male,9,66
15,male,10,66
15,male,11,47
15,male,12,58
15,male,13,178
15,male,14,190
15,male,15,174
15,male,16,191
15,male,17,172
15,male,18,47
15,female,0,45
15,female,1,24
15,female,2,25
15,female,3,38
15,female,4,59
15,female,5,65
15,female,6,65
15,female,7,52
15,female,8,68
15,female,9,43
15,female,10,56
15,female,11,58
15,female,12,47
15,female,13,198
15,female,14,186
15,female,15,180
15,female,16,195
15,female,17,183
15,female,18,53
16,male,0,40
16,male,1,23
16,male,2,28
16,male,3,27
16,male,4,54
16,male,5,59
16,male,6,68
16,male,7,56
16,male,8,62
16,male,9,67
16,male,10,59
16,male,11,69
16,male,12,46
16,male,13,177
16,male,14,186
16,male,15,158
16,male,16,181
16,male,17,171
16,male,18,41
16,female,0,54
16,female,1,21
16,female,2,25
16,female,3,28
16,female,4,59
16,female,5,60
16,female,6,50
16,female,7,64
16,female,8,53
16,female,9,58
16,female,10,64
16,female,11,54
16,female,12,60
16,female,13,198
16,female,14,186
16,female,15,176
16,female,16,211
16,female,17,192
16,female,18,49
17,male,0,51
17,male,1,29
17,male,2,29
17,male,3,23
17,male,4,49
17,male,5,57
17,male,6,58
17,male,7,62
17,male,8,74
17,male,9,67
17,male,10,64
17,male,11,46
17,male,12,59
17,male,13,197
17,male,14,160
17,male,15,180
17,male,16,168
17,male,17,183
17,male,18,58
17,female,0,44
17,female,1,27
17,female,2,28
17,female,3,24
17,female,4,59
17,female,5,61
17,female,6,56
17,female,7,57
17,female,8,56
17,female,9,44
17,female,10,63
17,female,11,76
17,female,12,61
17,female,13,171
