tick,entry_stream,area,count
0,birth_slot,0,29258
0,birth_slot,1,29388
0,birth_slot,2,29246
0,birth_slot,3,29463
0,overseas_slot,0,12101
0,overseas_slot,1,12196
0,overseas_slot,2,12185
0,overseas_slot,3,12340
0,internal_slot,0,7300
0,internal_slot,1,7465
0,internal_slot,2,7411
0,internal_slot,3,7333
1,birth_slot,0,30217
1,birth_slot,1,30467
1,birth_slot,2,30195
1,birth_slot,3,30419
1,overseas_slot,0,11814
1,overseas_slot,1,11926
1,overseas_slot,2,11899
1,overseas_slot,3,12060
1,internal_slot,0,7172
1,internal_slot,1,7332
1,internal_slot,2,7282
1,internal_slot,3,7181
2,birth_slot,0,31154
2,birth_slot,1,31441
2,birth_slot,2,31119
2,birth_slot,3,31357
2,overseas_slot,0,11566
2,overseas_slot,1,11627
2,overseas_slot,2,11627
2,overseas_slot,3,11765
2,internal_slot,0,7054
2,internal_slot,1,7192
2,internal_slot,2,7158
2,internal_slot,3,7046
3,birth_slot,0,32027
3,birth_slot,1,32386
3,birth_slot,2,32038
3,birth_slot,3,32343
3,overseas_slot,0,11304
3,overseas_slot,1,11370
3,overseas_slot,2,11357
3,overseas_slot,3,11499
3,internal_slot,0,6913
3,internal_slot,1,7059
3,internal_slot,2,7051
3,internal_slot,3,6936
4,birth_slot,0,32970
4,birth_slot,1,33232
4,birth_slot,2,32888
4,birth_slot,3,33247
4,overseas_slot,0,11032
4,overseas_slot,1,11148
4,overseas_slot,2,11108
4,overseas_slot,3,11229
4,internal_slot,0,6818
4,internal_slot,1,6928
4,internal_slot,2,6919
4,internal_slot,3,6808
5,birth_slot,0,33844
5,birth_slot,1,34068
5,birth_slot,2,33781
5,birth_slot,3,34145
5,overseas_slot,0,10762
5,overseas_slot,1,10893
5,overseas_slot,2,10850
5,overseas_slot,3,10995
5,internal_slot,0,6694
5,internal_slot,1,6794
5,internal_slot,2,6801
5,internal_slot,3,6693
6,birth_slot,0,34603
6,birth_slot,1,34905
6,birth_slot,2,34517
