# params={"birth_rate":0.03380252334445752,"mortality_young":0.0008826505064695368,"mortality_adult":0.0026866261584621645,"mortality_old":0.008487053362728009,"overseas_arrival_rate":0.017698664208947595,"emigration_rate":0.001959683614668999,"internal_departure_rate":0.002550198914924459,"internal_arrival_rate":0.016091270859710058}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7986792,0,3993782,3993010,474082,442682,439755,446249,40187,31201,8661,15426,4784,20213,53632,1159813,491339,295216,1,8000000,0,40187,8661,4784,1621,10715,18865,15426,20213,192
1,7972622,0,3986714,3985908,503313,440762,435034,447622,38638,30643,8615,15460,4602,19922,51855,1188015,482724,290614,1,7986792,120472,38638,8615,4602,1567,10545,18531,15460,19922,162
2,7959013,0,3980049,3978964,533115,438738,430656,449006,39307,30331,8436,15568,4730,20183,52473,1214733,474288,285884,2,7972622,117880,39307,8436,4730,1577,10475,18279,15568,20183,183
3,7945994,0,3973566,3972428,563789,436705,426484,450368,40184,30314,8249,15672,4582,20048,53015,1240516,466105,281351,2,7959013,118555,40184,8249,4582,1549,10647,18118,15672,20048,191
4,7933817,0,3967344,3966473,595278,434898,422318,451412,41227,30270,8150,15507,4423,20200,53800,1265106,458080,277020,2,7945994,119049,41227,8150,4423,1736,10442,18092,15507,20200,171
5,7922739,0,3961843,3960896,627552,432817,418190,452485,42188,30172,7909,15280,4416,20139,54513,1288611,450345,272714,2,7933817,119777,42188,7909,4416,1680,10542,17950,15280,20139,165
6,7912611,0,3956410,3956201,660380,430729,414070,453616,42919,29968,7873,15427,4282,19807,55074,1310878,442735,268574,3,7922739,120104,42919,7873,4282,1580,10622,17766,15427,19807,164
7,7903596,0,3951702,3951894,693787,428570,409975,454213,43748,29516,7820,15430,4274,19911,55842,1331854,435224,264469,3,7912611,120276,43748,7820,4274,1675,10405,17436,15430,19911,178
8,7894820,0,3947456,3947364,727368,426614,405976,454960,43959,29270,7527,15152,4230,20070,55716,1352181,428050,260457,3,7903596,120699,43959,7527,4230,1648,10274,17348,15152,20070,177
9,7887996,0,3943972,3944024,762148,424945,402071,455535,45240,29050,7779,15133,4195,19855,57214,1370781,420687,256498,3,7894820,120208,45240,7779,4195,1734,10190,17126,15133,19855,185
10,7880819,0,3940742,3940077,797067,423037,398229,456094,45598,28992,7417,15218,4057,20039,57072,1388451,413748,252733,3,7887996,121252,45598,7417,4057,1728,10208,17056,15218,20039,170
11,7874416,0,3937524,3936892,832509,421189,394381,456527,46294,28969,7229,15154,4006,19809,57529,1405605,407053,248994,3,7880819,121321,46294,7229,4006,1844,10200,16925,15154,19809,163
12,7868654,0,3934411,3934243,868450,419016,390697,456892,46868,28586,7108,15272,3885,19765,57861,1421690,400591,245442,3,7874416,121461,46868,7108,3885,1812,9944,16830,15272,19765,173
13,7863267,0,3931591,3931676,905016,416898,387101,457098,47607,28832,7192,15164,3942,20132,58741,1436725,394031,241849,3,7868654,121484,47607,7192,3942,1864,10283,16685,15164,20132,155
14,7858178,0,3929174,3929004,941016,414857,383587,457239,47416,28225,6953,15255,3990,19968,58359,1452289,387843,238242,3,7863267,122869,47416,6953,3990,1857,9959,16409,15255,19968,149
15,7854095,0,3927238,3926857,977945,413078,380253,457291,48234,28242,6922,15133,3833,19697,58989,1466270,381706,234857,3,7858178,121807,48234,6922,3833,1990,9986,16266,15133,19697,172
16,7850740,0,3925604,3925136,1015134,411159,376816,457419,48722,28049,6860,15090,3716,19514,59298,1479382,375655,231570,3,7854095,122061,48722,6860,3716,1896,9948,16205,15090,19514,168
17,7847505,0,3924018,3923487,1052523,409199,373584,457404,49042,27876,6584,15077,3735,19643,59361,1491661,369902,228336,3,7850740,121951,49042,6584,3735,1903,9956,16017,15077,19643,155
18,7844411,0,3922341,3922070,1090342,407476,370397,457493,49750,27850,6468,15236,3545,19771,59763,1503069,364314,225349,3,7847505,121957,49750,6468,3545,1968,9894,15988,15236,19771,162
19,7841977,0,3921002,3920975,1128339,405761,367059,457359,50201,27346,6400,15256,3488,19921,60089,1514263,358862,222375,4,7844411,122620,50201,6400,3488,1988,9699,15659,15256,19921,142
20,7839605,0,3919808,3919797,1166338,403753,363911,457088,50314,27515,6277,15240,3596,19804,60187,1524982,353528,219326,4,7841977,122612,50314,6277,3596,2059,9799,15657,15240,19804,168
21,7837335,0,3918411,3918924,1204379,401869,360656,456687,50590,27434,6142,15172,3441,19837,60173,1535292,348440,216490,4,7839605,122746,50590,6142,3441,2072,9637,15725,15172,19837,159
22,7835370,0,3917557,3917813,1242702,400311,357529,456416,50872,27251,6140,15078,3379,20027,60391,1545194,343370,213710,4,7837335,122616,50872,6140,3379,2023,9617,15611,15078,20027,166
23,7834304,0,3917114,3917190,1281137,398810,354434,456086,51229,26915,5908,14904,3379,19763,60516,1554583,338600,210931,4,7835370,122747,51229,5908,3379,2143,9470,15302,14904,19763,141
