tick,entry_stream,area,count
0,birth_slot,0,293741
0,birth_slot,1,294812
0,birth_slot,2,293932
0,birth_slot,3,295228
0,overseas_slot,0,122735
0,overseas_slot,1,122680
0,overseas_slot,2,121759
0,overseas_slot,3,123004
0,internal_slot,0,73368
0,internal_slot,1,73668
0,internal_slot,2,73075
0,internal_slot,3,73164
1,birth_slot,0,310527
1,birth_slot,1,312153
1,birth_slot,2,310784
1,birth_slot,3,312451
1,overseas_slot,0,120348
1,overseas_slot,1,120255
1,overseas_slot,2,119347
1,overseas_slot,3,120600
1,internal_slot,0,71648
1,internal_slot,1,71977
1,internal_slot,2,71390
1,internal_slot,3,71532
2,birth_slot,0,326668
2,birth_slot,1,328655
2,birth_slot,2,326957
2,birth_slot,3,328906
2,overseas_slot,0,118027
2,overseas_slot,1,117976
2,overseas_slot,2,117073
2,overseas_slot,3,118222
2,internal_slot,0,70055
2,internal_slot,1,70377
2,internal_slot,2,69813
2,internal_slot,3,69888
3,birth_slot,0,342290
3,birth_slot,1,344265
3,birth_slot,2,342592
3,birth_slot,3,344605
3,overseas_slot,0,115739
3,overseas_slot,1,115589
3,overseas_slot,2,114777
3,overseas_slot,3,115863
3,internal_slot,0,68398
3,internal_slot,1,68828
3,internal_slot,2,68266
3,internal_slot,3,68326
4,birth_slot,0,357471
4,birth_slot,1,359473
4,birth_slot,2,357793
4,birth_slot,3,359771
4,overseas_slot,0,113461
4,overseas_slot,1,113322
4,overseas_slot,2,112593
4,overseas_slot,3,113578
4,internal_slot,0,66892
4,internal_slot,1,67269
4,internal_slot,2,66713
4,internal_slot,3,66849
5,birth_slot,0,371976
5,birth_slot,1,374134
5,birth_slot,2,372318
5,birth_slot,3,374617
5,overseas_slot,0,111264
5,overseas_slot,1,111155
5,overseas_slot,2,110366
5,overseas_slot,3,111404
5,internal_slot,0,65400
5,internal_slot,1,65790
5,internal_slot,2,65258
5,internal_slot,3,65315
6,birth_slot,0,385995
6,birth_slot,1,388403
6,birth_slot,2,386630
6,birth_slot,3,388943
6,overseas_slot,0,109146
6,overseas_slot,1,109076
6,overseas_slot,2,108232
6,overseas_slot,3,109292
6,internal_slot,0,64007
6,internal_slot,1,64317
6,internal_slot,2,63814
6,internal_slot,3,63975
7,birth_slot,0,399337
7,birth_slot,1,402095
7,birth_slot,2,400124
7,birth_slot,3,402563
7,overseas_slot,0,107057
7,overseas_slot,1,107000
7,overseas_slot,2,106122
7,overseas_slot,3,107213
7,internal_slot,0,62646
7,internal_slot,1,62902
7,internal_slot,2,62426
7,internal_slot,3,62589
8,birth_slot,0,412437
8,birth_slot,1,415319
8,birth_slot,2,412943
8,birth_slot,3,415441
8,overseas_slot,0,105146
8,overseas_slot,1,105032
8,overseas_slot,2,104121
8,overseas_slot,3,105213
8,internal_slot,0,61351
8,internal_slot,1,61635
8,internal_slot,2,61069
8,internal_slot,3,61280
9,birth_slot,0,424919
9,birth_slot,1,427888
9,birth_slot,2,425471
9,birth_slot,3,427793
9,overseas_slot,0,103206
9,overseas_slot,1,103103
9,overseas_slot,2,102156
9,overseas_slot,3,103284
9,internal_slot,0,60099
9,internal_slot,1,60326
9,internal_slot,2,59807
9,internal_slot,3,59857
10,birth_slot,0,436614
10,birth_slot,1,439746
10,birth_slot,2,437741
10,birth_slot,3,439746
10,overseas_slot,0,101311
10,overseas_slot,1,101229
10,overseas_slot,2,100291
10,overseas_slot,3,101421
10,internal_slot,0,58946
10,internal_slot,1,59096
10,internal_slot,2,58533
10,internal_slot,3,58557
11,birth_slot,0,448165
11,birth_slot,1,451167
11,birth_slot,2,449243
11,birth_slot,3,451389
11,overseas_slot,0,99447
11,overseas_slot,1,99426
11,overseas_slot,2,98491
11,overseas_slot,3,99480
11,internal_slot,0,57660
11,internal_slot,1,57817
11,internal_slot,2,57318
11,internal_slot,3,57335
12,birth_slot,0,459430
12,birth_slot,1,461963
12,birth_slot,2,460445
12,birth_slot,3,462132
12,overseas_slot,0,97664
12,overseas_slot,1,97574
12,overseas_slot,2,96709
12,overseas_slot,3,97693
12,internal_slot,0,56442
12,internal_slot,1,56675
12,internal_slot,2,56183
12,internal_slot,3,56194
13,birth_slot,0,469617
13,birth_slot,1,472313
13,birth_slot,2,470871
13,birth_slot,3,472506
13,overseas_slot,0,95844
13,overseas_slot,1,95883
13,overseas_slot,2,95015
13,overseas_slot,3,95896
13,internal_slot,0,55313
13,internal_slot,1,55583
13,internal_slot,2,54977
13,internal_slot,3,55073
14,birth_slot,0,479612
14,birth_slot,1,482663
14,birth_slot,2,481175
14,birth_slot,3,482535
14,overseas_slot,0,94239
14,overseas_slot,1,94272
14,overseas_slot,2,93329
14,overseas_slot,3,94146
14,internal_slot,0,54248
14,internal_slot,1,54486
14,internal_slot,2,53956
14,internal_slot,3,54013
15,birth_slot,0,489539
15,birth_slot,1,492372
15,birth_slot,2,490769
15,birth_slot,3,492348
15,overseas_slot,0,92582
15,overseas_slot,1,92631
15,overseas_slot,2,91734
15,overseas_slot,3,92549
15,internal_slot,0,53201
15,internal_slot,1,53407
15,internal_slot,2,52915
15,internal_slot,3,52956
16,birth_slot,0,499074
16,birth_slot,1,501583
16,birth_slot,2,500127
16,birth_slot,3,501916
16,overseas_slot,0,91005
16,overseas_slot,1,91097
16,overseas_slot,2,90254
16,overseas_slot,3,91008
16,internal_slot,0,52179
16,internal_slot,1,52310
16,internal_slot,2,51922
16,internal_slot,3,51930
17,birth_slot,0,507777
17,birth_slot,1,510530
17,birth_slot,2,509129
17,birth_slot,3,510541
17,overseas_slot,0,89411
17,overseas_slot,1,89600
17,overseas_slot,2,88726
17,overseas_slot,3,89465
17,internal_slot,0,51150
17,internal_slot,1,51326
17,internal_slot,2,50935
17,internal_slot,3,51016
18,birth_slot,0,516461
18,birth_slot,1,519083
18,birth_slot,2,517589
18,birth_slot,3,518849
18,overseas_slot,0,87983
18,overseas_slot,1,88173
18,overseas_slot,2,87260
18,overseas_slot,3,87962
18,internal_slot,0,50192
18,internal_slot,1,50401
18,internal_slot,2,50064
18,internal_slot,3,50016
19,birth_slot,0,524654
19,birth_slot,1,527327
19,birth_slot,2,526018
19,birth_slot,3,526923
19,overseas_slot,0,86560
19,overseas_slot,1,86778
19,overseas_slot,2,85871
19,overseas_slot,3,86528
19,internal_slot,0,49269
19,internal_slot,1,49398
19,internal_slot,2,49169
19,internal_slot,3,49115
20,birth_slot,0,532336
20,birth_slot,1,535039
20,birth_slot,2,533877
20,birth_slot,3,534671
20,overseas_slot,0,85128
20,overseas_slot,1,85407
20,overseas_slot,2,84543
20,overseas_slot,3,85098
20,internal_slot,0,48371
20,internal_slot,1,48471
20,internal_slot,2,48193
20,internal_slot,3,48188
21,birth_slot,0,540251
21,birth_slot,1,542567
21,birth_slot,2,541434
21,birth_slot,3,542274
21,overseas_slot,0,83739
21,overseas_slot,1,83965
21,overseas_slot,2,83129
21,overseas_slot,3,83711
21,internal_slot,0,47505
21,internal_slot,1,47613
21,internal_slot,2,47368
21,internal_slot,3,47330
22,birth_slot,0,547479
22,birth_slot,1,549762
22,birth_slot,2,548405
22,birth_slot,3,549299
22,overseas_slot,0,82461
22,overseas_slot,1,82594
22,overseas_slot,2,81747
22,overseas_slot,3,82389
22,internal_slot,0,46644
22,internal_slot,1,46775
22,internal_slot,2,46551
22,internal_slot,3,46518
23,birth_slot,0,554287
23,birth_slot,1,556701
23,birth_slot,2,555007
23,birth_slot,3,555910
23,overseas_slot,0,81156
23,overseas_slot,1,81304
23,overseas_slot,2,80470
23,overseas_slot,3,81089
23,internal_slot,0,45885
23,internal_slot,1,45912
23,internal_slot,2,45733
23,internal_slot,3,45698
