tick,sex,event_age_months,count
0,male,0,20
0,male,1,16
0,male,2,14
0,male,3,18
0,male,4,45
0,male,5,53
0,male,6,44
0,male,7,49
0,male,8,51
0,male,9,54
0,male,10,59
0,male,11,37
0,male,12,59
0,male,13,157
0,male,14,179
0,male,15,169
0,male,16,178
0,male,17,169
0,female,0,24
0,female,1,18
0,female,2,17
0,female,3,14
0,female,4,45
0,female,5,44
0,female,6,40
0,female,7,47
0,female,8,44
0,female,9,52
0,female,10,55
0,female,11,51
0,female,12,43
0,female,13,197
0,female,14,174
0,female,15,161
0,female,16,168
0,female,17,176
1,male,0,15
1,male,1,15
1,male,2,18
1,male,3,17
1,male,4,58
1,male,5,46
1,male,6,52
1,male,7,45
1,male,8,48
1,male,9,50
1,male,10,55
1,male,11,53
1,male,12,39
1,male,13,194
1,male,14,186
1,male,15,169
1,male,16,160
1,male,17,169
1,female,0,10
1,female,1,16
1,female,2,19
1,female,3,13
1,female,4,51
1,female,5,60
1,female,6,43
1,female,7,45
1,female,8,48
1,female,9,61
1,female,10,48
1,female,11,53
1,female,12,45
1,female,13,182
1,female,14,162
1,female,15,173
1,female,16,178
1,female,17,161
1,female,18,4
2,male,0,18
2,male,1,15
2,male,2,18
2,male,3,20
2,male,4,48
2,male,5,41
2,male,6,48
2,male,7,54
2,male,8,61
2,male,9,59
2,male,10,50
2,male,11,48
2,male,12,56
2,male,13,156
2,male,14,186
2,male,15,170
2,male,16,189
2,male,17,192
2,male,18,12
2,female,0,17
2,female,1,12
2,female,2,14
2,female,3,17
2,female,4,45
2,female,5,43
2,female,6,67
2,female,7,38
2,female,8,44
2,female,9,39
2,female,10,54
2,female,11,60
2,female,12,42
2,female,13,186
2,female,14,187
2,female,15,193
2,female,16,158
2,female,17,168
2,female,18,8
3,male,0,17
3,male,1,17
3,male,2,10
3,male,3,16
3,male,4,64
3,male,5,39
3,male,6,42
3,male,7,47
3,male,8,62
3,male,9,58
3,male,10,51
3,male,11,41
3,male,12,45
3,male,13,162
3,male,14,162
3,male,15,176
3,male,16,178
3,male,17,176
3,male,18,9
3,female,0,16
3,female,1,15
3,female,2,10
3,female,3,14
3,female,4,40
3,female,5,55
3,female,6,47
3,female,7,43
3,female,8,44
3,female,9,48
3,female,10,46
3,female,11,41
3,female,12,44
3,female,13,193
3,female,14,173
3,female,15,177
3,female,16,179
3,female,17,166
3,female,18,10
4,male,0,17
