tick,entry_stream,area,count
0,birth_slot,0,29183
0,birth_slot,1,29255
0,birth_slot,2,29157
0,birth_slot,3,29337
0,overseas_slot,0,12086
0,overseas_slot,1,12150
0,overseas_slot,2,12120
0,overseas_slot,3,12301
0,internal_slot,0,7327
0,internal_slot,1,7494
0,internal_slot,2,7461
0,internal_slot,3,7348
1,birth_slot,0,29971
1,birth_slot,1,30021
1,birth_slot,2,29859
1,birth_slot,3,30184
1,overseas_slot,0,11761
1,overseas_slot,1,11815
1,overseas_slot,2,11809
1,overseas_slot,3,11983
1,internal_slot,0,7232
1,internal_slot,1,7404
1,internal_slot,2,7370
1,internal_slot,3,7261
2,birth_slot,0,30760
2,birth_slot,1,30840
2,birth_slot,2,30652
2,birth_slot,3,30899
2,overseas_slot,0,11472
2,overseas_slot,1,11531
2,overseas_slot,2,11493
2,overseas_slot,3,11668
2,internal_slot,0,7134
2,internal_slot,1,7316
2,internal_slot,2,7290
2,internal_slot,3,7154
3,birth_slot,0,31607
3,birth_slot,1,31606
3,birth_slot,2,31432
3,birth_slot,3,31658
3,overseas_slot,0,11136
3,overseas_slot,1,11217
3,overseas_slot,2,11209
3,overseas_slot,3,11337
3,internal_slot,0,7049
3,internal_slot,1,7213
3,internal_slot,2,7210
3,internal_slot,3,7067
4,birth_slot,0,32300
4,birth_slot,1,32404
4,birth_slot,2,32092
4,birth_slot,3,32306
4,overseas_slot,0,10870
4,overseas_slot,1,10936
4,overseas_slot,2,10913
4,overseas_slot,3,11066
4,internal_slot,0,6962
4,internal_slot,1,7123
4,internal_slot,2,7113
4,internal_slot,3,6990
5,birth_slot,0,32961
5,birth_slot,1,33094
5,birth_slot,2,32761
5,birth_slot,3,32981
5,overseas_slot,0,10583
5,overseas_slot,1,10665
5,overseas_slot,2,10646
5,overseas_slot,3,10782
5,internal_slot,0,6870
5,internal_slot,1,7035
5,internal_slot,2,7021
5,internal_slot,3,6910
6,birth_slot,0,33642
6,birth_slot,1,33761
6,birth_slot,2,33471
6,birth_slot,3,33680
