tick,sex,area,age_months,count
0,male,0,0,5903
0,male,0,1,5533
0,male,0,2,5466
0,male,0,3,5545
0,male,0,4,5540
0,male,0,5,5462
0,male,0,6,5628
0,male,0,7,5602
0,male,0,8,5613
0,male,0,9,5550
0,male,0,10,5649
0,male,0,11,5559
0,male,0,12,5493
0,male,0,13,5443
0,male,0,14,5360
0,male,0,15,5382
0,male,0,16,5500
0,male,0,17,5463
0,male,0,18,82
0,male,1,0,5766
0,male,1,1,5633
0,male,1,2,5532
0,male,1,3,5482
0,male,1,4,5474
0,male,1,5,5658
0,male,1,6,5690
0,male,1,7,5600
0,male,1,8,5664
0,male,1,9,5507
0,male,1,10,5450
0,male,1,11,5685
0,male,1,12,5506
0,male,1,13,5423
0,male,1,14,5413
0,male,1,15,5542
0,male,1,16,5480
0,male,1,17,5491
0,male,1,18,109
0,male,2,0,5838
0,male,2,1,5516
0,male,2,2,5568
0,male,2,3,5556
0,male,2,4,5579
0,male,2,5,5569
0,male,2,6,5528
0,male,2,7,5381
0,male,2,8,5550
0,male,2,9,5614
0,male,2,10,5502
0,male,2,11,5609
0,male,2,12,5375
0,male,2,13,5549
0,male,2,14,5433
0,male,2,15,5389
0,male,2,16,5392
0,male,2,17,5452
0,male,2,18,93
0,male,3,0,5744
0,male,3,1,5526
0,male,3,2,5427
0,male,3,3,5621
0,male,3,4,5533
0,male,3,5,5609
0,male,3,6,5622
0,male,3,7,5527
0,male,3,8,5544
0,male,3,9,5625
0,male,3,10,5666
0,male,3,11,5662
0,male,3,12,5590
0,male,3,13,5458
0,male,3,14,5536
0,male,3,15,5434
0,male,3,16,5502
0,male,3,17,5327
0,male,3,18,91
0,female,0,0,5795
0,female,0,1,5677
0,female,0,2,5435
0,female,0,3,5484
0,female,0,4,5497
0,female,0,5,5537
0,female,0,6,5464
0,female,0,7,5599
0,female,0,8,5492
0,female,0,9,5518
0,female,0,10,5399
0,female,0,11,5491
0,female,0,12,5437
0,female,0,13,5468
0,female,0,14,5624
0,female,0,15,5438
0,female,0,16,5446
0,female,0,17,5473
0,female,0,18,98
0,female,1,0,5983
0,female,1,1,5479
0,female,1,2,5509
0,female,1,3,5543
0,female,1,4,5487
0,female,1,5,5484
0,female,1,6,5595
0,female,1,7,5435
0,female,1,8,5368
0,female,1,9,5423
0,female,1,10,5555
0,female,1,11,5585
0,female,1,12,5469
0,female,1,13,5620
0,female,1,14,5526
0,female,1,15,5427
0,female,1,16,5532
0,female,1,17,5462
0,female,1,18,83
0,female,2,0,5882
0,female,2,1,5540
0,female,2,2,5564
0,female,2,3,5559
0,female,2,4,5688
0,female,2,5,5598
0,female,2,6,5535
0,female,2,7,5559
0,female,2,8,5523
0,female,2,9,5592
0,female,2,10,5610
0,female,2,11,5590
0,female,2,12,5413
0,female,2,13,5490
0,female,2,14,5444
0,female,2,15,5530
0,female,2,16,5429
0,female,2,17,5452
0,female,2,18,96
0,female,3,0,5765
0,female,3,1,5523
0,female,3,2,5546
0,female,3,3,5370
0,female,3,4,5562
0,female,3,5,5604
0,female,3,6,5396
0,female,3,7,5593
0,female,3,8,5512
0,female,3,9,5732
0,female,3,10,5409
0,female,3,11,5629
0,female,3,12,5422
0,female,3,13,5448
0,female,3,14,5285
0,female,3,15,5393
0,female,3,16,5518
0,female,3,17,5602
0,female,3,18,97
1,male,0,0,6161
1,male,0,1,5525
1,male,0,2,5434
1,male,0,3,5526
1,male,0,4,5537
1,male,0,5,5423
1,male,0,6,5593
1,male,0,7,5583
1,male,0,8,5589
1,male,0,9,5537
1,male,0,10,5641
1,male,0,11,5535
1,male,0,12,5492
1,male,0,13,5328
1,male,0,14,5265
1,male,0,15,5307
1,male,0,16,5391
1,male,0,17,5390
1,male,0,18,172
1,male,1,0,6054
1,male,1,1,5606
1,male,1,2,5495
1,male,1,3,5489
1,male,1,4,5464
1,male,1,5,5617
1,male,1,6,5676
1,male,1,7,5566
1,male,1,8,5645
1,male,1,9,5499
1,male,1,10,5444
1,male,1,11,5657
1,male,1,12,5486
1,male,1,13,5364
1,male,1,14,5312
1,male,1,15,5448
1,male,1,16,5388
1,male,1,17,5403
1,male,1,18,191
1,male,2,0,6151
1,male,2,1,5507
1,male,2,2,5536
1,male,2,3,5531
1,male,2,4,5530
1,male,2,5,5569
1,male,2,6,5505
1,male,2,7,5378
1,male,2,8,5510
1,male,2,9,5601
1,male,2,10,5487
1,male,2,11,5584
1,male,2,12,5360
1,male,2,13,5508
1,male,2,14,5324
1,male,2,15,5321
1,male,2,16,5286
1,male,2,17,5364
1,male,2,18,188
1,male,3,0,6043
1,male,3,1,5490
1,male,3,2,5399
1,male,3,3,5609
1,male,3,4,5501
1,male,3,5,5589
1,male,3,6,5591
1,male,3,7,5507
1,male,3,8,5540
1,male,3,9,5595
1,male,3,10,5629
1,male,3,11,5657
1,male,3,12,5589
1,male,3,13,5368
1,male,3,14,5473
1,male,3,15,5343
1,male,3,16,5423
1,male,3,17,5252
1,male,3,18,183
1,female,0,0,6056
1,female,0,1,5650
1,female,0,2,5382
1,female,0,3,5498
1,female,0,4,5472
1,female,0,5,5507
1,female,0,6,5453
1,female,0,7,5590
1,female,0,8,5460
1,female,0,9,5478
1,female,0,10,5406
1,female,0,11,5476
1,female,0,12,5413
1,female,0,13,5403
1,female,0,14,5517
1,female,0,15,5379
1,female,0,16,5378
1,female,0,17,5385
1,female,0,18,189
1,female,1,0,6318
1,female,1,1,5468
1,female,1,2,5470
1,female,1,3,5538
1,female,1,4,5455
1,female,1,5,5490
1,female,1,6,5569
1,female,1,7,5444
1,female,1,8,5321
1,female,1,9,5421
1,female,1,10,5529
1,female,1,11,5557
1,female,1,12,5477
1,female,1,13,5529
1,female,1,14,5448
1,female,1,15,5320
1,female,1,16,5402
1,female,1,17,5426
1,female,1,18,145
1,female,2,0,6200
1,female,2,1,5531
1,female,2,2,5538
1,female,2,3,5525
1,female,2,4,5669
1,female,2,5,5572
1,female,2,6,5511
1,female,2,7,5538
1,female,2,8,5504
1,female,2,9,5559
1,female,2,10,5594
1,female,2,11,5576
1,female,2,12,5383
1,female,2,13,5409
1,female,2,14,5371
1,female,2,15,5426
1,female,2,16,5353
1,female,2,17,5371
1,female,2,18,183
1,female,3,0,6048
1,female,3,1,5495
1,female,3,2,5504
1,female,3,3,5387
1,female,3,4,5526
1,female,3,5,5590
1,female,3,6,5359
1,female,3,7,5597
1,female,3,8,5501
1,female,3,9,5700
1,female,3,10,5386
1,female,3,11,5616
1,female,3,12,5412
1,female,3,13,5340
1,female,3,14,5243
1,female,3,15,5300
1,female,3,16,5414
1,female,3,17,5519
1,female,3,18,184
2,male,0,0,6474
2,male,0,1,5498
2,male,0,2,5393
2,male,0,3,5506
2,male,0,4,5525
2,male,0,5,5382
2,male,0,6,5567
2,male,0,7,5578
2,male,0,8,5559
2,male,0,9,5523
2,male,0,10,5618
2,male,0,11,5500
2,male,0,12,5467
2,male,0,13,5299
2,male,0,14,5164
2,male,0,15,5229
2,male,0,16,5262
2,male,0,17,5295
2,male,0,18,259
2,male,1,0,6338
2,male,1,1,5576
2,male,1,2,5468
2,male,1,3,5486
2,male,1,4,5458
2,male,1,5,5594
2,male,1,6,5658
2,male,1,7,5542
2,male,1,8,5629
2,male,1,9,5465
2,male,1,10,5411
2,male,1,11,5643
2,male,1,12,5451
2,male,1,13,5294
2,male,1,14,5207
2,male,1,15,5378
2,male,1,16,5290
2,male,1,17,5303
2,male,1,18,293
2,male,2,0,6428
2,male,2,1,5482
2,male,2,2,5514
2,male,2,3,5506
2,male,2,4,5497
2,male,2,5,5551
2,male,2,6,5491
2,male,2,7,5360
2,male,2,8,5504
2,male,2,9,5546
2,male,2,10,5482
2,male,2,11,5560
2,male,2,12,5341
2,male,2,13,5430
2,male,2,14,5252
2,male,2,15,5261
2,male,2,16,5186
2,male,2,17,5268
2,male,2,18,261
2,male,3,0,6369
2,male,3,1,5460
2,male,3,2,5374
2,male,3,3,5596
2,male,3,4,5472
2,male,3,5,5580
2,male,3,6,5568
2,male,3,7,5470
2,male,3,8,5523
2,male,3,9,5550
2,male,3,10,5617
2,male,3,11,5641
2,male,3,12,5563
2,male,3,13,5300
2,male,3,14,5391
2,male,3,15,5218
2,male,3,16,5365
2,male,3,17,5150
2,male,3,18,272
2,female,0,0,6326
2,female,0,1,5622
2,female,0,2,5379
2,female,0,3,5468
2,female,0,4,5453
2,female,0,5,5492
2,female,0,6,5443
2,female,0,7,5581
2,female,0,8,5442
2,female,0,9,5413
2,female,0,10,5400
2,female,0,11,5450
2,female,0,12,5386
2,female,0,13,5331
2,female,0,14,5436
2,female,0,15,5299
2,female,0,16,5297
2,female,0,17,5273
2,female,0,18,277
2,female,1,0,6594
2,female,1,1,5468
2,female,1,2,5450
2,female,1,3,5513
2,female,1,4,5432
2,female,1,5,5482
2,female,1,6,5522
2,female,1,7,5415
2,female,1,8,5310
2,female,1,9,5404
2,female,1,10,5513
2,female,1,11,5537
2,female,1,12,5451
2,female,1,13,5474
2,female,1,14,5350
2,female,1,15,5247
2,female,1,16,5315
2,female,1,17,5319
2,female,1,18,230
2,female,2,0,6528
2,female,2,1,5482
2,female,2,2,5512
2,female,2,3,5508
2,female,2,4,5634
2,female,2,5,5562
2,female,2,6,5488
2,female,2,7,5522
2,female,2,8,5493
2,female,2,9,5548
2,female,2,10,5579
2,female,2,11,5525
2,female,2,12,5393
2,female,2,13,5327
2,female,2,14,5261
2,female,2,15,5331
2,female,2,16,5286
2,female,2,17,5259
2,female,2,18,273
2,female,3,0,6337
2,female,3,1,5492
2,female,3,2,5461
2,female,3,3,5394
2,female,3,4,5494
2,female,3,5,5560
2,female,3,6,5348
2,female,3,7,5587
2,female,3,8,5487
2,female,3,9,5676
2,female,3,10,5382
2,female,3,11,5578
2,female,3,12,5410
2,female,3,13,5278
2,female,3,14,5172
2,female,3,15,5187
2,female,3,16,5344
2,female,3,17,5414
2,female,3,18,278
3,male,0,0,6775
3,male,0,1,5476
3,male,0,2,5350
3,male,0,3,5493
3,male,0,4,5517
3,male,0,5,5362
3,male,0,6,5572
3,male,0,7,5544
3,male,0,8,5544
3,male,0,9,5516
3,male,0,10,5577
3,male,0,11,5488
3,male,0,12,5455
3,male,0,13,5268
3,male,0,14,5069
3,male,0,15,5157
3,male,0,16,5178
3,male,0,17,5214
3,male,0,18,349
3,male,1,0,6641
3,male,1,1,5544
3,male,1,2,5445
3,male,1,3,5480
3,male,1,4,5430
3,male,1,5,5566
3,male,1,6,5638
3,male,1,7,5536
3,male,1,8,5594
3,male,1,9,5422
3,male,1,10,5417
3,male,1,11,5596
3,male,1,12,5450
3,male,1,13,5235
3,male,1,14,5125
3,male,1,15,5289
3,male,1,16,5195
