tick,sex,event_age_months,count
0,male,0,24
0,male,1,17
0,male,2,21
0,male,3,24
0,male,4,72
0,male,5,81
0,male,6,63
0,male,7,72
0,male,8,79
0,male,9,85
0,male,10,84
0,male,11,59
0,male,12,79
0,male,13,214
0,male,14,236
0,male,15,212
0,male,16,222
0,male,17,225
0,female,0,30
0,female,1,24
0,female,2,18
0,female,3,17
0,female,4,74
0,female,5,73
0,female,6,68
0,female,7,61
0,female,8,78
0,female,9,78
0,female,10,77
0,female,11,77
0,female,12,74
0,female,13,249
0,female,14,215
0,female,15,212
0,female,16,230
0,female,17,236
1,male,0,20
1,male,1,18
1,male,2,23
1,male,3,21
1,male,4,84
1,male,5,72
1,male,6,77
1,male,7,71
1,male,8,67
1,male,9,72
1,male,10,72
1,male,11,64
1,male,12,63
1,male,13,243
1,male,14,246
1,male,15,224
1,male,16,204
1,male,17,212
1,female,0,18
1,female,1,19
1,female,2,29
1,female,3,18
1,female,4,81
1,female,5,82
1,female,6,73
1,female,7,71
1,female,8,66
1,female,9,94
1,female,10,71
1,female,11,82
1,female,12,66
1,female,13,237
1,female,14,216
1,female,15,223
1,female,16,229
1,female,17,212
1,female,18,5
2,male,0,24
2,male,1,21
2,male,2,25
2,male,3,22
2,male,4,66
2,male,5,65
2,male,6,73
2,male,7,75
2,male,8,81
2,male,9,84
2,male,10,71
2,male,11,71
2,male,12,80
2,male,13,210
2,male,14,244
2,male,15,217
2,male,16,238
2,male,17,242
2,male,18,13
2,female,0,20
2,female,1,16
2,female,2,21
2,female,3,22
2,female,4,61
2,female,5,71
2,female,6,94
2,female,7,59
2,female,8,56
2,female,9,59
2,female,10,86
2,female,11,81
2,female,12,68
2,female,13,237
2,female,14,236
2,female,15,242
2,female,16,197
2,female,17,217
2,female,18,9
3,male,0,22
3,male,1,23
3,male,2,18
3,male,3,20
3,male,4,87
3,male,5,63
3,male,6,65
3,male,7,68
3,male,8,86
3,male,9,81
3,male,10,75
3,male,11,61
3,male,12,77
3,male,13,195
3,male,14,201
3,male,15,224
3,male,16,215
3,male,17,212
3,male,18,11
3,female,0,22
3,female,1,21
3,female,2,12
3,female,3,16
3,female,4,67
3,female,5,81
3,female,6,69
3,female,7,65
3,female,8,68
3,female,9,71
3,female,10,64
3,female,11,71
3,female,12,68
3,female,13,249
3,female,14,214
3,female,15,232
3,female,16,217
3,female,17,215
3,female,18,13
4,male,0,19
4,male,1,27
4,male,2,18
4,male,3,26
4,male,4,85
4,male,5,82
4,male,6,78
4,male,7,76
4,male,8,75
4,male,9,63
4,male,10,92
4,male,11,67
4,male,12,78
4,male,13,219
4,male,14,193
4,male,15,198
4,male,16,210
4,male,17,212
4,male,18,16
4,female,0,20
4,female,1,27
4,female,2,35
4,female,3,23
4,female,4,77
4,female,5,85
4,female,6,64
4,female,7,84
4,female,8,65
4,female,9,70
4,female,10,74
4,female,11,75
4,female,12,85
4,female,13,218
4,female,14,209
4,female,15,200
4,female,16,207
4,female,17,231
4,female,18,13
5,male,0,22
5,male,1,24
5,male,2,17
5,male,3,24
5,male,4,78
5,male,5,73
5,male,6,76
5,male,7,73
5,male,8,64
5,male,9,79
5,male,10,90
5,male,11,68
5,male,12,66
5,male,13,224
5,male,14,204
5,male,15,228
5,male,16,239
5,male,17,200
5,male,18,17
5,female,0,28
5,female,1,26
5,female,2,19
5,female,3,18
5,female,4,59
5,female,5,72
5,female,6,63
5,female,7,72
5,female,8,84
5,female,9,85
5,female,10,74
5,female,11,71
5,female,12,73
5,female,13,206
5,female,14,219
5,female,15,213
5,female,16,209
5,female,17,222
5,female,18,12
6,male,0,32
6,male,1,28
6,male,2,33
6,male,3,23
6,male,4,73
6,male,5,76
6,male,6,68
6,male,7,65
6,male,8,74
6,male,9,76
6,male,10,77
6,male,11,74
6,male,12,73
6,male,13,203
6,male,14,216
6,male,15,183
6,male,16,187
6,male,17,206
6,male,18,23
6,female,0,19
6,female,1,29
6,female,2,15
6,female,3,27
6,female,4,75
6,female,5,80
6,female,6,74
6,female,7,67
6,female,8,71
6,female,9,69
6,female,10,68
6,female,11,70
6,female,12,72
6,female,13,197
6,female,14,198
6,female,15,189
6,female,16,230
6,female,17,185
6,female,18,20
7,male,0,30
7,male,1,16
7,male,2,32
7,male,3,25
7,male,4,60
7,male,5,48
7,male,6,70
7,male,7,58
7,male,8,80
7,male,9,73
7,male,10,66
7,male,11,78
7,male,12,73
7,male,13,211
7,male,14,247
7,male,15,224
7,male,16,212
7,male,17,193
7,male,18,22
7,female,0,33
7,female,1,21
7,female,2,22
7,female,3,35
7,female,4,79
7,female,5,85
7,female,6,63
7,female,7,73
7,female,8,86
7,female,9,80
7,female,10,76
7,female,11,73
7,female,12,85
7,female,13,204
7,female,14,230
7,female,15,217
7,female,16,212
7,female,17,190
7,female,18,14
8,male,0,31
8,male,1,18
8,male,2,16
8,male,3,21
8,male,4,79
8,male,5,84
8,male,6,64
8,male,7,71
8,male,8,77
8,male,9,86
8,male,10,59
8,male,11,76
8,male,12,60
8,male,13,209
8,male,14,227
8,male,15,204
8,male,16,231
8,male,17,187
8,male,18,15
8,female,0,20
8,female,1,28
8,female,2,19
8,female,3,20
8,female,4,81
8,female,5,63
8,female,6,83
8,female,7,70
8,female,8,80
8,female,9,73
8,female,10,80
8,female,11,80
8,female,12,62
8,female,13,222
8,female,14,194
8,female,15,198
8,female,16,191
8,female,17,223
8,female,18,28
9,male,0,40
9,male,1,25
9,male,2,23
9,male,3,22
9,male,4,65
9,male,5,78
9,male,6,68
9,male,7,67
9,male,8,58
9,male,9,69
9,male,10,70
9,male,11,64
9,male,12,72
9,male,13,220
9,male,14,208
9,male,15,185
9,male,16,194
9,male,17,188
9,male,18,36
9,female,0,30
9,female,1,23
9,female,2,19
9,female,3,18
9,female,4,68
9,female,5,83
9,female,6,75
9,female,7,62
9,female,8,79
9,female,9,77
9,female,10,72
9,female,11,86
9,female,12,71
9,female,13,215
9,female,14,184
9,female,15,196
9,female,16,195
9,female,17,195
9,female,18,34
10,male,0,24
10,male,1,16
10,male,2,25
10,male,3,13
10,male,4,70
10,male,5,71
10,male,6,79
10,male,7,67
10,male,8,67
10,male,9,76
10,male,10,86
10,male,11,73
10,male,12,72
10,male,13,204
10,male,14,190
10,male,15,196
10,male,16,187
10,male,17,216
10,male,18,36
10,female,0,26
10,female,1,19
10,female,2,21
10,female,3,24
10,female,4,65
10,female,5,67
10,female,6,66
10,female,7,80
10,female,8,59
10,female,9,75
10,female,10,69
10,female,11,68
10,female,12,71
10,female,13,217
10,female,14,195
10,female,15,197
10,female,16,195
10,female,17,199
10,female,18,33
11,male,0,39
11,male,1,22
11,male,2,21
11,male,3,35
11,male,4,79
11,male,5,64
11,male,6,47
11,male,7,75
11,male,8,65
11,male,9,85
11,male,10,52
11,male,11,65
11,male,12,84
11,male,13,212
11,male,14,166
11,male,15,168
11,male,16,176
11,male,17,196
11,male,18,30
11,female,0,27
11,female,1,20
11,female,2,24
11,female,3,23
11,female,4,62
11,female,5,74
11,female,6,66
11,female,7,83
11,female,8,86
11,female,9,72
11,female,10,79
11,female,11,69
11,female,12,73
11,female,13,208
11,female,14,208
11,female,15,217
11,female,16,199
11,female,17,185
11,female,18,40
12,male,0,32
12,male,1,23
12,male,2,20
12,male,3,19
12,male,4,59
12,male,5,81
12,male,6,70
12,male,7,84
12,male,8,68
12,male,9,71
12,male,10,54
12,male,11,83
12,male,12,78
12,male,13,205
12,male,14,191
12,male,15,197
12,male,16,209
12,male,17,187
12,male,18,46
12,female,0,25
12,female,1,14
12,female,2,22
12,female,3,29
12,female,4,65
12,female,5,68
12,female,6,70
12,female,7,65
12,female,8,58
12,female,9,62
12,female,10,75
12,female,11,69
12,female,12,59
12,female,13,182
12,female,14,191
12,female,15,202
12,female,16,186
12,female,17,201
12,female,18,39
13,male,0,39
13,male,1,20
13,male,2,24
13,male,3,19
13,male,4,72
13,male,5,56
13,male,6,65
13,male,7,73
13,male,8,69
13,male,9,60
13,male,10,67
13,male,11,63
13,male,12,52
13,male,13,238
13,male,14,155
13,male,15,202
13,male,16,190
13,male,17,198
13,male,18,48
13,female,0,25
13,female,1,13
13,female,2,15
13,female,3,20
13,female,4,73
13,female,5,65
13,female,6,94
13,female,7,91
13,female,8,72
13,female,9,69
13,female,10,62
13,female,11,59
13,female,12,70
13,female,13,205
13,female,14,202
13,female,15,204
13,female,16,218
13,female,17,175
13,female,18,45
14,male,0,34
14,male,1,16
14,male,2,22
14,male,3,26
14,male,4,83
14,male,5,81
14,male,6,52
14,male,7,57
14,male,8,73
14,male,9,75
14,male,10,69
14,male,11,71
14,male,12,62
14,male,13,198
14,male,14,175
14,male,15,185
14,male,16,164
14,male,17,167
14,male,18,52
14,female,0,50
14,female,1,23
14,female,2,13
14,female,3,20
14,female,4,79
14,female,5,66
14,female,6,62
14,female,7,64
14,female,8,70
14,female,9,58
14,female,10,59
14,female,11,77
14,female,12,63
14,female,13,192
14,female,14,194
14,female,15,191
14,female,16,185
14,female,17,192
14,female,18,44
15,male,0,42
15,male,1,33
15,male,2,29
15,male,3,15
15,male,4,58
15,male,5,58
15,male,6,67
15,male,7,61
15,male,8,77
15,male,9,50
15,male,10,54
15,male,11,80
15,male,12,63
15,male,13,194
15,male,14,175
15,male,15,177
15,male,16,189
15,male,17,176
15,male,18,37
15,female,0,41
15,female,1,14
15,female,2,23
15,female,3,18
15,female,4,72
15,female,5,67
15,female,6,78
15,female,7,54
15,female,8,70
15,female,9,82
15,female,10,84
15,female,11,79
15,female,12,67
15,female,13,205
15,female,14,195
15,female,15,165
15,female,16,187
15,female,17,184
15,female,18,41
16,male,0,47
16,male,1,33
16,male,2,26
16,male,3,22
16,male,4,75
16,male,5,78
16,male,6,76
16,male,7,68
16,male,8,72
16,male,9,73
16,male,10,52
16,male,11,70
16,male,12,70
16,male,13,168
16,male,14,178
16,male,15,173
16,male,16,165
16,male,17,183
16,male,18,44
16,female,0,34
16,female,1,19
16,female,2,20
16,female,3,24
16,female,4,73
16,female,5,70
16,female,6,57
16,female,7,74
16,female,8,54
16,female,9,61
16,female,10,70
16,female,11,60
16,female,12,69
16,female,13,217
16,female,14,197
16,female,15,159
16,female,16,173
16,female,17,173
16,female,18,50
17,male,0,39
17,male,1,26
17,male,2,26
17,male,3,25
17,male,4,77
17,male,5,69
17,male,6,78
17,male,7,84
17,male,8,70
17,male,9,48
17,male,10,71
17,male,11,69
17,male,12,63
17,male,13,176
17,male,14,195
17,male,15,177
17,male,16,170
17,male,17,157
17,male,18,45
17,female,0,43
17,female,1,21
17,female,2,33
17,female,3,28
17,female,4,64
17,female,5,73
17,female,6,66
17,female,7,75
17,female,8,59
17,female,9,58
17,female,10,72
17,female,11,61
17,female,12,68
17,female,13,184
17,female,14,173
17,female,15,199
17,female,16,207
17,female,17,169
17,female,18,59
18,male,0,38
18,male,1,21
18,male,2,28
18,male,3,20
18,male,4,64
18,male,5,72
18,male,6,45
18,male,7,62
18,male,8,67
18,male,9,58
18,male,10,70
18,male,11,62
18,male,12,63
18,male,13,184
18,male,14,182
18,male,15,173
18,male,16,172
18,male,17,152
18,male,18,49
18,female,0,49
18,female,1,19
18,female,2,23
18,female,3,20
18,female,4,72
18,female,5,61
18,female,6,69
18,female,7,60
18,female,8,74
18,female,9,77
18,female,10,79
18,female,11,62
18,female,12,79
18,female,13,193
18,female,14,168
18,female,15,181
18,female,16,179
18,female,17,164
18,female,18,52
19,male,0,47
19,male,1,24
19,male,2,18
19,male,3,25
19,male,4,59
19,male,5,63
19,male,6,61
19,male,7,73
19,male,8,68
19,male,9,57
19,male,10,56
19,male,11,67
19,male,12,74
19,male,13,199
19,male,14,185
19,male,15,165
19,male,16,162
19,male,17,177
19,male,18,55
19,female,0,51
19,female,1,21
19,female,2,25
19,female,3,28
19,female,4,82
19,female,5,69
19,female,6,77
19,female,7,77
19,female,8,59
19,female,9,75
19,female,10,71
19,female,11,66
19,female,12,49
19,female,13,184
19,female,14,174
19,female,15,179
19,female,16,201
19,female,17,154
19,female,18,45
20,male,0,47
20,male,1,25
20,male,2,19
20,male,3,20
20,male,4,79
20,male,5,59
20,male,6,69
20,male,7,71
20,male,8,49
20,male,9,62
20,male,10,71
20,male,11,71
20,male,12,79
20,male,13,225
20,male,14,179
20,male,15,210
20,male,16,148
20,male,17,184
20,male,18,47
20,female,0,34
20,female,1,25
20,female,2,18
20,female,3,26
20,female,4,66
20,female,5,63
20,female,6,61
