# params={"birth_rate":0.02022904647964734,"mortality_young":0.0008427157714453399,"mortality_adult":0.0036883650315834332,"mortality_old":0.012353541546035136,"overseas_arrival_rate":0.024941481907329643,"emigration_rate":0.0019160094422208149,"internal_departure_rate":0.0021016012342562626,"internal_arrival_rate":0.011631086146919881}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7964382,0,3982888,3981494,458159,442731,438614,444672,24088,43329,12402,15500,3521,16800,40011,1175912,487598,296479,1,8000000,0,24088,12402,3521,1492,14895,26942,15500,16800,209
1,7928570,0,3964841,3963729,472152,440783,432867,444386,23197,42847,12139,15078,3415,16638,38751,1228344,475459,293064,1,7964382,115640,23197,12139,3415,1439,14595,26813,15078,16638,199
2,7894098,0,3947664,3946434,487314,438677,427286,444207,24552,42398,11671,15276,3439,16460,39662,1278355,463788,289625,2,7928570,113314,24552,11671,3439,1504,14359,26535,15276,16460,220
3,7860790,0,3931051,3929739,503603,436787,422142,443903,25547,42411,11603,14801,3365,16611,40515,1326821,452275,286291,2,7894098,113796,25547,11603,3365,1520,14514,26377,14801,16611,193
4,7829291,0,3915586,3913705,521181,434995,416978,443388,26902,41641,11243,14964,3274,16313,41419,1373466,441256,283069,2,7860790,114338,26902,11243,3274,1499,14506,25636,14964,16313,178
5,7797786,0,3899930,3897856,539023,433003,411866,442866,27326,41749,10916,14833,3281,16446,41523,1418682,430639,279865,2,7829291,114337,27326,10916,3281,1587,14391,25771,14833,16446,209
6,7767782,0,3884758,3883024,558112,430997,406713,442258,28551,41339,10709,14935,3204,16194,42464,1462660,420311,276779,2,7797786,114551,28551,10709,3204,1563,14448,25328,14935,16194,211
7,7738777,0,3870233,3868544,577500,428880,401808,441500,28943,40746,10476,14677,3203,16204,42622,1505594,410271,273731,2,7767782,114932,28943,10476,3203,1545,14275,24926,14677,16204,200
8,7710767,0,3856229,3854538,598076,426896,397040,440640,30143,40598,10063,14510,3139,16247,43345,1546320,400788,270770,2,7738777,114249,30143,10063,3139,1504,14191,24903,14510,16247,208
9,7683598,0,3842783,3840815,619159,425196,392339,439793,30730,39996,9784,14620,3106,16173,43620,1586115,391654,267844,2,7710767,114700,30730,9784,3106,1590,13910,24496,14620,16173,197
10,7657939,0,3829918,3828021,641170,423341,387803,438834,31831,39772,9696,14622,3088,15880,44615,1624126,382699,264962,3,7683598,114409,31831,9696,3088,1516,14093,24163,14622,15880,184
11,7633154,0,3817604,3815550,663750,421473,383011,437977,32373,39232,9286,14393,3104,15923,44763,1660942,374252,262104,3,7657939,114889,32373,9286,3104,1654,13870,23708,14393,15923,188
12,7609574,0,3806062,3803512,687234,419319,378548,436880,33246,38752,9044,14452,3071,15737,45361,1696111,366084,259290,3,7633154,114311,33246,9044,3071,1584,13721,23447,14452,15737,170
13,7586652,0,3794680,3791972,711529,417119,374171,435734,34084,38594,9125,14582,2900,15855,46109,1729736,357880,256701,3,7609574,114302,34084,9125,2900,1533,13820,23241,14582,15855,187
14,7564695,0,3783875,3780820,736062,415000,369902,434473,34679,38045,8693,14479,2960,15765,46332,1762694,350293,254029,3,7586652,115140,34679,8693,2960,1559,13605,22881,14479,15765,175
15,7543480,0,3773195,3770285,761105,413252,365845,433047,35107,37836,8549,14325,3029,15739,46685,1794371,342891,251358,3,7564695,114621,35107,8549,3029,1660,13535,22641,14325,15739,181
16,7523341,0,3762742,3760599,786795,411367,361862,431722,35788,37282,8349,14185,2907,15716,47044,1824928,335724,248824,3,7543480,114585,35788,8349,2907,1685,13449,22148,14185,15716,167
17,7503578,0,3753056,3750522,812961,409308,357974,430334,36369,37398,8393,14225,2747,15649,47509,1854181,328546,246423,3,7523341,114227,36369,8393,2747,1681,13597,22120,14225,15649,162
18,7484651,0,3743246,3741405,839572,407551,354121,428884,37013,37085,8120,14186,2815,15604,47948,1882783,321659,244032,3,7503578,114781,37013,8120,2815,1656,13473,21956,14186,15604,178
19,7466558,0,3733993,3732565,867003,405826,350307,427423,37955,37166,7968,14072,2908,15686,48831,1909937,315033,241548,3,7484651,114823,37955,7968,2908,1720,13493,21953,14072,15686,176
20,7449606,0,3725599,3724007,894646,403825,346611,425792,38313,36273,7866,14299,2784,15343,48963,1936642,308654,239183,3,7466558,115755,38313,7866,2784,1647,13114,21512,14299,15343,193
21,7433008,0,3717495,3715513,922600,402027,342870,424012,38532,36134,7694,14205,2827,15312,49053,1962104,302408,236829,3,7449606,114878,38532,7694,2827,1707,13326,21101,14205,15312,170
22,7417519,0,3709509,3708010,951510,400261,339563,422399,39653,35890,7395,14098,2795,15344,49843,1986045,296557,234547,3,7433008,114704,39653,7395,2795,1771,13301,20818,14098,15344,184
23,7402098,0,3702145,3699953,980060,398607,336361,420831,39492,35469,7356,14105,2693,15388,49541,2009793,290796,232351,3,7417519,115175,39492,7356,2693,1853,13151,20465,14105,15388,190
