tick,sex,area,age_months,count
0,male,0,0,56860
0,male,0,1,55634
0,male,0,2,55346
0,male,0,3,55222
0,male,0,4,55304
0,male,0,5,55297
0,male,0,6,55480
0,male,0,7,55388
0,male,0,8,55369
0,male,0,9,55237
0,male,0,10,55657
0,male,0,11,55200
0,male,0,12,55071
0,male,0,13,54977
0,male,0,14,54797
0,male,0,15,54649
0,male,0,16,54866
0,male,0,17,54685
0,male,0,18,883
0,male,1,0,57180
0,male,1,1,55438
0,male,1,2,55383
0,male,1,3,55289
0,male,1,4,55517
0,male,1,5,55542
0,male,1,6,55773
0,male,1,7,55393
0,male,1,8,55433
0,male,1,9,55179
0,male,1,10,55110
0,male,1,11,55436
0,male,1,12,55210
0,male,1,13,54597
0,male,1,14,54373
0,male,1,15,54690
0,male,1,16,54350
0,male,1,17,54637
0,male,1,18,941
0,male,2,0,56638
0,male,2,1,55433
0,male,2,2,54967
0,male,2,3,55317
0,male,2,4,55254
0,male,2,5,54954
0,male,2,6,55646
0,male,2,7,55293
0,male,2,8,55695
0,male,2,9,55224
0,male,2,10,55176
0,male,2,11,55265
0,male,2,12,54584
0,male,2,13,55060
0,male,2,14,54375
0,male,2,15,54670
0,male,2,16,54160
0,male,2,17,54685
0,male,2,18,939
0,male,3,0,56819
0,male,3,1,55406
0,male,3,2,55187
0,male,3,3,55593
0,male,3,4,55448
0,male,3,5,55321
0,male,3,6,55323
0,male,3,7,55446
0,male,3,8,55070
0,male,3,9,55657
0,male,3,10,55429
0,male,3,11,55176
0,male,3,12,55363
0,male,3,13,54957
0,male,3,14,54608
0,male,3,15,54475
0,male,3,16,54584
0,male,3,17,54805
0,male,3,18,946
0,female,0,0,56806
0,female,0,1,55462
0,female,0,2,54953
0,female,0,3,55413
0,female,0,4,55131
0,female,0,5,55320
0,female,0,6,55061
0,female,0,7,55423
0,female,0,8,55059
0,female,0,9,55589
0,female,0,10,55265
0,female,0,11,54975
0,female,0,12,54526
0,female,0,13,54674
0,female,0,14,54868
0,female,0,15,54356
0,female,0,16,54498
0,female,0,17,54505
0,female,0,18,914
0,female,1,0,56805
0,female,1,1,55239
0,female,1,2,55515
0,female,1,3,55369
0,female,1,4,54771
0,female,1,5,55324
0,female,1,6,55350
0,female,1,7,55111
0,female,1,8,55025
0,female,1,9,55287
0,female,1,10,55200
0,female,1,11,55630
0,female,1,12,55052
0,female,1,13,55240
0,female,1,14,54872
0,female,1,15,54752
0,female,1,16,54747
0,female,1,17,54591
0,female,1,18,881
0,female,2,0,57490
0,female,2,1,55308
0,female,2,2,55074
0,female,2,3,55346
0,female,2,4,55492
0,female,2,5,55392
0,female,2,6,55367
0,female,2,7,55378
0,female,2,8,55230
0,female,2,9,54985
0,female,2,10,55271
0,female,2,11,55224
0,female,2,12,55136
0,female,2,13,54442
0,female,2,14,55179
0,female,2,15,55088
0,female,2,16,54689
0,female,2,17,54494
0,female,2,18,902
0,female,3,0,56942
0,female,3,1,55469
0,female,3,2,55744
0,female,3,3,55173
0,female,3,4,55406
0,female,3,5,55222
0,female,3,6,55443
0,female,3,7,55356
0,female,3,8,55307
0,female,3,9,55552
0,female,3,10,55351
0,female,3,11,55451
0,female,3,12,55066
0,female,3,13,54786
0,female,3,14,54541
0,female,3,15,54232
0,female,3,16,54897
0,female,3,17,55136
0,female,3,18,898
1,male,0,0,58279
1,male,0,1,55391
1,male,0,2,55086
1,male,0,3,55036
1,male,0,4,55108
1,male,0,5,55025
1,male,0,6,55144
1,male,0,7,55134
1,male,0,8,55061
1,male,0,9,54858
1,male,0,10,55328
1,male,0,11,54984
1,male,0,12,54775
1,male,0,13,54201
1,male,0,14,53991
1,male,0,15,53865
1,male,0,16,53933
1,male,0,17,53755
1,male,0,18,1790
1,male,1,0,58621
1,male,1,1,55192
1,male,1,2,55115
1,male,1,3,55143
1,male,1,4,55229
1,male,1,5,55232
1,male,1,6,55465
1,male,1,7,55098
1,male,1,8,55092
1,male,1,9,54925
1,male,1,10,54866
1,male,1,11,55195
1,male,1,12,54835
1,male,1,13,53950
1,male,1,14,53494
1,male,1,15,53907
1,male,1,16,53459
1,male,1,17,53767
1,male,1,18,1811
1,male,2,0,58159
1,male,2,1,55272
1,male,2,2,54740
1,male,2,3,55107
1,male,2,4,54897
1,male,2,5,54750
1,male,2,6,55376
1,male,2,7,55053
1,male,2,8,55404
1,male,2,9,54882
1,male,2,10,54897
1,male,2,11,54903
1,male,2,12,54365
1,male,2,13,54339
1,male,2,14,53574
1,male,2,15,53877
1,male,2,16,53272
1,male,2,17,53786
1,male,2,18,1818
1,male,3,0,58220
1,male,3,1,55147
1,male,3,2,54929
1,male,3,3,55420
1,male,3,4,55150
1,male,3,5,55032
1,male,3,6,55105
1,male,3,7,55011
1,male,3,8,54773
1,male,3,9,55384
1,male,3,10,55064
1,male,3,11,54961
1,male,3,12,55070
1,male,3,13,54232
1,male,3,14,53868
1,male,3,15,53722
1,male,3,16,53711
1,male,3,17,53871
1,male,3,18,1837
1,female,0,0,58192
1,female,0,1,55296
1,female,0,2,54698
1,female,0,3,55211
1,female,0,4,54885
1,female,0,5,54988
1,female,0,6,54804
1,female,0,7,55161
1,female,0,8,54819
1,female,0,9,55217
1,female,0,10,54991
1,female,0,11,54690
1,female,0,12,54249
1,female,0,13,53946
1,female,0,14,53948
1,female,0,15,53638
1,female,0,16,53636
1,female,0,17,53686
1,female,0,18,1753
1,female,1,0,58217
1,female,1,1,55001
1,female,1,2,55262
1,female,1,3,55240
1,female,1,4,54485
1,female,1,5,55066
1,female,1,6,54958
1,female,1,7,54903
1,female,1,8,54664
1,female,1,9,55059
1,female,1,10,54880
1,female,1,11,55323
1,female,1,12,54803
1,female,1,13,54518
1,female,1,14,54057
1,female,1,15,53905
1,female,1,16,53869
1,female,1,17,53765
1,female,1,18,1710
1,female,2,0,58949
1,female,2,1,55142
1,female,2,2,54892
1,female,2,3,55122
1,female,2,4,55186
1,female,2,5,55059
1,female,2,6,55117
1,female,2,7,55131
1,female,2,8,54927
1,female,2,9,54622
1,female,2,10,54957
1,female,2,11,54980
1,female,2,12,54805
1,female,2,13,53783
1,female,2,14,54380
1,female,2,15,54225
1,female,2,16,53868
1,female,2,17,53544
1,female,2,18,1794
1,female,3,0,58498
1,female,3,1,55222
1,female,3,2,55455
