tick,entry_stream,area,count
0,birth_slot,0,290935
0,birth_slot,1,292179
0,birth_slot,2,291382
0,birth_slot,3,292553
0,overseas_slot,0,122158
0,overseas_slot,1,121914
0,overseas_slot,2,121123
0,overseas_slot,3,122438
0,internal_slot,0,73486
0,internal_slot,1,73757
0,internal_slot,2,73235
0,internal_slot,3,73330
1,birth_slot,0,301714
1,birth_slot,1,303073
1,birth_slot,2,301931
1,birth_slot,3,303301
1,overseas_slot,0,119174
1,overseas_slot,1,118830
1,overseas_slot,2,118146
1,overseas_slot,3,119389
1,internal_slot,0,71946
1,internal_slot,1,72276
1,internal_slot,2,71652
1,internal_slot,3,71762
2,birth_slot,0,311807
2,birth_slot,1,313246
2,birth_slot,2,312026
2,birth_slot,3,313519
2,overseas_slot,0,116288
2,overseas_slot,1,115981
2,overseas_slot,2,115138
2,overseas_slot,3,116493
2,internal_slot,0,70453
2,internal_slot,1,70794
2,internal_slot,2,70219
2,internal_slot,3,70261
3,birth_slot,0,321410
3,birth_slot,1,322951
3,birth_slot,2,322076
3,birth_slot,3,323182
3,overseas_slot,0,113398
3,overseas_slot,1,113176
3,overseas_slot,2,112211
3,overseas_slot,3,113622
3,internal_slot,0,69017
3,internal_slot,1,69339
3,internal_slot,2,68691
3,internal_slot,3,68855
4,birth_slot,0,330580
4,birth_slot,1,332070
4,birth_slot,2,331329
4,birth_slot,3,332518
4,overseas_slot,0,110632
4,overseas_slot,1,110373
4,overseas_slot,2,109511
4,overseas_slot,3,110891
4,internal_slot,0,67572
4,internal_slot,1,67961
4,internal_slot,2,67275
4,internal_slot,3,67429
5,birth_slot,0,339511
5,birth_slot,1,340858
5,birth_slot,2,340269
5,birth_slot,3,341294
5,overseas_slot,0,107989
5,overseas_slot,1,107725
5,overseas_slot,2,106830
5,overseas_slot,3,108258
5,internal_slot,0,66198
5,internal_slot,1,66495
5,internal_slot,2,65943
5,internal_slot,3,66047
6,birth_slot,0,347752
6,birth_slot,1,349407
6,birth_slot,2,348782
6,birth_slot,3,350118
6,overseas_slot,0,105261
6,overseas_slot,1,105225
6,overseas_slot,2,104255
6,overseas_slot,3,105729
6,internal_slot,0,64927
6,internal_slot,1,65211
6,internal_slot,2,64668
6,internal_slot,3,64704
7,birth_slot,0,355963
7,birth_slot,1,357456
7,birth_slot,2,357201
7,birth_slot,3,358736
7,overseas_slot,0,102726
7,overseas_slot,1,102720
7,overseas_slot,2,101768
7,overseas_slot,3,103230
7,internal_slot,0,63628
7,internal_slot,1,63902
7,internal_slot,2,63403
7,internal_slot,3,63414
8,birth_slot,0,363767
8,birth_slot,1,365276
8,birth_slot,2,364905
8,birth_slot,3,366418
8,overseas_slot,0,100284
8,overseas_slot,1,100392
8,overseas_slot,2,99341
8,overseas_slot,3,100923
8,internal_slot,0,62398
8,internal_slot,1,62652
8,internal_slot,2,62174
8,internal_slot,3,62100
9,birth_slot,0,371169
9,birth_slot,1,372822
9,birth_slot,2,372747
9,birth_slot,3,373781
9,overseas_slot,0,98013
9,overseas_slot,1,98127
9,overseas_slot,2,97064
9,overseas_slot,3,98582
9,internal_slot,0,61205
9,internal_slot,1,61422
9,internal_slot,2,60957
9,internal_slot,3,60931
10,birth_slot,0,378523
10,birth_slot,1,380041
10,birth_slot,2,379668
10,birth_slot,3,380822
10,overseas_slot,0,95750
10,overseas_slot,1,95898
10,overseas_slot,2,94852
10,overseas_slot,3,96315
10,internal_slot,0,60011
10,internal_slot,1,60274
10,internal_slot,2,59836
10,internal_slot,3,59765
11,birth_slot,0,385425
11,birth_slot,1,386799
11,birth_slot,2,386549
11,birth_slot,3,387606
11,overseas_slot,0,93617
11,overseas_slot,1,93842
11,overseas_slot,2,92684
11,overseas_slot,3,94203
11,internal_slot,0,58900
11,internal_slot,1,59093
11,internal_slot,2,58644
11,internal_slot,3,58589
12,birth_slot,0,391728
12,birth_slot,1,393337
12,birth_slot,2,392817
12,birth_slot,3,394214
12,overseas_slot,0,91612
12,overseas_slot,1,91748
12,overseas_slot,2,90655
12,overseas_slot,3,92138
12,internal_slot,0,57687
12,internal_slot,1,57980
12,internal_slot,2,57554
12,internal_slot,3,57513
13,birth_slot,0,397928
13,birth_slot,1,399551
13,birth_slot,2,398667
13,birth_slot,3,400276
13,overseas_slot,0,89564
13,overseas_slot,1,89718
13,overseas_slot,2,88570
13,overseas_slot,3,90060
13,internal_slot,0,56686
13,internal_slot,1,57018
13,internal_slot,2,56468
13,internal_slot,3,56489
14,birth_slot,0,403955
14,birth_slot,1,405294
14,birth_slot,2,404675
14,birth_slot,3,406146
14,overseas_slot,0,87694
14,overseas_slot,1,87815
14,overseas_slot,2,86633
14,overseas_slot,3,88155
14,internal_slot,0,55661
14,internal_slot,1,55951
14,internal_slot,2,55416
14,internal_slot,3,55402
15,birth_slot,0,409649
15,birth_slot,1,410896
15,birth_slot,2,410262
15,birth_slot,3,411619
15,overseas_slot,0,85889
15,overseas_slot,1,85956
15,overseas_slot,2,84750
15,overseas_slot,3,86251
15,internal_slot,0,54594
15,internal_slot,1,54950
15,internal_slot,2,54430
15,internal_slot,3,54399
16,birth_slot,0,415039
16,birth_slot,1,416122
16,birth_slot,2,415571
16,birth_slot,3,416893
16,overseas_slot,0,84073
16,overseas_slot,1,84263
16,overseas_slot,2,82949
16,overseas_slot,3,84362
16,internal_slot,0,53625
16,internal_slot,1,53949
16,internal_slot,2,53430
16,internal_slot,3,53513
17,birth_slot,0,420233
17,birth_slot,1,421012
17,birth_slot,2,420231
17,birth_slot,3,421879
17,overseas_slot,0,82315
17,overseas_slot,1,82452
