# params={"birth_rate":0.023104117603386296,"mortality_young":0.0010574563681385858,"mortality_adult":0.003395902383542214,"mortality_old":0.010435146266838047,"overseas_arrival_rate":0.02425575109248637,"emigration_rate":0.002478261047345571,"internal_departure_rate":0.002763531098289396,"internal_arrival_rate":0.014501617104560716}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7963560,0,3982433,3981127,460958,442279,438958,444976,27486,38259,12068,19947,4355,22143,43909,1172514,487932,295645,1,8000000,0,27486,12068,4355,1868,13677,22714,19947,22143,252
1,7926796,0,3964119,3962677,477614,439927,433519,445019,26436,37975,11817,19555,4299,21786,42552,1226427,476115,291346,1,7963560,124258,26436,11817,4299,1845,13475,22655,19555,21786,255
2,7891537,0,3946506,3945031,495716,437446,428213,445078,28022,37494,11338,19561,4204,21768,43564,1277721,464777,287142,2,7926796,121868,28022,11338,4204,1845,13211,22438,19561,21768,276
3,7857457,0,3929452,3928005,514872,435182,423315,445095,29053,37544,11312,19226,4181,21856,44546,1327355,453557,283005,2,7891537,122387,29053,11312,4181,1898,13254,22392,19226,21856,244
4,7825472,0,3913701,3911771,535521,433004,418385,444878,30604,36912,10958,19196,4103,21542,45665,1375063,442837,278978,2,7857457,123172,30604,10958,4103,1889,13302,21721,19196,21542,227
5,7793582,0,3897740,3895842,556623,430589,413478,444586,31258,36969,10654,19221,4034,21646,45946,1421026,432499,275057,2,7825472,123315,31258,10654,4034,1956,13124,21889,19221,21646,260
6,7763349,0,3882553,3880796,579039,428202,408539,444301,32560,36682,10470,19266,3919,21234,46949,1465730,422440,271299,2,7793582,123782,32560,10470,3919,1945,13291,21446,19266,21234,267
7,7734454,0,3867985,3866469,601834,425658,403758,443835,33077,36061,10215,18924,3964,21166,47256,1509132,412718,267545,3,7763349,124131,33077,10215,3964,1933,13057,21071,18924,21166,246
8,7706089,0,3853823,3852266,625865,423297,399148,443228,34406,36121,9849,18932,3865,21432,48120,1550016,403481,263929,3,7734454,123407,34406,9849,3865,1907,13008,21206,18932,21432,258
9,7679038,0,3840469,3838569,650553,421225,394552,442680,35166,35528,9577,18848,3761,21179,48504,1590397,394595,260415,3,7706089,124605,35166,9577,3761,2002,12721,20805,18848,21179,247
10,7653416,0,3827732,3825684,676168,419039,390159,441935,36286,35427,9489,18831,3744,20883,49519,1628597,385885,256961,3,7679038,124059,36286,9489,3744,1932,12868,20627,18831,20883,215
11,7628643,0,3815361,3813282,702303,416804,385499,441374,36876,34965,9098,18622,3711,20871,49685,1665632,377681,253586,3,7653416,124660,36876,9098,3711,2043,12681,20241,18622,20871,234
12,7605410,0,3803932,3801478,729573,414325,381090,440548,38065,34526,8896,18670,3697,20695,50658,1700748,369720,250231,3,7628643,124143,38065,8896,3697,1995,12510,20021,18670,20695,213
13,7582677,0,3792753,3789924,757624,411726,376797,439727,38826,34364,8957,18784,3515,20883,51298,1734404,361758,247130,3,7605410,124549,38826,8957,3515,1954,12536,19874,18784,20883,233
14,7560971,0,3782035,3778936,785945,409253,372617,438729,39495,33948,8545,18662,3577,20713,51617,1767391,354357,243958,3,7582677,125329,39495,8545,3577,1980,12383,19585,18662,20713,230
15,7540391,0,3771706,3768685,814902,407133,368620,437681,40060,33502,8434,18543,3610,20639,52104,1798975,347125,240825,3,7560971,124940,40060,8434,3610,2023,12271,19208,18543,20639,228
16,7520714,0,3761677,3759037,844590,404840,364746,436594,40939,33381,8212,18278,3452,20621,52603,1828982,340160,237864,3,7540391,124788,40939,8212,3452,2127,12253,19001,18278,20621,199
17,7501646,0,3752307,3749339,874750,402424,360885,435509,41622,33275,8252,18349,3303,20621,53177,1857818,333231,235060,3,7520714,124883,41622,8252,3303,2145,12287,18843,18349,20621,215
18,7483636,0,3743003,3740633,905482,400350,357130,434382,42393,33046,8018,18268,3379,20486,53790,1885785,326536,232243,3,7501646,125422,42393,8018,3379,2120,12203,18723,18268,20486,238
19,7466120,0,3734025,3732095,936809,398263,353268,433160,43321,33219,7872,18352,3422,20560,54615,1912325,320067,229357,3,7483636,125590,43321,7872,3422,2248,12134,18837,18352,20560,216
20,7449824,0,3725932,3723892,968537,395891,349566,431834,43716,32419,7744,18365,3338,20310,54798,1938593,313882,226607,3,7466120,126746,43716,7744,3338,2169,11847,18403,18365,20310,230
21,7433988,0,3718246,3715742,1000363,393746,345865,430327,43863,32276,7612,18366,3290,19959,54765,1963675,307804,223932,3,7449824,125892,43863,7612,3290,2213,12020,18043,18366,19959,211
22,7419291,0,3710535,3708756,1033469,391620,342520,428944,45303,32134,7340,18295,3226,20137,55869,1986708,302073,221362,3,7433988,125366,45303,7340,3226,2254,12001,17879,18295,20137,217
23,7404418,0,3703420,3700998,1066169,389589,339250,427622,45162,31830,7274,18333,3155,20301,55591,2009769,296492,218857,3,7419291,126435,45162,7274,3155,2329,11841,17660,18333,20301,222
