# params={"birth_rate":0.02360037118078904,"mortality_young":0.0009349761334743985,"mortality_adult":0.002785037192122975,"mortality_old":0.010360942447766823,"overseas_arrival_rate":0.029638117249335447,"emigration_rate":0.0018490539389192364,"internal_departure_rate":0.001745224951107291,"internal_arrival_rate":0.025425070031529644}
# dt=1
tick,population,invalid_age,males,females,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,overseas_arrivals_this_tick,overseas_departures_this_tick,internal_arrivals_this_tick,internal_departures_this_tick,locked_out,vacant_birth_slots,vacant_overseas_slots,vacant_internal_slots,max_generation,fired_age_monthly,fired_clear_event,fired_birth_activate,fired_overseas_arrive,fired_internal_arrive,fired_die_young,fired_die_adult,fired_die_old,fired_emigrate,fired_internal_depart,deferred_total
0,7985976,0,3993369,3992607,462470,443780,440141,445835,28051,35604,14705,14679,7462,13959,50218,1171949,485295,292538,1,8000000,0,28051,14705,7462,1584,11134,22886,14679,13959,146
1,7971080,0,3986024,3985056,480678,442854,436028,446759,27112,35319,14289,14515,7303,13766,48704,1209079,471006,285235,1,7985976,114460,27112,14289,7303,1651,11112,22556,14515,13766,164
2,7956927,0,3978848,3978079,499914,441662,431753,447745,28182,35141,13890,14553,7173,13704,49245,1244497,457116,278062,2,7971080,112304,28182,13890,7173,1671,11018,22452,14553,13704,134
3,7943313,0,3972009,3971304,520116,440679,427937,448492,29092,34577,13352,14824,7027,13684,49471,1278645,443872,271085,2,7956927,112643,29092,13352,7027,1636,10912,22029,14824,13684,145
4,7929710,0,3965491,3964219,540840,439874,423998,449004,29880,35076,13174,14526,6750,13805,49804,1311532,430897,264454,2,7943313,112556,29880,13174,6750,1759,11033,22284,14526,13805,143
5,7916690,0,3958827,3957863,562384,438873,419976,449540,30715,34579,12491,14543,6610,13714,49816,1343766,418681,258027,2,7929710,113211,30715,12491,6610,1647,11016,21916,14543,13714,148
6,7903902,0,3952168,3951734,584334,437625,416151,450130,31227,34541,12237,14557,6620,13774,50084,1374788,406822,251616,2,7916690,112652,31227,12237,6620,1717,10973,21851,14557,13774,145
7,7891953,0,3946211,3945742,606938,436323,412079,450447,31981,33961,11651,14253,6149,13516,49781,1404948,395649,245720,3,7903902,112956,31981,11651,6149,1707,10764,21490,14253,13516,142
8,7880354,0,3940286,3940068,630117,435186,408473,450682,32534,33514,11493,14607,6185,13690,50212,1433258,384714,239863,3,7891953,111511,32534,11493,6185,1726,10663,21125,14607,13690,156
9,7869559,0,3934965,3934594,654367,434072,404717,450844,33756,33481,11168,14499,5962,13701,50886,1460261,374208,234291,3,7880354,112023,33756,11168,5962,1690,10896,20895,14499,13701,144
10,7859376,0,3929872,3929504,679106,433002,401031,450970,34316,33418,10974,14222,5926,13759,51216,1486435,364008,228782,3,7869559,112567,34316,10974,5926,1789,10680,20949,14222,13759,135
11,7850174,0,3925058,3925116,704435,431848,397146,451097,34888,33302,10890,14073,5748,13353,51526,1511636,353994,223468,3,7859376,112615,34888,10890,5748,1782,10826,20694,14073,13353,139
12,7839980,0,3919957,3920023,729808,430322,393570,451153,35064,33053,10286,14304,5549,13736,50899,1535897,344632,218398,3,7850174,112254,35064,10286,5549,1746,10830,20477,14304,13736,142
13,7830854,0,3915335,3915519,755907,428910,390269,451077,35930,32858,10227,14234,5466,13657,51623,1559609,335304,213484,3,7839980,111992,35930,10227,5466,1788,10820,20250,14234,13657,138
14,7822195,0,3911212,3910983,782484,427329,387067,450830,36695,32522,9825,14379,5282,13560,51802,1582055,326540,208749,3,7830854,112372,36695,9825,5282,1862,10699,19961,14379,13560,140
15,7813797,0,3906674,3907123,809279,426301,383772,450496,36728,32100,9493,14359,5245,13405,51466,1604114,318133,204092,3,7822195,112263,36728,9493,5245,1832,10698,19570,14359,13405,145
16,7805771,0,3902878,3902893,836542,425005,380608,450111,37366,32216,9366,14179,5199,13562,51931,1624891,309883,199498,3,7813797,111330,37366,9366,5199,1886,10596,19734,14179,13562,149
17,7798071,0,3899596,3898475,864323,423524,377334,449843,37986,31913,8979,14049,4982,13685,51947,1644977,302136,195169,3,7805771,111888,37986,8979,4982,1931,10542,19440,14049,13685,132
18,7790419,0,3895983,3894436,892258,422310,374207,449238,38324,31731,8803,14288,4876,13636,52003,1664398,294581,190947,3,7798071,111594,38324,8803,4876,1911,10532,19288,14288,13636,144
19,7783354,0,3892526,3890828,920801,420915,371080,448686,39067,31822,8585,14134,4764,13525,52416,1682939,287328,186898,3,7790419,111658,39067,8585,4764,1997,10584,19241,14134,13525,136
20,7776551,0,3889129,3887422,949563,419438,368014,447905,39376,31456,8368,14337,4745,13499,52489,1700919,280346,182892,3,7783354,111897,39376,8368,4745,2034,10375,19047,14337,13499,148
21,7770575,0,3886307,3884268,978942,418317,364936,447194,40010,31112,8144,14081,4611,13548,52765,1717957,273680,179047,3,7776551,111781,40010,8144,4611,2038,10385,18689,14081,13548,140
22,7764173,0,3882715,3881458,1008073,417156,361977,446415,39773,30977,8028,14226,4435,13435,52236,1734605,267142,175442,3,7770575,111506,39773,8028,4435,2025,10429,18523,14226,13435,127
23,7758402,0,3879798,3878604,1037748,415957,359027,445811,40561,31128,7854,14116,4366,13308,52781,1750288,260805,171953,3,7764173,110874,40561,7854,4366,2091,10451,18586,14116,13308,128
