tick,area,sex,count
0,nsw,male,51
0,nsw,female,48
0,vic,male,40
0,vic,female,24
0,qld,male,45
0,qld,female,25
0,sa,male,10
0,sa,female,10
0,wa,male,16
0,wa,female,14
0,tas,female,3
0,nt,male,2
0,nt,female,2
0,act,male,1
0,act,female,3
1,nsw,male,31
1,nsw,female,42
1,vic,male,32
1,vic,female,33
1,qld,male,28
1,qld,female,32
1,sa,male,4
1,sa,female,7
1,wa,male,16
1,wa,female,17
1,tas,male,4
1,tas,female,2
1,nt,male,2
1,nt,female,1
1,act,male,5
2,nsw,male,48
2,nsw,female,46
2,vic,male,35
2,vic,female,26
2,qld,male,23
2,qld,female,28
2,sa,male,9
2,sa,female,13
2,wa,male,17
2,wa,female,15
2,tas,male,3
2,tas,female,2
2,nt,male,2
2,nt,female,1
2,act,male,1
2,act,female,3
3,nsw,male,54
3,nsw,female,41
3,vic,male,33
3,vic,female,27
3,qld,male,25
3,qld,female,22
3,sa,male,9
3,sa,female,9
3,wa,male,12
3,wa,female,15
3,tas,female,2
3,nt,male,2
3,nt,female,1
3,act,male,3
3,act,female,2
4,nsw,male,37
4,nsw,female,49
4,vic,male,19
4,vic,female,25
4,qld,male,30
4,qld,female,32
4,sa,male,8
4,sa,female,11
4,wa,male,11
4,wa,female,20
4,tas,male,2
4,tas,female,1
4,nt,male,1
4,act,male,3
4,act,female,4
5,nsw,male,48
5,nsw,female,46
5,vic,male,32
5,vic,female,24
5,qld,male,16
5,qld,female,34
5,sa,male,8
5,sa,female,12
5,wa,male,17
5,wa,female,11
5,tas,male,5
5,tas,female,2
5,nt,male,2
5,act,male,4
5,act,female,1
6,nsw,male,45
6,nsw,female,45
6,vic,male,26
6,vic,female,34
6,qld,male,25
6,qld,female,29
6,sa,male,6
6,sa,female,10
6,wa,male,13
6,wa,female,12
6,tas,male,4
6,tas,female,4
6,nt,male,2
6,nt,female,1
6,act,male,2
6,act,female,2
7,nsw,male,41
7,nsw,female,42
7,vic,male,32
7,vic,female,42
7,qld,male,35
7,qld,female,22
7,sa,male,13
7,sa,female,3
7,wa,male,15
7,wa,female,8
7,tas,male,3
7,tas,female,1
7,act,male,2
7,act,female,1
8,nsw,male,37
8,nsw,female,40
8,vic,male,28
8,vic,female,29
8,qld,male,31
8,qld,female,24
8,sa,male,10
8,sa,female,14
8,wa,male,9
8,wa,female,8
8,tas,male,2
8,tas,female,1
8,nt,male,2
8,nt,female,5
8,act,male,5
8,act,female,4
9,nsw,male,47
9,nsw,female,42
9,vic,male,27
9,vic,female,42
9,qld,male,34
9,qld,female,26
9,sa,male,6
9,sa,female,10
9,wa,male,11
9,wa,female,13
9,tas,male,1
9,tas,female,6
9,nt,male,2
9,nt,female,2
9,act,male,5
9,act,female,4
10,nsw,male,32
10,nsw,female,43
10,vic,male,25
10,vic,female,31
10,qld,male,28
10,qld,female,26
10,sa,male,6
10,sa,female,7
10,wa,male,8
10,wa,female,9
10,tas,male,2
10,tas,female,6
10,nt,male,1
10,nt,female,3
10,act,male,1
10,act,female,1
11,nsw,male,51
11,nsw,female,38
11,vic,male,30
11,vic,female,27
11,qld,male,24
11,qld,female,29
11,sa,male,11
11,sa,female,10
11,wa,male,9
11,wa,female,16
11,tas,male,2
11,tas,female,1
11,nt,male,5
11,nt,female,3
11,act,male,2
11,act,female,7
12,nsw,male,32
12,nsw,female,38
12,vic,male,29
12,vic,female,26
12,qld,male,22
12,qld,female,35
12,sa,male,3
12,sa,female,9
12,wa,male,13
12,wa,female,10
12,tas,male,4
12,tas,female,1
12,nt,male,1
12,nt,female,1
12,act,male,3
12,act,female,5
13,nsw,male,42
13,nsw,female,42
13,vic,male,31
13,vic,female,20
13,qld,male,21
13,qld,female,24
13,sa,male,15
13,sa,female,6
13,wa,male,13
13,wa,female,12
13,tas,male,2
13,tas,female,2
13,nt,male,1
13,nt,female,3
13,act,male,5
13,act,female,2
14,nsw,male,37
14,nsw,female,36
14,vic,male,34
14,vic,female,32
14,qld,male,25
14,qld,female,31
14,sa,male,5
14,sa,female,10
14,wa,male,8
14,wa,female,10
14,tas,male,3
14,tas,female,3
14,nt,male,1
14,nt,female,2
14,act,female,1
15,nsw,male,59
15,nsw,female,37
15,vic,male,28
15,vic,female,24
15,qld,male,24
15,qld,female,33
15,sa,male,8
15,sa,female,10
15,wa,male,14
15,wa,female,12
15,tas,male,5
15,tas,female,2
15,nt,male,5
15,nt,female,4
15,act,male,5
16,nsw,male,39
16,nsw,female,27
16,vic,male,30
16,vic,female,23
16,qld,male,29
16,qld,female,24
16,sa,male,7
16,sa,female,6
16,wa,male,14
16,wa,female,8
16,tas,male,2
16,tas,female,1
16,nt,male,2
16,nt,female,1
16,act,male,1
16,act,female,2
17,nsw,male,42
17,nsw,female,37
17,vic,male,31
17,vic,female,22
17,qld,male,25
17,qld,female,19
17,sa,male,9
17,sa,female,7
17,wa,male,13
17,wa,female,7
17,tas,male,2
17,tas,female,2
17,nt,male,4
17,nt,female,3
17,act,male,4
17,act,female,3
18,nsw,male,37
18,nsw,female,41
18,vic,male,23
18,vic,female,22
18,qld,male,19
18,qld,female,18
18,sa,male,8
18,sa,female,11
18,wa,male,15
18,wa,female,7
18,tas,male,1
18,tas,female,2
18,nt,male,2
18,nt,female,2
18,act,female,1
19,nsw,male,50
19,nsw,female,32
19,vic,male,26
19,vic,female,35
19,qld,male,23
19,qld,female,39
19,sa,male,8
19,sa,female,10
19,wa,male,11
19,wa,female,12
19,tas,male,2
19,tas,female,3
19,nt,male,1
19,nt,female,2
19,act,male,2
19,act,female,4
20,nsw,male,36
20,nsw,female,36
20,vic,male,35
20,vic,female,22
20,qld,male,24
20,qld,female,18
20,sa,male,7
20,sa,female,7
20,wa,male,15
20,wa,female,12
20,tas,male,5
20,tas,female,2
20,nt,female,1
20,act,female,2
21,nsw,male,41
21,nsw,female,38
21,vic,male,25
21,vic,female,36
21,qld,male,21
21,qld,female,23
21,sa,male,7
21,sa,female,7
21,wa,male,11
21,wa,female,11
21,tas,male,2
21,tas,female,2
21,nt,male,1
21,nt,female,4
21,act,male,1
21,act,female,4
22,nsw,male,35
22,nsw,female,45
22,vic,male,27
22,vic,female,28
22,qld,male,19
22,qld,female,30
22,sa,male,6
22,sa,female,5
22,wa,male,13
22,wa,female,11
22,tas,male,4
22,tas,female,1
22,nt,male,3
22,nt,female,2
22,act,male,2
22,act,female,3
23,nsw,male,35
23,nsw,female,39
23,vic,male,29
23,vic,female,23
23,qld,male,19
23,qld,female,26
23,sa,male,8
23,sa,female,7
23,wa,male,10
23,wa,female,8
23,tas,male,5
23,tas,female,2
23,nt,male,2
23,nt,female,4
23,act,female,1
