tick,area,sex,count
0,nsw,male,23
0,nsw,female,22
0,vic,male,18
0,vic,female,15
0,qld,male,15
0,qld,female,11
0,sa,male,5
0,sa,female,5
0,wa,male,3
0,wa,female,10
0,tas,male,3
0,tas,female,4
0,act,male,1
1,nsw,male,24
1,nsw,female,17
1,vic,male,16
1,vic,female,11
1,qld,male,16
1,qld,female,12
1,sa,male,4
1,sa,female,2
1,wa,male,4
1,wa,female,7
1,tas,female,1
1,nt,male,1
2,nsw,male,20
2,nsw,female,20
2,vic,male,18
2,vic,female,14
2,qld,male,11
2,qld,female,11
2,sa,male,1
2,sa,female,5
2,wa,male,4
2,wa,female,8
2,tas,male,3
2,tas,female,1
2,nt,male,1
2,act,female,1
3,nsw,male,27
3,nsw,female,24
3,vic,male,16
3,vic,female,10
3,qld,male,7
3,qld,female,15
3,sa,male,5
3,sa,female,2
3,wa,male,8
3,wa,female,7
3,tas,male,2
3,tas,female,2
3,nt,female,2
3,act,female,2
4,nsw,male,22
4,nsw,female,23
4,vic,male,15
4,vic,female,8
4,qld,male,10
4,qld,female,8
4,sa,male,5
4,sa,female,9
4,wa,male,4
4,wa,female,5
4,tas,male,1
4,nt,male,1
4,act,male,3
4,act,female,1
5,nsw,male,17
5,nsw,female,17
5,vic,male,11
5,vic,female,23
5,qld,male,10
5,qld,female,14
5,sa,male,11
5,sa,female,2
5,wa,male,5
5,wa,female,7
5,tas,male,3
5,tas,female,2
5,nt,male,2
5,act,male,1
6,nsw,male,23
6,nsw,female,13
6,vic,male,9
6,vic,female,11
6,qld,male,10
6,qld,female,14
6,sa,male,8
6,sa,female,6
6,wa,male,8
6,wa,female,1
6,tas,male,3
6,nt,female,1
6,act,female,2
7,nsw,male,23
7,nsw,female,16
7,vic,male,12
7,vic,female,18
7,qld,male,12
7,qld,female,16
7,sa,male,6
7,sa,female,3
7,wa,male,4
7,wa,female,3
7,tas,male,3
7,act,male,2
8,nsw,male,16
8,nsw,female,16
8,vic,male,19
8,vic,female,15
8,qld,male,15
8,qld,female,8
8,sa,male,4
8,sa,female,3
8,wa,male,5
8,wa,female,1
8,tas,male,2
8,tas,female,2
8,act,male,1
8,act,female,2
9,nsw,male,12
9,nsw,female,20
9,vic,male,15
9,vic,female,18
9,qld,male,10
9,qld,female,13
9,sa,male,6
9,sa,female,4
9,wa,male,3
9,wa,female,6
10,nsw,male,12
10,nsw,female,20
10,vic,male,19
10,vic,female,24
10,qld,male,8
10,qld,female,15
10,sa,male,6
10,sa,female,3
10,wa,male,8
10,wa,female,6
10,tas,male,1
10,tas,female,4
11,nsw,male,16
11,nsw,female,16
11,vic,male,11
11,vic,female,20
11,qld,male,11
11,qld,female,8
11,sa,male,4
11,sa,female,9
11,wa,male,3
11,wa,female,4
11,tas,male,1
11,tas,female,3
12,nsw,male,20
12,nsw,female,14
12,vic,male,13
12,vic,female,11
12,qld,male,9
12,qld,female,9
12,sa,male,5
12,sa,female,5
12,wa,male,11
12,wa,female,4
12,tas,male,3
12,tas,female,2
12,act,female,1
13,nsw,male,24
13,nsw,female,20
13,vic,male,12
13,vic,female,21
13,qld,male,14
13,qld,female,8
13,sa,male,5
13,sa,female,4
13,wa,male,6
13,wa,female,5
13,tas,male,1
13,tas,female,1
13,act,male,1
14,nsw,male,24
14,nsw,female,19
14,vic,male,15
14,vic,female,20
14,qld,male,12
14,qld,female,11
14,sa,male,3
14,sa,female,7
14,wa,male,7
14,wa,female,5
14,tas,male,1
14,tas,female,2
14,act,male,2
14,act,female,2
15,nsw,male,21
15,nsw,female,18
15,vic,male,10
15,vic,female,15
15,qld,male,11
15,qld,female,10
15,sa,male,4
15,sa,female,7
15,wa,male,5
15,wa,female,7
15,tas,male,3
15,nt,male,1
15,act,female,1
16,nsw,male,26
16,nsw,female,17
16,vic,male,17
16,vic,female,12
16,qld,male,18
16,qld,female,10
16,sa,male,5
16,sa,female,10
16,wa,male,4
16,wa,female,8
16,tas,male,1
16,tas,female,3
16,nt,female,1
16,act,male,1
16,act,female,2
17,nsw,male,17
17,nsw,female,18
17,vic,male,17
17,vic,female,11
17,qld,male,11
17,qld,female,13
17,sa,male,6
17,sa,female,3
17,wa,male,5
17,wa,female,12
17,tas,female,2
17,nt,female,1
18,nsw,male,19
18,nsw,female,19
18,vic,male,10
18,vic,female,23
18,qld,male,11
18,qld,female,10
18,sa,male,7
18,sa,female,7
18,wa,male,9
18,wa,female,6
18,tas,male,2
18,tas,female,5
18,nt,female,1
19,nsw,male,21
19,nsw,female,15
19,vic,male,26
19,vic,female,18
19,qld,male,10
19,qld,female,6
19,sa,male,3
19,sa,female,9
19,wa,male,6
19,wa,female,8
19,tas,male,1
19,tas,female,2
19,act,male,1
19,act,female,1
20,nsw,male,24
20,nsw,female,18
20,vic,male,14
20,vic,female,13
20,qld,male,12
20,qld,female,12
20,sa,male,7
20,sa,female,8
20,wa,male,11
20,wa,female,7
20,tas,female,2
20,act,male,1
21,nsw,male,16
21,nsw,female,26
21,vic,male,21
21,vic,female,18
21,qld,male,11
21,qld,female,9
