tick,area,sex,event_age_months,count
0,nsw,male,0,1
0,nsw,male,2,1
0,nsw,male,7,1
0,nsw,male,8,1
0,nsw,male,9,1
0,nsw,male,10,2
0,nsw,male,11,1
0,nsw,male,12,1
0,nsw,male,13,1
0,nsw,male,14,4
0,nsw,male,16,5
0,nsw,male,17,1
0,nsw,male,18,2
0,nsw,male,19,1
0,nsw,female,10,1
0,nsw,female,13,2
0,nsw,female,14,1
0,nsw,female,15,4
0,nsw,female,16,2
0,nsw,female,17,6
0,nsw,female,18,2
0,nsw,female,19,4
0,vic,male,12,5
0,vic,male,13,1
0,vic,male,14,2
0,vic,male,15,2
0,vic,male,16,2
0,vic,male,17,5
0,vic,male,18,1
0,vic,female,5,1
0,vic,female,12,2
0,vic,female,16,1
0,vic,female,17,6
0,vic,female,18,1
0,vic,female,19,4
0,qld,male,0,1
0,qld,male,8,1
0,qld,male,9,2
0,qld,male,11,2
0,qld,male,12,1
0,qld,male,13,1
0,qld,male,14,3
0,qld,male,15,2
0,qld,male,17,2
0,qld,female,12,1
0,qld,female,15,2
0,qld,female,16,2
0,qld,female,17,3
0,qld,female,18,2
0,qld,female,19,1
0,sa,male,9,1
0,sa,male,13,1
0,sa,male,16,2
0,sa,male,17,1
0,sa,female,14,1
0,sa,female,15,1
0,sa,female,16,1
0,sa,female,17,2
0,wa,male,13,1
0,wa,male,14,1
0,wa,male,17,1
0,wa,female,9,2
0,wa,female,14,1
0,wa,female,15,1
0,wa,female,17,3
0,wa,female,18,2
0,wa,female,19,1
0,tas,male,8,1
0,tas,male,14,2
0,tas,female,12,1
0,tas,female,13,2
0,tas,female,15,1
0,act,male,16,1
1,nsw,male,9,1
1,nsw,male,11,2
1,nsw,male,12,2
1,nsw,male,13,2
1,nsw,male,14,2
1,nsw,male,15,5
1,nsw,male,16,4
1,nsw,male,17,5
1,nsw,male,18,1
1,nsw,female,12,2
1,nsw,female,14,2
1,nsw,female,15,3
1,nsw,female,16,2
1,nsw,female,17,3
1,nsw,female,18,4
1,nsw,female,19,1
1,vic,male,0,1
1,vic,male,8,2
1,vic,male,9,1
1,vic,male,10,2
1,vic,male,12,2
1,vic,male,13,1
1,vic,male,15,2
1,vic,male,16,2
1,vic,male,17,2
1,vic,male,18,1
1,vic,female,0,2
1,vic,female,5,1
1,vic,female,13,2
1,vic,female,15,3
1,vic,female,16,2
1,vic,female,20,1
1,qld,male,3,1
1,qld,male,9,1
1,qld,male,10,1
1,qld,male,12,1
1,qld,male,13,3
1,qld,male,15,3
1,qld,male,16,1
1,qld,male,17,3
1,qld,male,18,1
1,qld,male,19,1
1,qld,female,12,1
1,qld,female,13,1
1,qld,female,14,1
1,qld,female,16,2
1,qld,female,17,4
1,qld,female,18,2
1,qld,female,20,1
1,sa,male,15,1
1,sa,male,16,2
1,sa,male,19,1
1,sa,female,11,1
1,sa,female,18,1
1,wa,male,9,1
1,wa,male,15,1
1,wa,male,17,1
1,wa,male,18,1
1,wa,female,10,1
1,wa,female,12,1
1,wa,female,14,1
1,wa,female,15,1
1,wa,female,16,2
1,wa,female,17,1
1,tas,female,11,1
1,nt,male,12,1
2,nsw,male,7,1
2,nsw,male,8,1
2,nsw,male,9,2
2,nsw,male,11,1
2,nsw,male,12,1
2,nsw,male,13,2
2,nsw,male,14,3
2,nsw,male,15,3
2,nsw,male,16,1
2,nsw,male,17,1
2,nsw,male,18,3
2,nsw,male,19,1
2,nsw,female,11,1
2,nsw,female,12,1
2,nsw,female,13,2
2,nsw,female,14,2
2,nsw,female,15,1
2,nsw,female,16,2
2,nsw,female,17,6
2,nsw,female,18,5
2,vic,male,8,1
2,vic,male,9,1
2,vic,male,12,2
2,vic,male,14,1
2,vic,male,15,3
2,vic,male,16,6
2,vic,male,17,3
2,vic,male,18,1
2,vic,female,9,1
2,vic,female,10,1
2,vic,female,12,1
2,vic,female,13,1
