tick,prev_area,area,sex,event_age_months,count
0,nsw,vic,male,0,1
0,nsw,vic,male,8,1
0,nsw,vic,male,12,1
0,nsw,vic,female,4,1
0,nsw,vic,female,8,1
0,nsw,vic,female,10,1
0,nsw,qld,male,14,1
0,nsw,qld,female,2,1
0,nsw,qld,female,5,1
0,nsw,qld,female,6,1
0,nsw,qld,female,7,1
0,nsw,qld,female,8,1
0,nsw,qld,female,10,1
0,nsw,sa,male,4,1
0,nsw,sa,male,5,1
0,nsw,sa,male,9,1
0,nsw,sa,female,7,1
0,nsw,wa,female,6,1
0,nsw,tas,male,0,1
0,nsw,tas,male,4,1
0,nsw,tas,male,8,1
0,nsw,tas,female,3,1
0,nsw,nt,male,3,1
0,nsw,nt,male,4,1
0,nsw,nt,female,4,1
0,nsw,nt,female,5,1
0,nsw,nt,female,6,1
0,nsw,nt,female,10,1
0,nsw,act,male,3,1
0,nsw,act,male,6,1
0,nsw,act,female,11,1
0,vic,nsw,male,2,1
0,vic,nsw,male,6,1
0,vic,nsw,female,2,1
0,vic,nsw,female,5,1
0,vic,nsw,female,9,1
0,vic,nsw,female,10,1
0,vic,qld,male,4,1
0,vic,qld,female,5,1
0,vic,qld,female,10,1
0,vic,sa,male,1,1
0,vic,sa,male,4,1
0,vic,sa,female,10,1
0,vic,wa,male,8,1
0,vic,wa,female,0,1
0,vic,wa,female,7,1
0,vic,tas,male,4,1
0,vic,tas,male,6,1
0,vic,tas,female,9,1
0,vic,nt,male,5,1
0,vic,nt,male,9,1
0,vic,nt,female,7,1
0,vic,act,male,7,1
0,vic,act,male,8,2
0,vic,act,female,6,1
0,qld,nsw,male,4,1
0,qld,nsw,female,3,1
0,qld,nsw,female,4,1
0,qld,nsw,female,6,1
0,qld,vic,male,2,1
0,qld,vic,male,4,1
0,qld,vic,male,5,1
0,qld,vic,male,8,1
0,qld,vic,male,10,1
0,qld,vic,female,4,1
0,qld,sa,male,1,1
0,qld,sa,female,0,1
0,qld,sa,female,5,1
0,qld,wa,male,3,1
0,qld,wa,male,6,1
0,qld,wa,male,7,1
0,qld,wa,male,14,1
0,qld,wa,female,13,1
0,qld,tas,male,2,1
0,qld,tas,male,7,1
0,qld,tas,male,9,1
0,qld,tas,female,0,1
0,qld,tas,female,3,1
0,qld,nt,male,1,1
0,qld,nt,male,9,1
0,qld,act,male,3,2
0,qld,act,male,10,1
0,qld,act,female,7,1
0,qld,act,female,8,1
0,sa,nsw,male,12,1
0,sa,vic,female,8,1
0,sa,qld,male,6,1
0,sa,qld,male,13,1
0,sa,wa,female,3,1
0,sa,tas,male,6,1
0,sa,act,female,3,1
0,wa,nsw,male,10,1
0,wa,nsw,female,6,1
0,wa,nsw,female,13,1
0,wa,vic,male,4,2
0,wa,vic,male,11,1
0,wa,vic,female,12,2
0,wa,qld,male,6,1
0,wa,sa,female,5,1
0,wa,tas,male,12,1
0,wa,nt,female,6,1
0,wa,act,male,0,1
0,tas,wa,male,3,1
0,tas,act,female,1,1
0,nt,sa,male,3,1
0,act,qld,male,7,1
0,act,tas,male,0,1
0,act,nt,male,5,1
1,nsw,vic,male,7,1
1,nsw,vic,female,3,1
1,nsw,vic,female,7,1
1,nsw,qld,male,9,1
1,nsw,qld,female,1,1
1,nsw,qld,female,6,1
1,nsw,qld,female,12,1
1,nsw,sa,male,3,1
1,nsw,sa,male,5,1
1,nsw,sa,male,8,1
1,nsw,sa,female,8,1
1,nsw,sa,female,9,2
1,nsw,sa,female,10,1
1,nsw,sa,female,11,1
1,nsw,wa,male,10,1
1,nsw,wa,female,1,1
1,nsw,wa,female,6,1
1,nsw,wa,female,9,1
1,nsw,wa,female,12,1
1,nsw,tas,male,3,1
1,nsw,tas,female,3,1
1,nsw,tas,female,11,1
1,nsw,nt,male,0,1
1,nsw,nt,male,9,1
1,nsw,nt,male,13,1
1,nsw,nt,female,5,1
1,nsw,nt,female,7,1
1,nsw,act,male,6,1
1,vic,nsw,female,7,1
1,vic,qld,male,9,1
1,vic,qld,female,5,1
1,vic,qld,female,7,2
1,vic,sa,female,2,1
1,vic,wa,female,4,1
1,vic,wa,female,7,1
1,vic,wa,female,8,1
1,vic,tas,male,8,1
1,vic,tas,female,10,1
1,vic,nt,male,3,1
1,vic,nt,male,6,1
1,vic,nt,male,8,1
1,vic,nt,male,9,1
1,vic,nt,male,11,1
1,vic,act,male,4,1
1,vic,act,male,5,1
1,vic,act,female,5,1
1,vic,act,female,7,1
1,vic,act,female,15,1
1,qld,nsw,male,1,1
1,qld,nsw,male,3,1
1,qld,nsw,male,4,1
1,qld,nsw,male,9,1
1,qld,nsw,male,12,1
1,qld,nsw,male,13,1
1,qld,nsw,female,7,1
1,qld,vic,female,6,1
1,qld,vic,female,8,1
1,qld,sa,female,13,1
1,qld,wa,female,6,1
1,qld,wa,female,10,1
1,qld,tas,male,1,1
1,qld,tas,male,5,1
1,qld,tas,female,7,1
1,qld,nt,female,3,1
1,qld,nt,female,4,1
1,qld,act,male,4,1
1,qld,act,male,11,1
1,sa,nsw,male,4,1
1,sa,nsw,male,6,1
1,sa,vic,male,9,1
1,sa,wa,female,9,1
1,sa,wa,female,10,1
1,sa,tas,female,3,1
1,sa,tas,female,12,1
1,sa,nt,female,11,1
1,sa,act,male,2,1
1,sa,act,male,18,1
1,wa,vic,female,9,1
1,wa,qld,male,6,1
1,wa,qld,female,10,1
1,wa,sa,male,5,1
1,wa,tas,male,5,2
1,wa,tas,female,4,1
1,tas,nt,male,9,1
1,nt,qld,male,3,1
1,nt,tas,female,9,1
1,act,wa,male,2,1
1,act,tas,male,6,1
2,nsw,vic,male,1,1
2,nsw,vic,male,2,1
2,nsw,vic,male,3,2
2,nsw,vic,female,4,1
2,nsw,vic,female,5,1
2,nsw,vic,female,8,1
2,nsw,sa,male,2,1
2,nsw,sa,male,3,1
2,nsw,sa,male,4,2
2,nsw,sa,male,5,1
2,nsw,sa,male,7,1
2,nsw,sa,male,8,1
2,nsw,sa,male,11,1
2,nsw,sa,female,4,1
2,nsw,wa,male,5,1
2,nsw,wa,female,4,1
2,nsw,tas,male,10,1
2,nsw,tas,female,1,1
2,nsw,tas,female,8,1
2,nsw,tas,female,10,1
2,nsw,nt,male,5,1
2,nsw,nt,female,2,1
2,nsw,nt,female,4,1
2,nsw,act,male,6,1
2,nsw,act,female,3,1
2,nsw,act,female,10,2
2,vic,nsw,female,6,1
2,vic,qld,male,5,1
2,vic,qld,female,11,1
2,vic,sa,male,9,1
2,vic,sa,male,13,1
2,vic,sa,female,2,2
2,vic,sa,female,7,1
2,vic,wa,male,1,1
2,vic,wa,male,10,1
2,vic,wa,female,2,2
2,vic,tas,male,0,1
2,vic,tas,male,5,1
2,vic,tas,male,9,1
2,vic,tas,female,3,1
2,vic,nt,male,7,1
2,vic,nt,male,12,1
2,vic,nt,female,8,1
2,vic,nt,female,9,1
2,vic,act,male,7,1
2,vic,act,male,8,1
2,vic,act,female,4,1
2,qld,nsw,male,1,1
2,qld,nsw,male,7,2
2,qld,nsw,male,8,1
2,qld,nsw,female,8,1
2,qld,vic,male,4,1
2,qld,vic,male,5,1
2,qld,vic,male,6,1
2,qld,vic,male,10,1
2,qld,vic,male,14,1
2,qld,vic,female,3,1
2,qld,vic,female,11,1
2,qld,vic,female,13,1
2,qld,sa,male,3,1
2,qld,sa,female,0,1
2,qld,sa,female,6,1
2,qld,sa,female,9,1
2,qld,wa,male,13,1
2,qld,wa,female,4,1
2,qld,wa,female,10,1
2,qld,tas,female,11,1
2,qld,nt,female,0,1
2,qld,act,male,4,1
2,qld,act,male,10,1
2,qld,act,male,11,1
2,qld,act,female,3,1
2,sa,nsw,male,7,1
2,sa,nsw,male,8,1
2,sa,tas,female,1,1
2,sa,nt,male,0,1
2,sa,nt,female,4,1
2,sa,nt,female,10,1
2,wa,nsw,female,2,1
2,wa,nsw,female,5,1
2,wa,nsw,female,7,1
2,wa,vic,male,6,1
2,wa,qld,male,5,1
2,wa,qld,male,7,1
2,wa,sa,female,5,1
2,wa,sa,female,7,1
2,wa,tas,male,9,2
2,wa,tas,female,2,1
2,wa,nt,male,2,1
2,wa,nt,male,3,1
2,wa,nt,male,6,1
2,wa,nt,female,13,1
2,wa,act,male,9,1
2,wa,act,female,0,1
2,tas,nsw,female,12,1
2,tas,act,female,4,1
2,nt,act,female,2,1
2,act,vic,female,5,1
2,act,qld,female,4,1
3,nsw,vic,male,8,1
3,nsw,vic,male,15,1
3,nsw,vic,female,0,2
3,nsw,vic,female,5,1
3,nsw,vic,female,7,3
3,nsw,vic,female,9,1
3,nsw,vic,female,14,1
3,nsw,qld,male,3,1
3,nsw,qld,male,13,1
3,nsw,qld,female,0,1
3,nsw,qld,female,2,1
3,nsw,qld,female,6,1
3,nsw,qld,female,11,1
3,nsw,sa,male,1,1
3,nsw,sa,male,14,1
3,nsw,sa,female,4,1
3,nsw,wa,male,6,1
3,nsw,wa,male,7,1
3,nsw,wa,female,5,2
3,nsw,tas,male,7,1
3,nsw,tas,male,8,1
3,nsw,tas,male,17,1
3,nsw,tas,female,0,2
3,nsw,tas,female,4,1
3,nsw,tas,female,5,1
3,nsw,tas,female,6,1
3,nsw,nt,male,5,2
3,nsw,nt,male,6,2
3,nsw,nt,male,8,1
3,nsw,nt,female,0,1
3,nsw,nt,female,2,1
3,nsw,nt,female,5,1
3,nsw,nt,female,7,1
3,nsw,nt,female,9,1
3,nsw,nt,female,11,1
3,nsw,nt,female,13,1
3,nsw,act,male,3,1
3,nsw,act,male,4,1
3,nsw,act,male,7,1
3,nsw,act,female,4,2
3,nsw,act,female,12,1
3,vic,nsw,female,4,1
3,vic,nsw,female,6,2
3,vic,qld,male,4,1
3,vic,qld,male,11,1
3,vic,qld,male,13,1
3,vic,qld,female,0,1
3,vic,sa,male,7,1
3,vic,sa,male,8,1
3,vic,sa,male,9,1
3,vic,sa,male,10,1
3,vic,sa,female,6,1
3,vic,sa,female,12,1
3,vic,wa,male,4,1
3,vic,wa,male,5,1
3,vic,wa,female,5,1
3,vic,wa,female,6,1
3,vic,wa,female,7,1
3,vic,tas,male,2,1
3,vic,tas,male,4,1
3,vic,tas,female,7,1
3,vic,tas,female,11,1
3,vic,nt,male,2,1
3,vic,nt,male,5,1
3,vic,nt,male,6,2
3,vic,nt,male,12,1
3,vic,nt,female,0,1
3,vic,nt,female,3,1
3,vic,act,male,3,1
3,vic,act,male,6,1
3,vic,act,male,10,1
3,qld,nsw,male,7,1
3,qld,nsw,male,8,1
3,qld,nsw,female,8,1
3,qld,nsw,female,10,1
3,qld,vic,male,4,1
3,qld,vic,female,4,1
3,qld,sa,male,5,1
3,qld,wa,male,3,1
3,qld,wa,female,7,1
3,qld,wa,female,11,1
3,qld,tas,male,2,1
3,qld,tas,male,3,1
3,qld,tas,male,4,1
3,qld,tas,male,5,3
3,qld,tas,female,5,1
3,qld,tas,female,6,1
3,qld,tas,female,12,1
3,qld,nt,male,3,1
3,qld,nt,male,4,1
