tick,prev_area,area,count
0,nsw,vic,6
0,nsw,qld,7
0,nsw,sa,4
0,nsw,wa,1
0,nsw,tas,4
0,nsw,nt,6
0,nsw,act,3
0,vic,nsw,6
0,vic,qld,3
0,vic,sa,3
0,vic,wa,3
0,vic,tas,3
0,vic,nt,3
0,vic,act,4
0,qld,nsw,4
0,qld,vic,6
0,qld,sa,3
0,qld,wa,5
0,qld,tas,5
0,qld,nt,2
0,qld,act,5
0,sa,nsw,1
0,sa,vic,1
0,sa,qld,2
0,sa,wa,1
0,sa,tas,1
0,sa,act,1
0,wa,nsw,3
0,wa,vic,5
0,wa,qld,1
0,wa,sa,1
0,wa,tas,1
0,wa,nt,1
0,wa,act,1
0,tas,wa,1
0,tas,act,1
0,nt,sa,1
0,act,qld,1
0,act,tas,1
0,act,nt,1
1,nsw,vic,3
1,nsw,qld,4
1,nsw,sa,8
1,nsw,wa,5
1,nsw,tas,3
1,nsw,nt,5
1,nsw,act,1
1,vic,nsw,1
1,vic,qld,4
1,vic,sa,1
1,vic,wa,3
1,vic,tas,2
1,vic,nt,5
1,vic,act,5
1,qld,nsw,7
1,qld,vic,2
1,qld,sa,1
1,qld,wa,2
1,qld,tas,3
1,qld,nt,2
1,qld,act,2
1,sa,nsw,2
1,sa,vic,1
1,sa,wa,2
1,sa,tas,2
1,sa,nt,1
1,sa,act,2
1,wa,vic,1
1,wa,qld,2
1,wa,sa,1
1,wa,tas,3
1,tas,nt,1
1,nt,qld,1
1,nt,tas,1
1,act,wa,1
1,act,tas,1
2,nsw,vic,7
2,nsw,sa,9
2,nsw,wa,2
2,nsw,tas,4
2,nsw,nt,3
2,nsw,act,4
2,vic,nsw,1
2,vic,qld,2
2,vic,sa,5
2,vic,wa,4
2,vic,tas,4
2,vic,nt,4
2,vic,act,3
2,qld,nsw,5
2,qld,vic,8
2,qld,sa,4
2,qld,wa,3
2,qld,tas,1
2,qld,nt,1
2,qld,act,4
2,sa,nsw,2
2,sa,tas,1
2,sa,nt,3
2,wa,nsw,3
2,wa,vic,1
2,wa,qld,2
2,wa,sa,2
2,wa,tas,3
2,wa,nt,4
2,wa,act,2
2,tas,nsw,1
2,tas,act,1
2,nt,act,1
2,act,vic,1
2,act,qld,1
3,nsw,vic,10
3,nsw,qld,6
3,nsw,sa,3
3,nsw,wa,4
3,nsw,tas,8
3,nsw,nt,12
3,nsw,act,6
3,vic,nsw,3
3,vic,qld,4
3,vic,sa,6
3,vic,wa,5
3,vic,tas,4
3,vic,nt,7
3,vic,act,3
3,qld,nsw,4
3,qld,vic,2
3,qld,sa,1
3,qld,wa,3
3,qld,tas,9
3,qld,nt,4
3,qld,act,3
3,sa,vic,1
3,sa,wa,4
3,sa,tas,3
3,sa,nt,1
3,sa,act,1
3,wa,vic,1
3,wa,qld,2
3,wa,sa,3
3,wa,tas,1
3,wa,nt,1
3,wa,act,3
3,tas,qld,1
3,tas,wa,1
3,nt,nsw,1
3,nt,wa,1
3,act,nt,1
4,nsw,vic,5
4,nsw,qld,7
4,nsw,sa,2
4,nsw,wa,10
4,nsw,tas,4
4,nsw,nt,8
4,nsw,act,5
4,vic,qld,1
4,vic,sa,7
4,vic,wa,5
4,vic,tas,8
4,vic,nt,8
4,vic,act,9
4,qld,nsw,5
4,qld,vic,1
4,qld,sa,4
4,qld,wa,3
4,qld,tas,2
4,qld,nt,1
4,qld,act,3
4,sa,nsw,1
4,sa,vic,3
4,sa,qld,3
4,sa,wa,1
4,sa,act,2
4,wa,nsw,4
4,wa,vic,5
4,wa,qld,2
4,wa,sa,1
4,wa,tas,2
4,wa,nt,2
4,wa,act,1
4,tas,vic,1
4,nt,qld,1
4,act,nsw,1
4,act,wa,1
4,act,nt,1
5,nsw,vic,7
5,nsw,qld,7
5,nsw,sa,6
5,nsw,wa,6
5,nsw,tas,4
5,nsw,nt,5
5,vic,nsw,3
5,vic,qld,7
5,vic,sa,5
5,vic,wa,2
5,vic,tas,3
5,vic,nt,2
5,vic,act,4
5,qld,nsw,2
5,qld,vic,1
5,qld,sa,3
5,qld,wa,3
5,qld,tas,3
5,qld,nt,8
5,qld,act,3
5,sa,nsw,1
5,sa,vic,1
5,sa,qld,1
5,sa,nt,2
5,sa,act,1
5,wa,nsw,2
5,wa,vic,3
5,wa,qld,2
5,wa,sa,1
5,wa,tas,1
5,wa,nt,3
5,tas,nsw,1
5,tas,nt,1
5,nt,tas,1
5,act,wa,1
6,nsw,vic,2
6,nsw,qld,2
6,nsw,sa,5
6,nsw,wa,4
6,nsw,tas,4
6,nsw,nt,5
6,nsw,act,6
6,vic,nsw,3
6,vic,qld,5
6,vic,sa,3
6,vic,wa,3
6,vic,tas,4
6,vic,nt,2
6,vic,act,8
6,qld,nsw,4
6,qld,vic,1
