tick,area,sex,count
0,nsw,male,33
0,nsw,female,37
0,vic,male,32
0,vic,female,29
0,qld,male,26
0,qld,female,19
0,sa,male,2
0,sa,female,3
0,wa,male,13
0,wa,female,5
0,tas,male,1
0,tas,female,2
0,nt,male,1
0,nt,female,1
0,act,male,6
0,act,female,1
1,nsw,male,35
1,nsw,female,52
1,vic,male,24
1,vic,female,36
1,qld,male,20
1,qld,female,13
1,sa,male,2
1,sa,female,5
1,wa,male,10
1,wa,female,8
1,tas,female,1
1,nt,male,3
1,nt,female,1
1,act,male,6
1,act,female,5
2,nsw,male,36
2,nsw,female,39
2,vic,male,19
2,vic,female,32
2,qld,male,14
2,qld,female,21
2,sa,male,1
2,sa,female,7
2,wa,male,19
2,wa,female,5
2,tas,male,1
2,nt,male,2
2,act,male,3
2,act,female,6
3,nsw,male,55
3,nsw,female,41
3,vic,male,29
3,vic,female,30
3,qld,male,13
3,qld,female,24
3,sa,male,6
3,sa,female,9
3,wa,male,12
3,wa,female,14
3,tas,female,2
3,nt,male,2
3,nt,female,2
3,act,female,1
4,nsw,male,37
4,nsw,female,34
4,vic,male,29
4,vic,female,28
4,qld,male,31
4,qld,female,17
4,sa,male,3
4,sa,female,4
4,wa,male,15
4,wa,female,14
4,tas,male,3
4,tas,female,1
4,nt,male,2
4,nt,female,4
4,act,male,2
4,act,female,1
5,nsw,male,41
5,nsw,female,28
5,vic,male,25
5,vic,female,20
5,qld,male,25
5,qld,female,19
5,sa,male,4
5,sa,female,3
5,wa,male,21
5,wa,female,11
5,tas,female,1
5,nt,male,2
5,nt,female,4
5,act,male,3
5,act,female,1
6,nsw,male,42
6,nsw,female,42
6,vic,male,29
6,vic,female,31
6,qld,male,21
6,qld,female,33
6,sa,male,9
6,sa,female,2
6,wa,male,14
6,wa,female,22
6,tas,female,1
6,nt,male,2
6,nt,female,1
6,act,male,2
6,act,female,1
7,nsw,male,36
7,nsw,female,36
7,vic,male,27
7,vic,female,25
7,qld,male,17
7,qld,female,13
7,sa,male,3
7,sa,female,1
7,wa,male,10
7,wa,female,11
7,tas,female,1
7,nt,male,4
7,act,male,3
7,act,female,3
8,nsw,male,39
8,nsw,female,36
8,vic,male,27
8,vic,female,31
8,qld,male,23
8,qld,female,27
8,sa,male,6
8,sa,female,1
8,wa,male,11
8,wa,female,12
8,tas,male,1
8,tas,female,3
8,nt,female,1
8,act,male,2
9,nsw,male,36
9,nsw,female,45
9,vic,male,30
9,vic,female,31
9,qld,male,27
9,qld,female,22
9,sa,male,4
9,sa,female,6
9,wa,male,12
9,wa,female,9
9,tas,male,1
9,tas,female,2
9,nt,female,4
9,act,male,3
9,act,female,1
10,nsw,male,29
10,nsw,female,33
10,vic,male,31
10,vic,female,30
10,qld,male,18
10,qld,female,16
10,sa,male,4
10,sa,female,4
10,wa,male,14
10,wa,female,8
10,tas,male,2
10,tas,female,1
10,nt,male,2
10,act,male,3
10,act,female,1
11,nsw,male,40
11,nsw,female,22
11,vic,male,20
11,vic,female,22
11,qld,male,17
11,qld,female,26
11,sa,male,5
11,sa,female,5
11,wa,male,9
11,wa,female,18
11,tas,male,3
11,tas,female,4
11,nt,male,3
11,nt,female,3
11,act,male,4
11,act,female,3
12,nsw,male,33
12,nsw,female,31
12,vic,male,31
12,vic,female,20
12,qld,male,21
12,qld,female,27
12,sa,male,4
12,sa,female,2
12,wa,male,22
12,wa,female,10
12,tas,female,2
12,nt,male,1
12,act,male,2
12,act,female,2
13,nsw,male,53
13,nsw,female,47
13,vic,male,31
13,vic,female,33
13,qld,male,22
13,qld,female,25
13,sa,male,13
13,sa,female,3
13,wa,male,14
13,wa,female,12
13,tas,female,2
13,nt,male,3
13,nt,female,1
13,act,male,3
13,act,female,4
14,nsw,male,38
14,nsw,female,39
14,vic,male,35
14,vic,female,15
14,qld,male,13
14,qld,female,20
14,sa,male,6
14,sa,female,4
14,wa,male,12
14,wa,female,12
14,tas,male,1
14,tas,female,2
14,nt,male,1
14,nt,female,3
15,nsw,male,49
15,nsw,female,30
15,vic,male,28
15,vic,female,23
15,qld,male,25
15,qld,female,13
15,sa,male,4
15,sa,female,7
15,wa,male,7
15,wa,female,16
15,tas,male,1
15,nt,male,2
15,nt,female,1
15,act,male,4
15,act,female,3
16,nsw,male,40
16,nsw,female,30
16,vic,male,26
16,vic,female,21
16,qld,male,26
16,qld,female,24
16,sa,male,5
16,sa,female,5
16,wa,male,12
16,wa,female,9
16,tas,male,1
16,nt,male,2
16,act,male,1
16,act,female,2
17,nsw,male,42
17,nsw,female,31
17,vic,male,22
17,vic,female,36
17,qld,male,20
17,qld,female,23
17,sa,male,6
17,sa,female,2
17,wa,male,15
17,wa,female,9
17,tas,male,2
17,tas,female,1
17,nt,male,2
17,nt,female,2
17,act,male,1
17,act,female,2
18,nsw,male,41
