tick,area,sex,age_months,count
0,nsw,male,0,516
0,nsw,male,1,490
0,nsw,male,2,482
0,nsw,male,3,481
0,nsw,male,4,475
0,nsw,male,5,465
0,nsw,male,6,455
0,nsw,male,7,452
0,nsw,male,8,446
0,nsw,male,9,455
0,nsw,male,10,456
0,nsw,male,11,454
0,nsw,male,12,455
0,nsw,male,13,461
0,nsw,male,14,461
0,nsw,male,15,472
0,nsw,male,16,469
0,nsw,male,17,472
0,nsw,male,18,478
0,nsw,male,19,489
0,nsw,male,20,522
0,nsw,male,21,507
0,nsw,male,22,505
0,nsw,male,23,507
0,nsw,male,24,521
0,nsw,male,25,535
0,nsw,male,26,524
0,nsw,male,27,525
0,nsw,male,28,521
0,nsw,male,29,517
0,nsw,male,30,508
0,nsw,male,31,492
0,nsw,male,32,482
0,nsw,male,33,478
0,nsw,male,34,482
0,nsw,male,35,493
0,nsw,male,36,498
0,nsw,male,37,510
0,nsw,male,38,529
0,nsw,male,39,529
0,nsw,male,40,502
0,nsw,male,41,489
0,nsw,male,42,472
0,nsw,male,43,469
0,nsw,male,44,470
0,nsw,male,45,480
0,nsw,male,46,495
0,nsw,male,47,504
0,nsw,male,48,507
0,nsw,male,49,504
0,nsw,male,50,490
0,nsw,male,51,479
0,nsw,male,52,468
0,nsw,male,53,466
0,nsw,male,54,454
0,nsw,male,55,445
0,nsw,male,56,429
0,nsw,male,57,422
0,nsw,male,58,406
0,nsw,male,59,405
0,nsw,male,60,403
0,nsw,male,61,390
0,nsw,male,62,399
0,nsw,male,63,405
0,nsw,male,64,358
0,nsw,male,65,340
0,nsw,male,66,326
0,nsw,male,67,291
0,nsw,male,68,282
0,nsw,male,69,267
0,nsw,male,70,256
0,nsw,male,71,242
0,nsw,male,72,230
0,nsw,male,73,223
0,nsw,male,74,205
0,nsw,male,75,191
0,nsw,male,76,181
0,nsw,male,77,173
0,nsw,male,78,167
0,nsw,male,79,161
0,nsw,male,80,151
0,nsw,male,81,140
0,nsw,male,82,132
0,nsw,male,83,117
0,nsw,male,84,103
0,nsw,male,85,92
0,nsw,male,86,79
0,nsw,male,87,66
0,nsw,male,88,57
0,nsw,male,89,46
0,nsw,male,90,35
0,nsw,male,91,24
0,nsw,male,92,18
0,nsw,male,93,14
0,nsw,male,94,11
0,nsw,male,95,7
0,nsw,male,96,4
0,nsw,male,97,4
0,nsw,male,98,2
0,nsw,male,99,1
0,nsw,male,100,2
0,nsw,female,0,490
0,nsw,female,1,468
0,nsw,female,2,464
0,nsw,female,3,455
0,nsw,female,4,448
0,nsw,female,5,435
0,nsw,female,6,428
0,nsw,female,7,427
0,nsw,female,8,423
0,nsw,female,9,429
0,nsw,female,10,437
0,nsw,female,11,431
0,nsw,female,12,431
0,nsw,female,13,436
0,nsw,female,14,434
0,nsw,female,15,450
0,nsw,female,16,444
0,nsw,female,17,444
0,nsw,female,18,448
0,nsw,female,19,468
0,nsw,female,20,497
0,nsw,female,21,482
0,nsw,female,22,482
0,nsw,female,23,492
0,nsw,female,24,500
0,nsw,female,25,524
0,nsw,female,26,515
0,nsw,female,27,523
0,nsw,female,28,514
0,nsw,female,29,512
0,nsw,female,30,503
0,nsw,female,31,493
0,nsw,female,32,488
0,nsw,female,33,486
0,nsw,female,34,484
0,nsw,female,35,499
0,nsw,female,36,507
0,nsw,female,37,522
0,nsw,female,38,537
0,nsw,female,39,545
0,nsw,female,40,510
0,nsw,female,41,504
0,nsw,female,42,485
0,nsw,female,43,478
0,nsw,female,44,477
0,nsw,female,45,487
0,nsw,female,46,503
0,nsw,female,47,517
0,nsw,female,48,513
0,nsw,female,49,512
0,nsw,female,50,498
0,nsw,female,51,488
0,nsw,female,52,484
0,nsw,female,53,467
0,nsw,female,54,458
0,nsw,female,55,451
0,nsw,female,56,435
0,nsw,female,57,429
0,nsw,female,58,415
0,nsw,female,59,407
0,nsw,female,60,404
0,nsw,female,61,391
0,nsw,female,62,393
0,nsw,female,63,407
0,nsw,female,64,355
0,nsw,female,65,344
0,nsw,female,66,327
0,nsw,female,67,299
0,nsw,female,68,287
0,nsw,female,69,276
0,nsw,female,70,263
0,nsw,female,71,252
0,nsw,female,72,244
0,nsw,female,73,236
0,nsw,female,74,230
0,nsw,female,75,219
0,nsw,female,76,203
0,nsw,female,77,200
0,nsw,female,78,197
0,nsw,female,79,198
0,nsw,female,80,193
0,nsw,female,81,183
0,nsw,female,82,177
0,nsw,female,83,164
0,nsw,female,84,154
0,nsw,female,85,144
0,nsw,female,86,128
0,nsw,female,87,118
0,nsw,female,88,104
0,nsw,female,89,90
0,nsw,female,90,72
0,nsw,female,91,54
0,nsw,female,92,46
0,nsw,female,93,37
0,nsw,female,94,30
0,nsw,female,95,23
0,nsw,female,96,15
0,nsw,female,97,12
0,nsw,female,98,7
0,nsw,female,99,5
0,nsw,female,100,8
0,vic,male,0,377
0,vic,male,1,360
0,vic,male,2,361
0,vic,male,3,357
0,vic,male,4,349
0,vic,male,5,341
0,vic,male,6,337
0,vic,male,7,331
0,vic,male,8,329
0,vic,male,9,332
0,vic,male,10,336
0,vic,male,11,335
0,vic,male,12,338
0,vic,male,13,342
0,vic,male,14,345
0,vic,male,15,355
0,vic,male,16,357
0,vic,male,17,357
0,vic,male,18,369
0,vic,male,19,392
0,vic,male,20,427
0,vic,male,21,422
0,vic,male,22,425
